읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김병관,미래통합당김은혜,국가혁명배당금당우주영,계,무효투표수,기권수
합계,,208104,157419,77006,78134,911,156051,1368,50685
거소·선상투표,,305,293,118,121,12,251,42,12
관외사전투표,,13222,13217,7530,5360,129,13019,198,5
국외부재자투표,,1599,368,226,139,2,367,1,1231
국외부재자투표(공관),,0,12,8,4,0,12,0,-12
서현1동,소계,24533,17976,7516,10220,88,17824,152,6557
,관내사전투표,5710,5710,3058,2587,22,5667,43,0
,서현1동제1투,4446,2220,1075,1098,23,2196,24,2226
,서현1동제2투,3376,2232,705,1507,4,2216,16,1144
,서현1동제3투,3482,2496,865,1600,11,2476,20,986
,서현1동제4투,2286,1665,541,1103,4,1648,17,621
,서현1동제5투,3397,2508,818,1661,11,2490,18,889
,서현1동제6투,1836,1145,454,664,13,1131,14,691
서현2동,소계,14623,11074,5359,5594,44,10997,77,3549
,관내사전투표,3465,3465,2037,1407,13,3457,8,0
,서현2동제1투,3097,2187,847,1317,6,2170,17,910
,서현2동제2투,2762,1999,821,1153,7,1981,18,763
,서현2동제3투,2701,1759,887,842,10,1739,20,942
,서현2동제4투,2598,1664,767,875,8,1650,14,934
이매1동,소계,19713,15121,6977,7974,68,15019,102,4592
,관내사전투표,4230,4229,2308,1890,19,4217,12,1
,이매1동제1투,3203,2246,854,1362,9,2225,21,957
,이매1동제2투,2796,2131,885,1226,3,2114,17,665
,이매1동제3투,2121,1567,603,943,5,1551,16,554
,이매1동제4투,2313,1610,703,893,8,1604,6,703
,이매1동제5투,2054,1516,730,770,5,1505,11,538
,이매1동제6투,2996,1822,894,890,19,1803,19,1174
이매2동,소계,10870,8433,3557,4780,38,8375,58,2437
,관내사전투표,2933,2933,1522,1383,11,2916,17,0
,이매2동제1투,2304,1566,530,1020,10,1560,6,738
,이매2동제2투,2624,1802,715,1056,13,1784,18,822
,이매2동제3투,3009,2132,790,1321,4,2115,17,877
야탑1동,소계,15131,11193,5761,5251,60,11072,121,3938
,관내사전투표,4051,4050,2504,1485,23,4012,38,1
,야탑1동제1투,2274,1148,503,622,8,1133,15,1126
,야탑1동제2투,2884,1939,798,1102,11,1911,28,945
,야탑1동제3투,2211,1648,723,903,6,1632,16,563
,야탑1동제4투,2069,1444,803,622,7,1432,12,625
,야탑1동제5투,1642,964,430,517,5,952,12,678
야탑2동,소계,13456,10423,4624,5676,52,10352,71,3033
,관내사전투표,3445,3445,1867,1539,20,3426,19,0
,야탑2동제1투,2291,1538,518,998,12,1528,10,753
,야탑2동제2투,3314,2366,873,1474,3,2350,16,948
,야탑2동제3투,2542,1802,785,994,8,1787,15,740
,야탑2동제4투,1864,1272,581,671,9,1261,11,592
야탑3동,소계,22717,15646,8721,6613,141,15475,171,7071
,관내사전투표,4358,4357,2781,1508,30,4319,38,1
,야탑3동제1투,3403,1803,942,809,22,1773,30,1600
,야탑3동제2투,2746,1719,868,821,16,1705,14,1027
,야탑3동제3투,2836,1879,960,883,20,1863,16,957
,야탑3동제4투,2300,1129,575,509,18,1102,27,1171
,야탑3동제5투,1946,1333,713,609,6,1328,5,613
,야탑3동제6투,2461,1656,851,772,11,1634,22,805
,야탑3동제7투,2667,1770,1031,702,18,1751,19,897
판교동,소계,16457,12281,6199,5950,49,12198,83,4176
,관내사전투표,4409,4403,2685,1678,16,4379,24,6
,판교동제1투,2618,1723,862,846,4,1712,11,895
,판교동제2투,3102,2232,1058,1150,9,2217,15,870
,판교동제3투,3355,2066,715,1326,6,2047,19,1289
,판교동제4투,2973,1857,879,950,14,1843,14,1116
삼평동,소계,18128,13495,6961,6360,75,13396,99,4633
,관내사전투표,4355,4355,2622,1691,22,4335,20,0
,삼평동제1투,3301,2252,968,1249,15,2232,20,1049
,삼평동제2투,2438,1602,804,774,9,1587,15,836
,삼평동제3투,3180,1805,1044,732,13,1789,16,1375
,삼평동제4투,2097,1390,631,728,9,1368,22,707
,삼평동제5투,2757,2091,892,1186,7,2085,6,666
백현동,소계,20881,15316,7745,7359,98,15202,114,5565
,관내사전투표,4868,4868,2876,1933,29,4838,30,0
,백현동제1투,3340,2361,924,1410,15,2349,12,979
,백현동제2투,2979,1928,985,911,12,1908,20,1051
,백현동제3투,2179,1483,582,884,9,1475,8,696
,백현동제4투,2951,1694,1028,635,13,1676,18,1257
,백현동제5투,2588,1502,864,609,13,1486,16,1086
,백현동제6투,1976,1480,486,977,7,1470,10,496
운중동,소계,16469,12562,5697,6731,55,12483,79,3907
,관내사전투표,4546,4546,2530,1986,10,4526,20,0
,운중동제1투,1830,1164,463,692,3,1158,6,666
,운중동제2투,2090,1392,555,818,9,1382,10,698
,운중동제3투,3009,1941,824,1101,9,1934,7,1068
,운중동제4투,1570,1039,361,652,8,1021,18,531
,운중동제5투,3424,2480,964,1482,16,2462,18,944
잘못 투입·구분된 투표지,,0,9,7,2,0,9,0,-9
