읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이동기,미래통합당이양수,국가혁명배당금당김도경,무소속황정기,계,무효투표수,기권수
합계,,24504,17865,7325,9540,213,352,17430,435,6639
거소·선상투표,,289,276,106,94,10,31,241,35,13
관외사전투표,,1482,1481,787,579,22,58,1446,35,1
국외부재자투표,,38,7,5,2,0,0,7,0,31
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
간성읍,소계,5636,4094,1848,2056,33,79,4016,78,1542
,관내사전투표,1669,1669,869,736,10,32,1647,22,0
,간성읍제1투,1003,580,243,313,7,13,576,4,423
,간성읍제2투,1710,993,395,563,6,19,983,10,717
,간성읍제3투,855,566,234,280,7,8,529,37,289
,간성읍제4투,231,152,60,84,2,4,150,2,79
,간성읍제5투,168,134,47,80,1,3,131,3,34
거진읍,소계,5586,3980,1526,2256,56,53,3891,89,1606
,관내사전투표,1156,1156,532,586,8,11,1137,19,0
,거진읍제1투,1112,710,251,404,11,12,678,32,402
,거진읍제2투,895,609,167,408,11,7,593,16,286
,거진읍제3투,683,389,163,207,9,3,382,7,294
,거진읍제4투,281,183,56,116,4,5,181,2,98
,거진읍제5투,479,291,114,165,3,6,288,3,188
,거진읍제6투,980,642,243,370,10,9,632,10,338
현내면,소계,2204,1640,582,960,29,21,1592,48,564
,관내사전투표,422,421,171,225,7,6,409,12,1
,현내면제1투,560,351,129,206,3,4,342,9,209
,현내면제2투,635,437,120,290,10,4,424,13,198
,현내면제3투,330,241,86,138,4,3,231,10,89
,현내면제4투,257,190,76,101,5,4,186,4,67
죽왕면,소계,3206,2299,892,1280,25,46,2243,56,907
,관내사전투표,677,675,304,335,8,15,662,13,2
,죽왕면제1투,713,413,163,233,3,6,405,8,300
,죽왕면제2투,493,346,117,211,1,11,340,6,147
,죽왕면제3투,901,571,202,326,8,9,545,26,330
,죽왕면제4투,422,294,106,175,5,5,291,3,128
토성면,소계,6063,4085,1579,2311,38,64,3992,93,1978
,관내사전투표,1391,1391,634,676,12,29,1351,40,0
,토성면제1투,1715,942,308,596,9,16,929,13,773
,토성면제2투,983,610,169,416,4,3,592,18,373
,토성면제3투,873,519,214,281,5,4,504,15,354
,토성면제4투,1101,623,254,342,8,12,616,7,478
잘못 투입·구분된 투표지,,0,3,0,2,0,0,2,1,-3
