읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이동기,미래통합당이양수,국가혁명배당금당김도경,무소속황정기,계,무효투표수,기권수
합계,,70022,43970,19540,22665,386,885,43476,494,26052
거소·선상투표,,349,317,161,104,9,24,298,19,32
관외사전투표,,3413,3413,1856,1303,43,136,3338,75,0
국외부재자투표,,132,27,15,12,0,0,27,0,105
국외부재자투표(공관),,0,6,3,3,0,0,6,0,-6
영랑동,소계,4702,3182,1395,1690,13,50,3148,34,1520
,관내사전투표,1454,1454,761,656,5,23,1445,9,0
,영랑동제1투,1278,708,258,424,4,11,697,11,570
,영랑동제2투,1970,1020,376,610,4,16,1006,14,950
동명동,소계,3080,1799,715,1034,12,24,1785,14,1281
,관내사전투표,703,703,294,386,3,15,698,5,0
,동명동제1투,1624,750,318,410,9,7,744,6,874
,동명동제2투,753,346,103,238,0,2,343,3,407
금호동,소계,5514,3434,1267,2040,30,44,3381,53,2080
,관내사전투표,1428,1428,616,756,14,16,1402,26,0
,금호동제1투,972,422,126,279,6,3,414,8,550
,금호동제2투,803,362,80,269,0,6,355,7,441
,금호동제3투,1301,666,215,422,7,13,657,9,635
,금호동제4투,1010,556,230,314,3,6,553,3,454
교동,소계,8570,5247,2244,2787,47,111,5189,58,3323
,관내사전투표,2241,2241,1111,1041,14,56,2222,19,0
,교동제1투,2540,1133,364,711,20,20,1115,18,1407
,교동제2투,2211,1084,464,578,6,21,1069,15,1127
,교동제3투,1578,789,305,457,7,14,783,6,789
노학동,소계,17115,10397,4536,5505,85,185,10311,86,6718
,관내사전투표,3874,3874,1920,1847,21,54,3842,32,0
,노학동제1투,2298,1148,499,607,14,20,1140,8,1150
,노학동제2투,2076,962,366,558,10,19,953,9,1114
,노학동제3투,2773,1191,493,644,12,34,1183,8,1582
,노학동제4투,1434,717,258,438,4,8,708,9,717
,노학동제5투,1782,979,338,613,9,10,970,9,803
,노학동제6투,2878,1526,662,798,15,40,1515,11,1352
조양동,소계,20206,11752,5645,5682,98,240,11665,87,8454
,관내사전투표,3757,3755,2104,1520,26,73,3723,32,2
,조양동제1투,2425,1165,521,584,15,40,1160,5,1260
,조양동제2투,2241,1084,490,552,9,25,1076,8,1157
,조양동제3투,2049,853,379,440,8,20,847,6,1196
,조양동제4투,2804,1326,597,693,12,16,1318,8,1478
,조양동제5투,2365,1268,523,701,10,20,1254,14,1097
,조양동제6투,3087,1603,688,862,11,30,1591,12,1484
,조양동제7투,1478,698,343,330,7,16,696,2,780
청호동,소계,4095,2545,1029,1398,32,51,2510,35,1550
,관내사전투표,1097,1097,538,516,12,21,1087,10,0
,청호동제1투,2156,968,330,593,16,15,954,14,1188
,청호동제2투,842,480,161,289,4,15,469,11,362
대포동,소계,2846,1848,671,1107,17,20,1815,33,998
,관내사전투표,612,612,292,301,5,5,603,9,0
,대포동제1투,866,493,170,301,6,6,483,10,373
,대포동제2투,1368,743,209,505,6,9,729,14,625
잘못 투입·구분된 투표지,,0,3,3,0,0,0,3,0,-3
