읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이동기,미래통합당이양수,국가혁명배당금당김도경,무소속황정기,계,무효투표수,기권수
합계,,24916,16941,6919,9380,148,260,16707,234,7975
거소·선상투표,,74,65,21,40,0,4,65,0,9
관외사전투표,,1382,1380,670,611,16,61,1358,22,2
국외부재자투표,,38,15,11,4,0,0,15,0,23
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
양양읍,소계,9782,6334,2657,3479,44,79,6259,75,3448
,관내사전투표,2613,2612,1252,1291,12,30,2585,27,1
,양양읍제1투,2719,1290,549,691,13,17,1270,20,1429
,양양읍제2투,2090,1025,391,600,7,15,1013,12,1065
,양양읍제3투,1011,580,176,384,5,7,572,8,431
,양양읍제4투,693,395,149,238,0,5,392,3,298
,양양읍제5투,656,432,140,275,7,5,427,5,224
서면,소계,2633,1771,620,1076,11,25,1732,39,862
,관내사전투표,689,689,274,376,5,12,667,22,0
,서면제1투,785,350,116,219,3,7,345,5,435
,서면제2투,498,313,104,201,3,4,312,1,185
,서면제3투,354,227,74,143,0,0,217,10,127
,서면제4투,307,192,52,137,0,2,191,1,115
손양면,소계,2119,1444,676,723,10,16,1425,19,675
,관내사전투표,537,537,291,227,4,5,527,10,0
,손양면제1투,877,493,221,257,4,6,488,5,384
,손양면제2투,705,414,164,239,2,5,410,4,291
현북면,소계,2204,1494,630,794,28,15,1467,27,710
,관내사전투표,445,445,224,204,2,3,433,12,0
,현북면제1투,779,437,150,264,14,4,432,5,342
,현북면제2투,326,196,92,98,2,2,194,2,130
,현북면제3투,382,245,93,136,8,4,241,4,137
,현북면제4투,272,171,71,92,2,2,167,4,101
현남면,소계,2700,1772,572,1133,21,21,1747,25,928
,관내사전투표,559,559,190,354,3,6,553,6,0
,현남면제1투,773,418,148,248,9,5,410,8,355
,현남면제2투,837,479,133,328,5,8,474,5,358
,현남면제3투,531,316,101,203,4,2,310,6,215
강현면,소계,3984,2666,1062,1520,18,39,2639,27,1318
,관내사전투표,906,905,410,472,9,6,897,8,1
,강현면제1투,1395,738,294,419,4,17,734,4,657
,강현면제2투,587,363,141,209,3,5,358,5,224
,강현면제3투,333,167,65,98,0,1,164,3,166
,강현면제4투,763,493,152,322,2,10,486,7,270
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
