읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김용민,미래통합당주광덕,정의당장형진,국가혁명배당금당전채희,계,무효투표수,기권수
합계,,213448,144575,71776,67490,3173,884,143323,1252,68873
거소·선상투표,,267,251,131,104,4,7,246,5,16
관외사전투표,,12635,12630,7231,4725,383,105,12444,186,5
국외부재자투표,,793,216,151,64,1,0,216,0,577
국외부재자투표(공관),,0,5,1,4,0,0,5,0,-5
와부읍,소계,49918,34466,17629,15572,741,219,34161,305,15452
,관내사전투표,7356,7356,4700,2436,139,32,7307,49,0
,와부읍제1투,3677,2165,1035,1029,62,13,2139,26,1512
,와부읍제2투,3005,1353,535,750,28,13,1326,27,1652
,와부읍제3투,2859,1880,922,866,55,17,1860,20,979
,와부읍제4투,3656,2365,1220,1041,69,15,2345,20,1291
,와부읍제5투,900,595,179,391,6,10,586,9,305
,와부읍제6투,752,479,137,324,9,4,474,5,273
,와부읍제7투,3202,2139,1047,1006,44,12,2109,30,1063
,와부읍제8투,2814,1897,857,963,41,25,1886,11,917
,와부읍제9투,2097,1237,493,687,29,14,1223,14,860
,와부읍제10투,2514,1684,925,685,48,7,1665,19,830
,와부읍제11투,3700,2303,1196,1030,54,11,2291,12,1397
,와부읍제12투,643,396,137,243,8,4,392,4,247
,와부읍제13투,2607,1849,756,1044,29,11,1840,9,758
,와부읍제14투,3051,1926,907,962,31,8,1908,18,1125
,와부읍제15투,2313,1644,897,705,32,2,1636,8,669
,와부읍제16투,2776,1791,930,811,30,10,1781,10,985
,와부읍제17투,1996,1407,756,599,27,11,1393,14,589
진건읍,소계,20718,12421,5434,6544,269,81,12328,93,8297
,관내사전투표,4098,4098,2111,1887,65,16,4079,19,0
,진건읍제1투,2811,1180,466,648,40,11,1165,15,1631
,진건읍제2투,734,415,122,282,8,2,414,1,319
,진건읍제3투,1455,753,186,549,9,4,748,5,702
,진건읍제4투,2575,1251,554,623,42,16,1235,16,1324
,진건읍제5투,3513,1851,802,971,39,19,1831,20,1662
,진건읍제6투,3628,1945,860,1012,51,8,1931,14,1683
,진건읍제7투,1904,928,333,572,15,5,925,3,976
조안면,소계,3467,2252,782,1392,38,17,2229,23,1215
,관내사전투표,719,719,336,358,14,3,711,8,0
,조안면제1투,1336,722,193,509,8,5,715,7,614
,조안면제2투,1412,811,253,525,16,9,803,8,601
금곡동,소계,16813,10109,4529,5110,257,108,10004,105,6704
,관내사전투표,3039,3037,1652,1267,75,23,3017,20,2
,금곡동제1투,1897,966,360,559,23,11,953,13,931
,금곡동제2투,2607,1330,544,731,26,18,1319,11,1277
,금곡동제3투,2613,1335,565,693,29,21,1308,27,1278
,금곡동제4투,2170,970,392,521,30,16,959,11,1200
,금곡동제5투,4487,2471,1016,1339,74,19,2448,23,2016
양정동,소계,4316,2856,1133,1629,53,24,2839,17,1460
,관내사전투표,1220,1220,611,573,20,10,1214,6,0
,양정동제1투,1772,897,279,581,22,8,890,7,875
,양정동제2투,1324,739,243,475,11,6,735,4,585
다산1동,소계,54348,36582,18620,16836,727,153,36336,246,17766
,관내사전투표,7594,7594,4570,2859,98,27,7554,40,0
,다산1동제1투,3701,1819,784,965,37,12,1798,21,1882
,다산1동제2투,3819,2202,1051,1058,56,16,2181,21,1617
,다산1동제3투,2864,1647,738,821,48,16,1623,24,1217
,다산1동제4투,2545,1799,665,1067,48,10,1790,9,746
,다산1동제5투,3104,2189,963,1164,36,6,2169,20,915
,다산1동제6투,2631,1916,752,1098,47,7,1904,12,715
,다산1동제7투,3211,2280,826,1386,45,8,2265,15,931
,다산1동제8투,2261,1406,626,729,34,8,1397,9,855
,다산1동제9투,3078,1779,889,840,34,7,1770,9,1299
,다산1동제10투,2669,1422,728,656,28,3,1415,7,1247
,다산1동제11투,3332,2051,1061,926,41,10,2038,13,1281
,다산1동제12투,3058,2128,1293,783,42,1,2119,9,930
,다산1동제13투,3969,2472,1400,1006,50,4,2460,12,1497
,다산1동제14투,2175,1431,903,475,36,6,1420,11,744
,다산1동제15투,4337,2447,1371,1003,47,12,2433,14,1890
다산2동,소계,25512,17102,8628,7916,369,57,16970,132,8410
,관내사전투표,4576,4576,2666,1789,95,5,4555,21,0
,다산2동제1투,3804,2353,1044,1206,76,8,2334,19,1451
,다산2동제2투,3717,1964,917,959,48,9,1933,31,1753
,다산2동제3투,3186,2104,1010,1009,54,10,2083,21,1082
,다산2동제4투,3626,2112,1020,1022,41,13,2096,16,1514
,다산2동제5투,3590,2090,1000,1036,32,6,2074,16,1500
,다산2동제6투,3013,1903,971,895,23,6,1895,8,1110
퇴계원읍,소계,24661,15684,7507,7593,331,113,15544,140,8977
,관내사전투표,5330,5330,2847,2327,97,30,5301,29,0
,퇴계원읍제1투,3467,1886,862,959,38,9,1868,18,1581
,퇴계원읍제2투,4146,2009,954,964,47,21,1986,23,2137
,퇴계원읍제3투,3867,1864,788,979,53,20,1840,24,2003
,퇴계원읍제4투,1827,921,418,461,24,10,913,8,906
,퇴계원읍제5투,3212,1986,883,1028,42,13,1966,20,1226
,퇴계원읍제6투,2812,1688,755,875,30,10,1670,18,1124
잘못 투입·구분된 투표지,,0,1,0,1,0,0,1,0,-1
