읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강득구,미래통합당이필운,정의당이종태,국가혁명배당금당김효근,계,무효투표수,기권수
합계,,210881,141903,75266,59438,4706,989,140399,1504,68978
거소·선상투표,,315,302,138,109,25,8,280,22,13
관외사전투표,,11184,11177,6828,3560,470,107,10965,212,7
국외부재자투표,,663,188,142,37,4,3,186,2,475
국외부재자투표(공관),,0,4,1,3,0,0,4,0,-4
안양1동,소계,10447,7251,3841,3056,264,39,7200,51,3196
,관내사전투표,2937,2936,1817,1002,88,15,2922,14,1
,안양1동제1투,1887,1205,560,587,48,7,1202,3,682
,안양1동제2투,3250,2061,986,967,81,10,2044,17,1189
,안양1동제3투,414,168,70,91,6,0,167,1,246
,안양1동제4투,1959,881,408,409,41,7,865,16,1078
안양2동,소계,18050,11123,5735,4807,372,96,11010,113,6927
,관내사전투표,4039,4039,2367,1485,125,32,4009,30,0
,안양2동제1투,3434,1579,792,710,53,12,1567,12,1855
,안양2동제2투,2414,1091,554,481,32,10,1077,14,1323
,안양2동제3투,2771,1329,629,616,49,22,1316,13,1442
,안양2동제4투,1890,1167,613,486,48,5,1152,15,723
,안양2동제5투,3502,1918,780,1029,65,15,1889,29,1584
안양3동,소계,14412,9199,4697,4017,313,70,9097,102,5213
,관내사전투표,3632,3632,2107,1368,115,13,3603,29,0
,안양3동제1투,2364,1045,473,503,45,15,1036,9,1319
,안양3동제2투,2568,1362,656,632,47,12,1347,15,1206
,안양3동제3투,3447,1636,791,734,62,19,1606,30,1811
,안양3동제4투,2401,1524,670,780,44,11,1505,19,877
안양4동,소계,6536,4286,2045,2001,157,36,4239,47,2250
,관내사전투표,1982,1982,1083,806,64,16,1969,13,0
,안양4동제1투,2562,1184,530,572,52,10,1164,20,1378
,안양4동제2투,1992,1120,432,623,41,10,1106,14,872
안양5동,소계,11323,6913,3200,3334,237,57,6828,85,4410
,관내사전투표,2742,2742,1414,1206,81,13,2714,28,0
,안양5동제1투,3065,1523,634,789,62,19,1504,19,1542
,안양5동제2투,2719,1304,550,673,50,11,1284,20,1415
,안양5동제3투,2797,1344,602,666,44,14,1326,18,1453
안양6동,소계,16388,9678,4935,4229,329,71,9564,114,6710
,관내사전투표,3359,3358,1984,1223,104,18,3329,29,1
,안양6동제1투,4785,2234,1085,1029,73,25,2212,22,2551
,안양6동제2투,1284,713,285,389,26,3,703,10,571
,안양6동제3투,4261,2023,941,957,83,15,1996,27,2238
,안양6동제4투,2699,1350,640,631,43,10,1324,26,1349
안양7동,소계,12655,9021,4854,3769,289,32,8944,77,3634
,관내사전투표,3707,3706,2241,1341,87,11,3680,26,1
,안양7동제1투,3863,2458,1188,1144,95,6,2433,25,1405
,안양7동제2투,3440,2032,1011,932,65,9,2017,15,1408
,안양7동제3투,1645,825,414,352,42,6,814,11,820
안양8동,소계,9774,6018,3091,2602,217,45,5955,63,3756
,관내사전투표,2374,2374,1340,926,76,18,2360,14,0
,안양8동제1투,2509,1180,545,564,46,12,1167,13,1329
,안양8동제2투,2905,1435,706,635,62,9,1412,23,1470
,안양8동제3투,1986,1029,500,477,33,6,1016,13,957
안양9동,소계,13983,9063,4420,4182,278,76,8956,107,4920
,관내사전투표,2997,2997,1637,1224,87,20,2968,29,0
,안양9동제1투,1838,970,451,467,23,8,949,21,868
,안양9동제2투,2640,1545,715,753,50,9,1527,18,1095
,안양9동제3투,2812,1399,656,658,57,13,1384,15,1413
,안양9동제4투,3696,2152,961,1080,61,26,2128,24,1544
석수1동,소계,16349,11578,6053,5078,305,68,11504,74,4771
,관내사전투표,4068,4068,2402,1535,83,23,4043,25,0
,석수1동제1투,3321,1839,869,871,61,17,1818,21,1482
,석수1동제2투,2723,1469,690,721,32,14,1457,12,1254
,석수1동제3투,2523,1764,900,791,64,5,1760,4,759
,석수1동제4투,3714,2438,1192,1160,65,9,2426,12,1276
석수2동,소계,26319,18120,9908,7389,545,89,17931,189,8199
,관내사전투표,5723,5722,3488,2032,136,21,5677,45,1
,석수2동제1투,1527,822,416,348,41,7,812,10,705
,석수2동제2투,3000,1844,877,887,48,12,1824,20,1156
,석수2동제3투,1980,1028,468,497,34,15,1014,14,952
,석수2동제4투,2404,1583,776,729,51,7,1563,20,821
,석수2동제5투,2186,1142,583,501,33,4,1121,21,1044
,석수2동제6투,2664,1341,711,556,51,7,1325,16,1323
,석수2동제7투,3625,2455,1361,983,81,10,2435,20,1170
,석수2동제8투,3210,2183,1228,856,70,6,2160,23,1027
석수3동,소계,11228,7335,4115,2877,225,47,7264,71,3893
,관내사전투표,2946,2946,1837,990,79,14,2920,26,0
,석수3동제1투,2853,1490,769,645,50,11,1475,15,1363
,석수3동제2투,2681,1558,817,665,51,12,1545,13,1123
,석수3동제3투,2748,1341,692,577,45,10,1324,17,1407
박달1동,소계,13826,8798,4726,3619,290,67,8702,96,5028
,관내사전투표,3814,3814,2240,1393,121,19,3773,41,0
,박달1동제1투,3110,1446,717,640,62,15,1434,12,1664
,박달1동제2투,2007,882,416,408,30,8,862,20,1125
,박달1동제3투,2135,1014,519,441,34,9,1003,11,1121
,박달1동제4투,2760,1642,834,737,43,16,1630,12,1118
박달2동,소계,17429,11847,6535,4769,386,78,11768,79,5582
,관내사전투표,3742,3741,2338,1260,107,14,3719,22,1
,박달2동제1투,2963,1537,767,696,50,10,1523,14,1426
,박달2동제2투,2167,1470,757,643,54,6,1460,10,697
,박달2동제3투,2522,1443,730,623,58,19,1430,13,1079
,박달2동제4투,3202,1729,957,683,63,18,1721,8,1473
,박달2동제5투,2833,1927,986,864,54,11,1915,12,906
잘못 투입·구분된 투표지,,0,2,2,0,0,0,2,0,-2
