읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당오영환,미래통합당강세창,국가혁명배당금당이종동,무소속문석균,계,무효투표수,기권수
합계,,178374,104773,54806,38644,1051,8844,103345,1428,73601
거소·선상투표,,307,289,120,115,5,34,274,15,18
관외사전투표,,9455,9452,5868,2574,111,725,9278,174,3
국외부재자투표,,520,148,106,36,1,4,147,1,372
국외부재자투표(공관),,0,7,4,2,0,1,7,0,-7
의정부1동,소계,26651,12336,5913,4929,138,1163,12143,193,14315
,관내사전투표,3559,3559,1879,1290,33,317,3519,40,0
,의정부1동제1투,3588,1261,505,586,18,126,1235,26,2327
,의정부1동제2투,5136,1563,725,638,24,144,1531,32,3573
,의정부1동제3투,3524,1425,651,581,19,147,1398,27,2099
,의정부1동제4투,2986,1412,599,656,14,125,1394,18,1574
,의정부1동제5투,3692,1435,757,505,14,138,1414,21,2257
,의정부1동제6투,4166,1681,797,673,16,166,1652,29,2485
의정부2동,소계,26474,14041,7537,4930,153,1234,13854,187,12433
,관내사전투표,3986,3984,2423,1162,32,342,3959,25,2
,의정부2동제1투,3602,1340,683,488,18,119,1308,32,2262
,의정부2동제2투,2983,1241,563,532,25,102,1222,19,1742
,의정부2동제3투,3616,1527,780,562,18,144,1504,23,2089
,의정부2동제4투,2459,954,463,371,15,88,937,17,1505
,의정부2동제5투,2995,1189,580,465,24,99,1168,21,1806
,의정부2동제6투,3485,1644,828,647,13,130,1618,26,1841
,의정부2동제7투,3348,2162,1217,703,8,210,2138,24,1186
호원1동,소계,29708,18571,9573,7154,145,1476,18348,223,11137
,관내사전투표,5610,5608,3286,1835,28,411,5560,48,2
,호원1동제1투,2766,1409,679,586,15,117,1397,12,1357
,호원1동제2투,3507,2094,899,985,14,170,2068,26,1413
,호원1동제3투,2233,1048,505,419,13,91,1028,20,1185
,호원1동제4투,5083,2184,1174,802,30,146,2152,32,2899
,호원1동제5투,2404,1492,770,569,13,113,1465,27,912
,호원1동제6투,2962,1862,876,821,10,131,1838,24,1100
,호원1동제7투,3444,1906,914,748,16,201,1879,27,1538
,호원1동제8투,1699,968,470,389,6,96,961,7,731
호원2동,소계,28960,19077,10142,7082,144,1485,18853,224,9883
,관내사전투표,6473,6473,3949,2003,36,430,6418,55,0
,호원2동제1투,3671,1806,873,756,9,143,1781,25,1865
,호원2동제2투,3135,1843,921,730,24,136,1811,32,1292
,호원2동제3투,3500,1763,883,700,17,144,1744,19,1737
,호원2동제4투,3112,1680,866,641,6,148,1661,19,1432
,호원2동제5투,2571,1572,718,706,10,118,1552,20,999
,호원2동제6투,3147,1822,956,642,24,165,1787,35,1325
,호원2동제7투,3351,2118,976,904,18,201,2099,19,1233
녹양동,소계,17989,10687,5639,3924,122,877,10562,125,7302
,관내사전투표,4155,4155,2411,1355,42,319,4127,28,0
,녹양동제1투,2836,1193,580,465,17,114,1176,17,1643
,녹양동제2투,3661,1848,1000,659,22,143,1824,24,1813
,녹양동제3투,2080,865,376,389,9,78,852,13,1215
,녹양동제4투,3234,1615,787,663,15,123,1588,27,1619
,녹양동제5투,2023,1011,485,393,17,100,995,16,1012
흥선동,소계,16403,8687,4252,3365,107,838,8562,125,7716
,관내사전투표,3246,3246,1752,1110,34,312,3208,38,0
,흥선동제1투,1866,880,399,375,16,81,871,9,986
,흥선동제2투,3363,1108,518,455,14,101,1088,20,2255
,흥선동제3투,2249,993,442,432,9,96,979,14,1256
,흥선동제4투,2152,1028,510,393,8,100,1011,17,1124
,흥선동제5투,1618,655,277,277,13,71,638,17,963
,흥선동제6투,1909,777,354,323,13,77,767,10,1132
가능동,소계,21907,11473,5648,4532,125,1007,11312,161,10434
,관내사전투표,3989,3989,2177,1415,35,335,3962,27,0
,가능동제1투,2855,1081,486,474,14,85,1059,22,1774
,가능동제2투,3326,1555,697,637,23,168,1525,30,1771
,가능동제3투,2364,971,459,387,13,94,953,18,1393
,가능동제4투,2819,1261,607,517,15,102,1241,20,1558
,가능동제5투,3946,1614,739,689,14,147,1589,25,2332
,가능동제6투,2608,1002,483,413,11,76,983,19,1606
잘못 투입·구분된 투표지,,0,5,4,1,0,0,5,0,-5
