읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정만호,미래통합당한기호,국가혁명배당금당유우림,계,무효투표수,기권수
합계,,18960,13158,6278,6441,190,12909,249,5802
거소·선상투표,,313,300,130,129,16,275,25,13
관외사전투표,,1168,1165,637,477,20,1134,31,3
국외부재자투표,,26,8,5,3,0,8,0,18
국외부재자투표(공관),,0,0,0,0,0,0,0,0
양구읍,소계,10415,6807,3352,3279,74,6705,102,3608
,관내사전투표,2779,2779,1560,1142,29,2731,48,0
,양구읍제1투,490,302,119,175,2,296,6,188
,양구읍제2투,531,314,165,144,5,314,0,217
,양구읍제3투,1208,640,283,345,6,634,6,568
,양구읍제4투,808,442,197,234,6,437,5,366
,양구읍제5투,2426,1223,563,627,11,1201,22,1203
,양구읍제6투,1833,875,374,476,13,863,12,958
,양구읍제7투,126,80,29,50,0,79,1,46
,양구읍제8투,214,152,62,86,2,150,2,62
남면,소계,2841,1904,784,1066,27,1877,27,937
,관내사전투표,534,534,252,259,10,521,13,0
,남면제1투,360,231,107,122,1,230,1,129
,남면제2투,915,515,208,298,5,511,4,400
,남면제3투,675,381,139,234,4,377,4,294
,남면제4투,357,243,78,153,7,238,5,114
동면,소계,1829,1286,580,642,34,1256,30,543
,관내사전투표,528,528,272,212,26,510,18,0
,동면제1투,422,264,97,160,3,260,4,158
,동면제2투,543,310,132,169,2,303,7,233
,동면제3투,336,184,79,101,3,183,1,152
방산면,소계,1163,870,358,483,12,853,17,293
,관내사전투표,305,305,160,125,9,294,11,0
,방산면제1투,307,203,74,128,0,202,1,104
,방산면제2투,308,218,78,139,0,217,1,90
,방산면제3투,243,144,46,91,3,140,4,99
해안면,소계,1205,818,432,362,7,801,17,387
,관내사전투표,330,330,193,128,4,325,5,0
,해안면투표소,875,488,239,234,3,476,12,387
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
