읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정만호,미래통합당한기호,국가혁명배당금당유우림,계,무효투표수,기권수
합계,,46191,31338,15389,14998,440,30827,511,14853
거소·선상투표,,169,162,78,60,12,150,12,7
관외사전투표,,4844,4840,2994,1681,70,4745,95,4
국외부재자투표,,146,45,31,14,0,45,0,101
국외부재자투표(공관),,0,2,0,2,0,2,0,-2
신북읍,소계,6902,4513,1908,2458,69,4435,78,2389
,관내사전투표,1550,1549,774,735,12,1521,28,1
,신북읍제1투,1255,678,257,397,12,666,12,577
,신북읍제2투,2054,1145,468,633,20,1121,24,909
,신북읍제3투,1282,716,257,436,12,705,11,566
,신북읍제4투,761,425,152,257,13,422,3,336
동면,소계,12946,8073,4222,3696,86,8004,69,4873
,관내사전투표,1993,1992,1177,794,7,1978,14,1
,동면제1투,2536,1518,783,704,15,1502,16,1018
,동면제2투,1121,544,204,326,7,537,7,577
,동면제3투,202,122,40,76,4,120,2,80
,동면제4투,3523,1890,973,876,23,1872,18,1633
,동면제5투,3571,2007,1045,920,30,1995,12,1564
서면,소계,3351,2055,748,1241,33,2022,33,1296
,관내사전투표,617,617,295,311,8,614,3,0
,서면제1투,861,482,168,292,11,471,11,379
,서면제2투,1197,623,195,412,8,615,8,574
,서면제3투,676,333,90,226,6,322,11,343
사북면,소계,2132,1385,507,827,31,1365,20,747
,관내사전투표,299,299,144,137,10,291,8,0
,사북면제1투,688,450,163,275,4,442,8,238
,사북면제2투,300,194,64,124,5,193,1,106
,사북면제3투,845,442,136,291,12,439,3,403
북산면,소계,797,555,173,366,4,543,12,242
,관내사전투표,222,222,94,120,2,216,6,0
,북산면제1투,410,224,58,159,2,219,5,186
,북산면제2투,165,109,21,87,0,108,1,56
신사우동,소계,14904,9706,4726,4653,135,9514,192,5198
,관내사전투표,3488,3487,1960,1439,47,3446,41,1
,신사우동제1투,3109,1603,805,751,24,1580,23,1506
,신사우동제2투,1916,1205,510,653,18,1181,24,711
,신사우동제3투,2731,1483,644,758,21,1423,60,1248
,신사우동제4투,1252,690,240,423,7,670,20,562
,신사우동제5투,2408,1238,567,629,18,1214,24,1170
잘못 투입·구분된 투표지,,0,2,2,0,0,2,0,-2
