읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정만호,미래통합당한기호,국가혁명배당금당유우림,계,무효투표수,기권수
합계,,21425,14942,6593,7678,308,14579,363,6483
거소·선상투표,,298,293,124,122,17,263,30,5
관외사전투표,,1532,1531,793,676,29,1498,33,1
국외부재자투표,,29,3,2,1,0,3,0,26
국외부재자투표(공관),,0,0,0,0,0,0,0,0
화천읍,소계,6274,4057,1786,2113,86,3985,72,2217
,관내사전투표,1759,1759,900,790,34,1724,35,0
,화천읍제1투,1405,688,257,405,18,680,8,717
,화천읍제2투,1958,962,394,527,21,942,20,996
,화천읍제3투,577,331,127,190,9,326,5,246
,화천읍제4투,575,317,108,201,4,313,4,258
간동면,소계,2308,1611,673,872,35,1580,31,697
,관내사전투표,595,595,298,277,10,585,10,0
,간동면제1투,579,300,103,184,9,296,4,279
,간동면제2투,551,341,134,194,6,334,7,210
,간동면제3투,431,276,104,157,9,270,6,155
,간동면제4투,152,99,34,60,1,95,4,53
하남면,소계,2718,2049,901,1074,29,2004,45,669
,관내사전투표,1038,1038,537,467,14,1018,20,0
,하남면제1투,780,405,157,235,4,396,9,375
,하남면제2투,587,396,157,224,8,389,7,191
,하남면제3투,313,210,50,148,3,201,9,103
상서면,소계,3432,2257,972,1151,61,2184,73,1175
,관내사전투표,898,897,420,386,38,844,53,1
,상서면제1투,565,299,123,167,3,293,6,266
,상서면제2투,400,239,107,126,4,237,2,161
,상서면제3투,370,245,92,147,3,242,3,125
,상서면제4투,603,265,113,139,9,261,4,338
,상서면제5투,260,140,62,74,1,137,3,120
,상서면제6투,336,172,55,112,3,170,2,164
사내면,소계,4834,3141,1342,1669,51,3062,79,1693
,관내사전투표,1480,1480,710,681,34,1425,55,0
,사내면제1투,1767,765,312,437,7,756,9,1002
,사내면제2투,578,349,134,206,2,342,7,229
,사내면제3투,370,214,81,128,3,212,2,156
,사내면제4투,639,333,105,217,5,327,6,306
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
