읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당양기대,미래통합당김용태,국가혁명배당금당김현애,무소속김기윤,계,무효투표수,기권수
합계,,131277,91602,58130,27671,466,4424,90691,911,39675
거소·선상투표,,193,184,104,64,2,8,178,6,9
관외사전투표,,7527,7524,5059,1980,52,319,7410,114,3
국외부재자투표,,434,108,78,26,0,4,108,0,326
국외부재자투표(공관),,0,4,4,0,0,0,4,0,-4
하안1동,소계,19725,13752,8583,4483,41,543,13650,102,5973
,관내사전투표,3740,3740,2645,957,6,113,3721,19,0
,하안1동제1투,2094,1159,663,423,6,56,1148,11,935
,하안1동제2투,2674,1657,985,593,2,66,1646,11,1017
,하안1동제3투,3423,1761,953,689,11,86,1739,22,1662
,하안1동제4투,2628,1879,1104,664,4,88,1860,19,749
,하안1동제5투,2470,1635,1028,523,6,67,1624,11,835
,하안1동제6투,2696,1921,1205,634,6,67,1912,9,775
하안2동,소계,11512,7597,4827,2267,26,389,7509,88,3915
,관내사전투표,2877,2877,2014,718,7,112,2851,26,0
,하안2동제1투,1853,958,548,326,5,60,939,19,895
,하안2동제2투,1973,1171,736,353,4,62,1155,16,802
,하안2동제3투,2302,1203,706,412,6,68,1192,11,1099
,하안2동제4투,2507,1388,823,458,4,87,1372,16,1119
하안3동,소계,17108,11743,7345,3576,65,625,11611,132,5365
,관내사전투표,3963,3963,2779,969,9,173,3930,33,0
,하안3동제1투,2831,1676,1006,537,14,100,1657,19,1155
,하안3동제2투,1622,880,553,269,6,39,867,13,742
,하안3동제3투,2141,1301,793,421,4,68,1286,15,840
,하안3동제4투,2285,1476,882,459,8,107,1456,20,809
,하안3동제5투,1872,1268,724,442,10,85,1261,7,604
,하안3동제6투,1243,616,310,253,9,33,605,11,627
,하안3동제7투,1151,563,298,226,5,20,549,14,588
하안4동,소계,10505,7536,4902,2117,39,407,7465,71,2969
,관내사전투표,3282,3282,2372,717,18,146,3253,29,0
,하안4동제1투,2418,1429,811,503,10,94,1418,11,989
,하안4동제2투,2371,1408,832,477,6,76,1391,17,963
,하안4동제3투,2434,1417,887,420,5,91,1403,14,1017
소하1동,소계,24140,16751,10794,4890,87,829,16600,151,7389
,관내사전투표,5071,5071,3711,1107,19,193,5030,41,0
,소하1동제1투,2612,1456,896,468,8,73,1445,11,1156
,소하1동제2투,2192,1409,846,464,5,82,1397,12,783
,소하1동제3투,2497,1642,1009,521,10,86,1626,16,855
,소하1동제4투,3893,2042,1300,618,13,86,2017,25,1851
,소하1동제5투,2656,1614,916,593,8,79,1596,18,1042
,소하1동제6투,2054,1451,909,427,9,96,1441,10,603
,소하1동제7투,3165,2066,1207,692,15,134,2048,18,1099
소하2동,소계,37950,24923,15770,7540,138,1239,24687,236,13027
,관내사전투표,5867,5866,4168,1391,35,233,5827,39,1
,소하2동제1투,1586,829,417,323,6,67,813,16,757
,소하2동제2투,2074,1064,627,349,12,62,1050,14,1010
,소하2동제3투,2088,1050,617,368,6,45,1036,14,1038
,소하2동제4투,3191,1910,1098,682,22,87,1889,21,1281
,소하2동제5투,3684,2046,1279,647,7,96,2029,17,1638
,소하2동제6투,2910,1604,982,513,13,73,1581,23,1306
,소하2동제7투,2604,1705,1063,533,6,83,1685,20,899
,소하2동제8투,2479,1615,1000,504,6,96,1606,9,864
,소하2동제9투,2423,1452,849,515,10,54,1428,24,971
,소하2동제10투,1860,1272,813,331,5,115,1264,8,588
,소하2동제11투,3258,2137,1388,621,0,114,2123,14,1121
,소하2동제12투,3926,2373,1469,763,10,114,2356,17,1553
학온동,소계,2183,1479,663,728,16,61,1468,11,704
,관내사전투표,631,631,360,245,5,20,630,1,0
,학온동제1투,779,412,143,247,5,13,408,4,367
,학온동제2투,773,436,160,236,6,28,430,6,337
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
