읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당홍정민,미래통합당김영환,우리공화당김근복,국가혁명배당금당정재우,계,무효투표수,기권수
합계,,224741,149247,80068,65981,727,765,147541,1706,75494
거소·선상투표,,558,545,287,194,24,10,515,30,13
관외사전투표,,14186,14184,8758,4945,57,131,13891,293,2
국외부재자투표,,1130,260,181,71,1,3,256,4,870
국외부재자투표(공관),,0,14,11,3,0,0,14,0,-14
식사동,소계,25564,17316,9191,7848,68,58,17165,151,8248
,관내사전투표,5270,5270,3245,1954,12,11,5222,48,0
,식사동제1투,2129,1248,662,565,7,6,1240,8,881
,식사동제2투,3040,1899,947,906,18,12,1883,16,1141
,식사동제3투,2324,1443,677,741,4,1,1423,20,881
,식사동제4투,2815,1859,1041,793,8,5,1847,12,956
,식사동제5투,2943,1670,702,942,6,5,1655,15,1273
,식사동제6투,3969,2594,1174,1394,4,10,2582,12,1375
,식사동제7투,3074,1333,743,553,9,8,1313,20,1741
중산동,소계,36540,22838,12315,10067,103,118,22603,235,13702
,관내사전투표,6102,6102,3663,2339,20,26,6048,54,0
,중산동제1투,2774,1247,671,537,9,8,1225,22,1527
,중산동제2투,2857,1362,728,596,6,12,1342,20,1495
,중산동제3투,3063,1895,889,965,10,14,1878,17,1168
,중산동제4투,2778,1406,617,762,7,5,1391,15,1372
,중산동제5투,2651,1478,652,793,9,8,1462,16,1173
,중산동제6투,3796,2102,1113,936,15,11,2075,27,1694
,중산동제7투,4300,2284,1295,949,11,11,2266,18,2016
,중산동제8투,4482,2668,1467,1149,11,15,2642,26,1814
,중산동제9투,3737,2294,1220,1041,5,8,2274,20,1443
정발산동,소계,19852,12882,7004,5577,73,75,12729,153,6970
,관내사전투표,4098,4098,2635,1399,11,21,4066,32,0
,정발산동제1투,3026,1557,833,681,7,10,1531,26,1469
,정발산동제2투,2553,1401,684,679,9,8,1380,21,1152
,정발산동제3투,2890,1608,845,729,8,6,1588,20,1282
,정발산동제4투,1679,1034,517,492,7,7,1023,11,645
,정발산동제5투,2721,1467,687,726,19,11,1443,24,1254
,정발산동제6투,2885,1717,803,871,12,12,1698,19,1168
풍산동,소계,29835,19333,11012,7925,93,91,19121,212,10502
,관내사전투표,4902,4902,3188,1647,20,12,4867,35,0
,풍산동제1투,3006,1617,925,656,8,7,1596,21,1389
,풍산동제2투,3185,1548,836,677,12,9,1534,14,1637
,풍산동제3투,3023,1960,1097,826,6,11,1940,20,1063
,풍산동제4투,2785,1705,862,806,12,7,1687,18,1080
,풍산동제5투,3769,2075,1158,877,7,13,2055,20,1694
,풍산동제6투,2734,1819,998,782,5,7,1792,27,915
,풍산동제7투,2907,1675,905,721,8,17,1651,24,1232
,풍산동제8투,3524,2032,1043,933,15,8,1999,33,1492
마두1동,소계,19539,13925,7258,6377,67,55,13757,168,5614
,관내사전투표,3889,3889,2467,1353,20,19,3859,30,0
,마두1동제1투,3667,2369,1206,1115,9,8,2338,31,1298
,마두1동제2투,3224,2281,963,1290,5,5,2263,18,943
,마두1동제3투,3199,1885,941,887,15,8,1851,34,1314
,마두1동제4투,3026,2003,1009,949,8,8,1974,29,1023
,마두1동제5투,2534,1498,672,783,10,7,1472,26,1036
마두2동,소계,13592,10280,5046,5050,56,26,10178,102,3312
,관내사전투표,3927,3926,2371,1509,15,5,3900,26,1
,마두2동제1투,2574,1694,701,958,10,7,1676,18,880
,마두2동제2투,2572,1760,734,974,13,6,1727,33,812
,마두2동제3투,1683,859,427,413,6,5,851,8,824
,마두2동제4투,2836,2041,813,1196,12,3,2024,17,795
장항1동,소계,7721,5140,2083,2990,17,20,5110,30,2581
,관내사전투표,1197,1197,623,562,5,5,1195,2,0
,장항1동제1투,1582,755,280,460,4,6,750,5,827
,장항1동제2투,4942,3188,1180,1968,8,9,3165,23,1754
장항2동,소계,21604,12009,6309,5497,51,44,11901,108,9595
,관내사전투표,4374,4374,2534,1780,16,11,4341,33,0
,장항2동제1투,3356,1771,858,880,11,8,1757,14,1585
,장항2동제2투,2512,1733,651,1047,13,6,1717,16,779
,장항2동제3투,3490,1239,610,614,2,2,1228,11,2251
,장항2동제4투,3708,1418,783,605,7,8,1403,15,2290
,장항2동제5투,4164,1474,873,571,2,9,1455,19,2690
고봉동,소계,17596,9176,4534,4426,51,71,9082,94,8420
,관내사전투표,2477,2477,1364,1085,4,12,2465,12,0
,고봉동제1투,3590,1513,825,643,15,19,1502,11,2077
,고봉동제2투,3642,1552,704,823,4,8,1539,13,2090
,고봉동제3투,3210,1186,464,684,11,12,1171,15,2024
,고봉동제4투,2435,1071,483,546,9,11,1049,22,1364
,고봉동제5투,2242,1377,694,645,8,9,1356,21,865
일산2동,소계,17024,11343,6077,5011,66,63,11217,126,5681
,관내사전투표,4400,4399,2710,1616,14,18,4358,41,1
,일산2동제1투,2233,1094,571,489,13,6,1079,15,1139
,일산2동제2투,3405,2285,1149,1099,10,8,2266,19,1120
,일산2동제3투,2269,1364,595,735,9,8,1347,17,905
,일산2동제4투,1726,709,319,364,7,8,698,11,1017
,일산2동제5투,2991,1492,733,708,13,15,1469,23,1499
잘못 투입·구분된 투표지,,0,2,2,0,0,0,2,0,-2
