읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당임오경,미래통합당양주상,민생당양순필,국가혁명배당금당김상연,무소속김경표,무소속권태진,계,무효투표수,기권수
합계,,134409,91285,43019,33380,4685,459,6420,2287,90250,1035,43124
거소·선상투표,,233,221,85,70,15,5,18,13,206,15,12
관외사전투표,,7109,7100,3945,2067,264,48,428,204,6956,144,9
국외부재자투표,,450,118,75,40,1,0,2,0,118,0,332
국외부재자투표(공관),,0,2,1,1,0,0,0,0,2,0,-2
광명1동,소계,5719,3300,1533,1225,154,21,209,110,3252,48,2419
,관내사전투표,1217,1217,630,404,48,8,67,45,1202,15,0
,광명1동제1투,2808,1281,566,507,64,5,86,36,1264,17,1527
,광명1동제2투,1694,802,337,314,42,8,56,29,786,16,892
광명2동,소계,7999,4726,2174,1729,256,32,325,143,4659,67,3273
,관내사전투표,1817,1817,1014,561,76,5,97,47,1800,17,0
,광명2동제1투,2515,1137,435,465,69,12,98,38,1117,20,1378
,광명2동제2투,1843,875,354,343,55,10,59,39,860,15,968
,광명2동제3투,1824,897,371,360,56,5,71,19,882,15,927
광명3동,소계,8724,5294,2320,2000,326,35,393,138,5212,82,3430
,관내사전투표,2069,2069,996,695,130,8,153,58,2040,29,0
,광명3동제1투,2266,1008,417,397,62,12,77,29,994,14,1258
,광명3동제2투,1817,852,338,336,57,6,77,25,839,13,965
,광명3동제3투,2572,1365,569,572,77,9,86,26,1339,26,1207
광명4동,소계,12304,7832,3522,2971,529,53,551,123,7749,83,4472
,관내사전투표,2844,2844,1465,904,175,11,225,41,2821,23,0
,광명4동제1투,2687,1224,468,508,93,18,91,29,1207,17,1463
,광명4동제2투,2571,1282,578,467,100,10,83,26,1264,18,1289
,광명4동제3투,4202,2482,1011,1092,161,14,152,27,2457,25,1720
광명5동,소계,12021,7662,3526,2825,490,40,561,135,7577,85,4359
,관내사전투표,2513,2513,1360,766,123,9,190,42,2490,23,0
,광명5동제1투,3217,1662,661,695,137,13,104,25,1635,27,1555
,광명5동제2투,3337,1963,845,782,115,10,149,46,1947,16,1374
,광명5동제3투,2954,1524,660,582,115,8,118,22,1505,19,1430
광명6동,소계,8983,6044,2714,2342,355,33,437,102,5983,61,2939
,관내사전투표,2267,2267,1155,760,124,6,157,40,2242,25,0
,광명6동제1투,2361,1387,603,550,92,5,104,26,1380,7,974
,광명6동제2투,1839,1044,425,433,59,8,85,20,1030,14,795
,광명6동제3투,2045,1073,447,433,74,12,83,15,1064,9,972
,광명6동제4투,471,273,84,166,6,2,8,1,267,6,198
광명7동,소계,13720,8612,3999,3160,542,31,661,141,8534,78,5108
,관내사전투표,2609,2609,1400,827,141,7,176,44,2595,14,0
,광명7동제1투,1795,895,414,331,63,1,63,17,889,6,900
,광명7동제2투,2499,1395,566,580,91,6,118,22,1383,12,1104
,광명7동제3투,1572,809,342,319,50,6,69,10,796,13,763
,광명7동제4투,2433,1409,590,566,92,1,118,29,1396,13,1024
,광명7동제5투,2812,1495,687,537,105,10,117,19,1475,20,1317
철산1동,소계,9979,7064,3485,2455,271,25,451,303,6990,74,2915
,관내사전투표,3185,3185,1778,973,99,4,191,119,3164,21,0
,철산1동제1투,2618,1509,675,564,64,4,106,81,1494,15,1109
,철산1동제2투,1366,715,311,278,20,10,46,35,700,15,651
,철산1동제3투,2810,1655,721,640,88,7,108,68,1632,23,1155
철산2동,소계,11213,6948,3105,2563,330,42,487,335,6862,86,4265
,관내사전투표,2442,2441,1291,702,98,9,174,147,2421,20,1
,철산2동제1투,2765,1603,617,721,69,14,101,58,1580,23,1162
,철산2동제2투,2330,1191,564,430,51,9,72,52,1178,13,1139
,철산2동제3투,1140,501,187,213,25,3,44,20,492,9,639
,철산2동제4투,2536,1212,446,497,87,7,96,58,1191,21,1324
철산3동,소계,25069,18779,8610,7486,749,58,1359,386,18648,131,6290
,관내사전투표,5586,5586,3045,1826,189,3,401,102,5566,20,0
,철산3동제1투,2221,1563,615,693,65,7,131,38,1549,14,658
,철산3동제2투,2225,1535,570,690,74,8,140,43,1525,10,690
,철산3동제3투,1047,559,250,200,27,7,54,13,551,8,488
,철산3동제4투,3074,1840,767,785,93,5,134,42,1826,14,1234
,철산3동제5투,1062,637,286,264,23,1,42,16,632,5,425
,철산3동제6투,3173,2206,993,894,90,10,161,39,2187,19,967
,철산3동제7투,1796,1331,590,542,50,6,100,31,1319,12,465
,철산3동제8투,2363,1721,729,786,61,6,95,28,1705,16,642
,철산3동제9투,2522,1801,765,806,77,5,101,34,1788,13,721
철산4동,소계,10886,7582,3924,2446,403,36,538,154,7501,81,3304
,관내사전투표,2748,2747,1640,719,124,8,179,48,2718,29,1
,철산4동제1투,2222,1017,453,383,63,8,77,24,1008,9,1205
,철산4동제2투,1710,1087,528,367,75,12,68,29,1079,8,623
,철산4동제3투,2189,1526,745,552,61,5,116,26,1505,21,663
,철산4동제4투,2017,1205,558,425,80,3,98,27,1191,14,812
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,0,1,0,-1
