읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박상혁,미래통합당홍철호,민생당박채순,국가혁명배당금당이상훈,계,무효투표수,기권수
합계,,187295,118595,63193,52200,1131,865,117389,1206,68700
거소·선상투표,,226,214,91,103,8,3,205,9,12
관외사전투표,,10728,10728,6351,3964,122,118,10555,173,0
국외부재자투표,,581,159,116,43,0,0,159,0,422
국외부재자투표(공관),,0,8,5,3,0,0,8,0,-8
통진읍,소계,21425,11679,4802,6481,103,131,11517,162,9746
,관내사전투표,3457,3457,1735,1617,26,43,3421,36,0
,통진읍제1투,2006,1184,461,699,6,5,1171,13,822
,통진읍제2투,1486,624,232,375,7,5,619,5,862
,통진읍제3투,3053,1415,537,804,17,22,1380,35,1638
,통진읍제4투,1354,738,179,537,7,4,727,11,616
,통진읍제5투,2200,951,359,557,14,11,941,10,1249
,통진읍제6투,2819,1312,430,841,10,11,1292,20,1507
,통진읍제7투,1828,757,281,446,8,13,748,9,1071
,통진읍제8투,3222,1241,588,605,8,17,1218,23,1981
양촌읍,소계,21147,11908,5558,5947,111,122,11738,170,9239
,관내사전투표,3697,3696,2021,1564,27,27,3639,57,1
,양촌읍제1투,2580,1019,345,633,10,13,1001,18,1561
,양촌읍제2투,1952,950,410,495,12,14,931,19,1002
,양촌읍제3투,1021,570,163,384,7,5,559,11,451
,양촌읍제4투,3248,1557,768,735,16,26,1545,12,1691
,양촌읍제5투,516,266,77,181,4,2,264,2,250
,양촌읍제6투,266,148,43,101,1,1,146,2,118
,양촌읍제7투,822,460,133,311,4,5,453,7,362
,양촌읍제8투,2710,1344,654,647,8,19,1328,16,1366
,양촌읍제9투,2073,1062,522,514,10,3,1049,13,1011
,양촌읍제10투,2262,836,422,382,12,7,823,13,1426
대곶면,소계,8554,4897,1696,3066,36,38,4836,61,3657
,관내사전투표,1700,1700,708,947,15,9,1679,21,0
,대곶면제1투,2376,897,303,566,6,12,887,10,1479
,대곶면제2투,1737,943,300,613,8,8,929,14,794
,대곶면제3투,933,428,139,281,3,4,427,1,505
,대곶면제4투,820,427,104,312,2,1,419,8,393
,대곶면제5투,988,502,142,347,2,4,495,7,486
월곶면,소계,5129,3250,1076,2036,28,27,3167,83,1879
,관내사전투표,1483,1483,570,859,14,16,1459,24,0
,월곶면제1투,1100,527,178,308,7,5,498,29,573
,월곶면제2투,441,268,74,175,3,3,255,13,173
,월곶면제3투,448,268,57,206,0,0,263,5,180
,월곶면제4투,1657,704,197,488,4,3,692,12,953
하성면,소계,7422,4518,1518,2885,36,27,4466,52,2904
,관내사전투표,1904,1904,776,1073,13,15,1877,27,0
,하성면제1투,2187,835,245,562,12,5,824,11,1352
,하성면제2투,970,531,159,358,7,4,528,3,439
,하성면제3투,806,414,119,289,0,1,409,5,392
,하성면제4투,1046,562,140,417,2,1,560,2,484
,하성면제5투,509,272,79,186,2,1,268,4,237
구래동,소계,29031,17603,10732,6468,185,101,17486,117,11428
,관내사전투표,5717,5717,3885,1733,50,19,5687,30,0
,구래동제1투,4119,1964,1084,817,26,14,1941,23,2155
,구래동제2투,4805,2020,1151,802,31,21,2005,15,2785
,구래동제3투,3922,2240,1386,815,21,8,2230,10,1682
,구래동제4투,3330,1758,1004,716,16,10,1746,12,1572
,구래동제5투,4017,2098,1158,896,23,11,2088,10,1919
,구래동제6투,3121,1806,1064,689,18,18,1789,17,1315
운양동,소계,34122,22229,12873,8898,211,105,22087,142,11893
,관내사전투표,5293,5293,3482,1747,30,14,5273,20,0
,운양동제1투,3699,2288,1308,919,29,14,2270,18,1411
,운양동제2투,2787,1414,824,550,22,6,1402,12,1373
,운양동제3투,1944,1229,731,477,13,4,1225,4,715
,운양동제4투,2196,1416,893,501,9,4,1407,9,780
,운양동제5투,3593,2041,1099,895,20,14,2028,13,1552
,운양동제6투,3430,1904,1099,759,22,10,1890,14,1526
,운양동제7투,3489,2341,1094,1201,17,14,2326,15,1148
,운양동제8투,3712,2165,1148,964,23,11,2146,19,1547
,운양동제9투,3979,2138,1195,885,26,14,2120,18,1841
장기본동,소계,27128,17719,10028,7327,156,98,17609,110,9409
,관내사전투표,5229,5229,3226,1929,31,22,5208,21,0
,장기본동제1투,2621,1683,612,1031,13,12,1668,15,938
,장기본동제2투,2856,1461,664,755,17,9,1445,16,1395
,장기본동제3투,3336,1816,981,798,16,11,1806,10,1520
,장기본동제4투,3388,1863,1143,689,15,10,1857,6,1525
,장기본동제5투,3086,1697,1066,595,16,10,1687,10,1389
,장기본동제6투,3467,2042,1283,711,25,10,2029,13,1425
,장기본동제7투,3145,1928,1053,819,23,14,1909,19,1217
마산동,소계,21802,13682,8346,4979,135,95,13555,127,8120
,관내사전투표,4001,4001,2716,1203,28,22,3969,32,0
,마산동제1투,2893,1332,802,495,16,7,1320,12,1561
,마산동제2투,2846,1455,867,544,23,10,1444,11,1391
,마산동제3투,3034,1633,838,737,23,11,1609,24,1401
,마산동제4투,2622,1439,744,636,14,22,1416,23,1183
,마산동제5투,2937,1805,1158,607,14,14,1793,12,1132
,마산동제6투,3469,2017,1221,757,17,9,2004,13,1452
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
