읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서동욱,미래통합당김성원,국가혁명배당금당김원철,계,무효투표수,기권수
합계,,80677,47856,22325,24305,604,47234,622,32821
거소·선상투표,,230,216,100,91,10,201,15,14
관외사전투표,,3415,3412,1934,1339,65,3338,74,3
국외부재자투표,,177,35,29,5,1,35,0,142
국외부재자투표(공관),,0,1,0,1,0,1,0,-1
생연1동,소계,5974,3350,1482,1801,34,3317,33,2624
,관내사전투표,1649,1649,813,812,12,1637,12,0
,생연1동제1투,2144,749,342,388,8,738,11,1395
,생연1동제2투,2181,952,327,601,14,942,10,1229
생연2동,소계,9356,5569,2513,2931,61,5505,64,3787
,관내사전투표,2153,2153,1061,1054,18,2133,20,0
,생연2동제1투,1185,500,189,298,5,492,8,685
,생연2동제2투,2979,1467,647,783,18,1448,19,1512
,생연2동제3투,986,468,176,274,10,460,8,518
,생연2동제4투,2053,981,440,522,10,972,9,1072
중앙동,소계,5057,2893,1136,1686,35,2857,36,2164
,관내사전투표,1530,1530,669,829,12,1510,20,0
,중앙동제1투,2176,792,269,496,14,779,13,1384
,중앙동제2투,1351,571,198,361,9,568,3,780
보산동,소계,2883,1635,666,921,30,1617,18,1248
,관내사전투표,892,892,393,480,17,890,2,0
,보산동투표소,1991,743,273,441,13,727,16,1248
불현동,소계,21451,11806,5389,6104,154,11647,159,9645
,관내사전투표,4152,4151,2133,1935,38,4106,45,1
,불현동제1투,3958,1556,680,829,29,1538,18,2402
,불현동제2투,1867,771,326,414,18,758,13,1096
,불현동제3투,1841,846,333,487,12,832,14,995
,불현동제4투,3239,1467,681,744,21,1446,21,1772
,불현동제5투,4465,2077,909,1109,29,2047,30,2388
,불현동제6투,1929,938,327,586,7,920,18,991
송내동,소계,20060,11893,6131,5528,111,11770,123,8167
,관내사전투표,4947,4945,2879,1997,41,4917,28,2
,송내동제1투,4329,1852,891,908,16,1815,37,2477
,송내동제2투,2972,1614,746,827,19,1592,22,1358
,송내동제3투,3278,1397,672,698,16,1386,11,1881
,송내동제4투,3936,1753,825,893,16,1734,19,2183
,송내동제5투,598,332,118,205,3,326,6,266
소요동,소계,7476,4374,1809,2430,65,4304,70,3102
,관내사전투표,1431,1431,666,728,17,1411,20,0
,소요동제1투,1208,412,179,224,5,408,4,796
,소요동제2투,2067,1001,435,542,14,991,10,1066
,소요동제3투,504,273,88,177,4,269,4,231
,소요동제4투,1336,766,279,468,7,754,12,570
,소요동제5투,930,491,162,291,18,471,20,439
상패동,소계,4598,2671,1135,1468,38,2641,30,1927
,관내사전투표,1202,1202,569,603,14,1186,16,0
,상패동제1투,2335,955,350,585,13,948,7,1380
,상패동제2투,1061,514,216,280,11,507,7,547
잘못 투입·구분된 투표지,,0,1,1,0,0,1,0,-1
