읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당설훈,미래통합당서영석,정의당이미숙,민중당이종남,국가혁명배당금당남궁진숙,계,무효투표수,기권수
합계,,220045,148949,80889,58341,6162,1193,734,147319,1630,71096
거소·선상투표,,338,321,149,131,17,6,5,308,13,17
관외사전투표,,13144,13142,7832,4238,596,109,102,12877,265,2
국외부재자투표,,729,195,152,30,10,1,1,194,1,534
국외부재자투표(공관),,0,6,4,2,0,0,0,6,0,-6
중동,소계,32843,20261,10307,8607,808,178,108,20008,253,12582
,관내사전투표,5236,5236,3130,1823,185,38,14,5190,46,0
,중동제1투,3052,1228,595,527,50,16,15,1203,25,1824
,중동제2투,2992,1756,857,784,67,19,7,1734,22,1236
,중동제3투,3395,1819,906,761,90,19,16,1792,27,1576
,중동제4투,2775,1470,747,617,65,13,13,1455,15,1305
,중동제5투,3046,1864,930,813,83,8,9,1843,21,1182
,중동제6투,2849,1964,799,1055,74,12,2,1942,22,885
,중동제7투,3663,1997,889,956,91,23,11,1970,27,1666
,중동제8투,2621,1317,658,552,56,18,10,1294,23,1304
,중동제9투,3214,1610,796,719,47,12,11,1585,25,1604
신중동,소계,106581,69598,37137,28174,2755,532,317,68915,683,36983
,관내사전투표,18210,18210,11483,5758,672,100,66,18079,131,0
,신중동제1투,4777,2680,1380,1092,129,27,15,2643,37,2097
,신중동제2투,4267,2378,1253,973,81,25,15,2347,31,1889
,신중동제3투,4159,2447,1218,1077,98,25,9,2427,20,1712
,신중동제4투,3489,1914,967,818,75,14,14,1888,26,1575
,신중동제5투,3244,2112,1099,880,89,11,11,2090,22,1132
,신중동제6투,3605,1463,814,548,74,5,7,1448,15,2142
,신중동제7투,2617,1218,665,458,61,8,11,1203,15,1399
,신중동제8투,2014,1431,716,620,61,13,5,1415,16,583
,신중동제9투,2476,1617,759,758,54,20,6,1597,20,859
,신중동제10투,3566,1731,908,698,85,16,10,1717,14,1835
,신중동제11투,3741,2368,1230,999,99,18,6,2352,16,1373
,신중동제12투,3800,2136,1005,991,71,28,10,2105,31,1664
,신중동제13투,2429,1684,736,873,56,3,4,1672,12,745
,신중동제14투,3276,1910,908,885,81,9,10,1893,17,1366
,신중동제15투,3088,1999,932,955,69,17,16,1989,10,1089
,신중동제16투,3270,2008,937,972,66,11,4,1990,18,1262
,신중동제17투,3023,1890,887,891,68,18,9,1873,17,1133
,신중동제18투,2469,1525,648,797,55,10,6,1516,9,944
,신중동제19투,4018,2448,1237,1040,98,27,11,2413,35,1570
,신중동제20투,3248,2180,941,1098,84,21,13,2157,23,1068
,신중동제21투,2998,1646,877,629,84,25,8,1623,23,1352
,신중동제22투,3507,2139,1243,773,85,11,12,2124,15,1368
,신중동제23투,2320,1151,575,485,41,11,13,1125,26,1169
,신중동제24투,3469,2233,994,1110,80,15,9,2208,25,1236
,신중동제25투,2929,1523,775,640,71,11,7,1504,19,1406
,신중동제26투,3663,1811,958,722,87,14,6,1787,24,1852
,신중동제27투,2909,1746,992,634,81,19,4,1730,16,1163
상동,소계,66410,45423,25306,17159,1976,367,201,45009,414,20987
,관내사전투표,12961,12959,8367,3826,521,102,48,12864,95,2
,상동제1투,3244,1989,1119,730,77,29,6,1961,28,1255
,상동제2투,5059,2537,1357,1001,123,22,11,2514,23,2522
,상동제3투,2997,1779,926,732,83,18,4,1763,16,1218
,상동제4투,3226,1744,916,702,73,24,7,1722,22,1482
,상동제5투,2362,1443,764,589,55,9,10,1427,16,919
,상동제6투,4129,2636,1375,1083,121,21,11,2611,25,1493
,상동제7투,4222,2573,1295,1110,113,20,15,2553,20,1649
,상동제8투,3400,2288,1215,904,109,22,16,2266,22,1112
,상동제9투,3794,2219,1294,765,115,10,18,2202,17,1575
,상동제10투,4483,2631,1345,1127,101,11,15,2599,32,1852
,상동제11투,4437,2708,1501,1006,134,25,14,2680,28,1729
,상동제12투,4052,2641,1137,1343,116,15,8,2619,22,1411
,상동제13투,3996,2646,1253,1242,109,18,5,2627,19,1350
,상동제14투,4048,2630,1442,999,126,21,13,2601,29,1418
잘못 투입·구분된 투표지,,0,3,2,0,0,0,0,2,1,-3
