읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서영석,미래통합당안병도,정의당구자호,국가혁명배당금당서남순,계,무효투표수,기권수
합계,,150459,88552,49552,32094,4984,692,87322,1230,61907
거소·선상투표,,243,240,116,65,37,9,227,13,3
관외사전투표,,8139,8137,5128,2206,535,76,7945,192,2
국외부재자투표,,339,117,80,31,4,2,117,0,222
국외부재자투표(공관),,0,7,6,1,0,0,7,0,-7
성곡동,소계,70041,39527,21992,14671,2046,303,39012,515,30514
,관내사전투표,7604,7604,4976,2192,333,33,7534,70,0
,성곡동제1투,4017,1669,904,641,91,13,1649,20,2348
,성곡동제2투,3371,1743,979,602,111,23,1715,28,1628
,성곡동제3투,3403,1707,905,669,102,13,1689,18,1696
,성곡동제4투,3056,1567,840,613,78,11,1542,25,1489
,성곡동제5투,2471,1284,673,518,59,10,1260,24,1187
,성곡동제6투,2528,1229,551,564,83,17,1215,14,1299
,성곡동제7투,2026,1172,559,517,65,13,1154,18,854
,성곡동제8투,2566,1272,669,481,92,10,1252,20,1294
,성곡동제9투,2530,1619,804,701,78,6,1589,30,911
,성곡동제10투,3826,2224,1247,823,117,10,2197,27,1602
,성곡동제11투,4140,2160,1186,817,119,17,2139,21,1980
,성곡동제12투,3564,1745,931,695,82,12,1720,25,1819
,성곡동제13투,3815,1816,979,697,95,20,1791,25,1999
,성곡동제14투,3917,1996,1073,768,105,21,1967,29,1921
,성곡동제15투,3940,1963,1151,674,97,19,1941,22,1977
,성곡동제16투,2163,1205,548,566,67,11,1192,13,958
,성곡동제17투,2551,1302,685,539,50,7,1281,21,1249
,성곡동제18투,3115,1491,819,565,75,10,1469,22,1624
,성곡동제19투,2504,1356,750,510,68,10,1338,18,1148
,성곡동제20투,2934,1403,763,519,79,17,1378,25,1531
오정동,소계,71697,40523,22229,15120,2362,302,40013,510,31174
,관내사전투표,8982,8981,5839,2530,483,54,8906,75,1
,오정동제1투,3861,1802,893,762,114,10,1779,23,2059
,오정동제2투,4696,2813,1422,1152,186,15,2775,38,1883
,오정동제3투,3189,1604,804,659,112,10,1585,19,1585
,오정동제4투,3235,1590,783,646,105,21,1555,35,1645
,오정동제5투,299,184,52,121,7,1,181,3,115
,오정동제6투,3584,1733,892,711,101,12,1716,17,1851
,오정동제7투,3595,2057,1048,873,99,8,2028,29,1538
,오정동제8투,2948,1442,727,601,86,10,1424,18,1506
,오정동제9투,3167,1610,860,635,83,11,1589,21,1557
,오정동제10투,3595,1708,906,675,92,17,1690,18,1887
,오정동제11투,3566,1656,922,600,104,10,1636,20,1910
,오정동제12투,3467,1735,963,626,112,12,1713,22,1732
,오정동제13투,2308,1215,624,488,82,4,1198,17,1093
,오정동제14투,2994,1382,715,552,83,14,1364,18,1612
,오정동제15투,3354,1683,879,661,98,25,1663,20,1671
,오정동제16투,3002,1455,750,587,83,14,1434,21,1547
,오정동제17투,4833,2371,1355,805,154,15,2329,42,2462
,오정동제18투,2882,1425,789,523,75,16,1403,22,1457
,오정동제19투,2151,1067,512,483,43,16,1054,13,1084
,오정동제20투,1989,1010,494,430,60,7,991,19,979
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
