읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김병욱,미래통합당김민수,정의당양호영,우리공화당채지민,민중당김미라,국가혁명배당금당송의준,무소속이나영,계,무효투표수,기권수
합계,,195239,143734,68387,64342,3021,439,489,305,5662,142645,1089,51505
거소·선상투표,,227,216,96,87,4,3,4,1,11,206,10,11
관외사전투표,,12561,12557,7008,4488,305,22,51,39,466,12379,178,4
국외부재자투표,,1631,361,204,144,4,0,2,1,6,361,0,1270
국외부재자투표(공관),,0,14,7,6,1,0,0,0,0,14,0,-14
분당동,소계,19403,13648,6724,6022,329,23,45,35,396,13574,74,5755
,관내사전투표,3747,3747,2173,1362,89,5,11,7,91,3738,9,0
,분당동제1투,2891,1929,892,909,39,7,3,3,67,1920,9,962
,분당동제2투,2652,1969,966,866,49,2,9,4,63,1959,10,683
,분당동제3투,2307,1488,557,849,20,3,6,7,33,1475,13,819
,분당동제4투,2526,1338,631,586,50,4,6,4,49,1330,8,1188
,분당동제5투,2597,1690,789,809,42,0,3,5,34,1682,8,907
,분당동제6투,2683,1487,716,641,40,2,7,5,59,1470,17,1196
수내1동,소계,14309,10467,4555,5110,234,31,19,22,413,10384,83,3842
,관내사전투표,3643,3642,1969,1416,84,6,5,10,121,3611,31,1
,수내1동제1투,2024,1300,428,780,18,7,3,2,55,1293,7,724
,수내1동제2투,1851,1349,464,792,21,4,1,0,58,1340,9,502
,수내1동제3투,3267,1796,806,845,49,4,4,8,68,1784,12,1471
,수내1동제4투,1495,917,375,458,23,4,3,1,39,903,14,578
,수내1동제5투,2029,1463,513,819,39,6,3,1,72,1453,10,566
수내2동,소계,7699,6080,2619,3039,119,11,12,7,240,6047,33,1619
,관내사전투표,2394,2394,1244,999,44,2,7,1,84,2381,13,0
,수내2동제1투,1822,1187,442,652,23,1,1,4,57,1180,7,635
,수내2동제2투,2143,1553,580,870,32,4,1,2,58,1547,6,590
,수내2동제3투,1340,946,353,518,20,4,3,0,41,939,7,394
수내3동,소계,10910,8133,4259,3305,177,33,20,20,277,8091,42,2777
,관내사전투표,3130,3130,1947,1001,60,8,9,7,88,3120,10,0
