읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당백혜련,미래통합당정미경,국가혁명배당금당황지윤,계,무효투표수,기권수
합계,,213294,140857,84500,53334,1406,139240,1617,72437
거소·선상투표,,382,367,173,165,12,350,17,15
관외사전투표,,14911,14905,9728,4646,224,14598,307,6
국외부재자투표,,612,140,109,31,0,140,0,472
국외부재자투표(공관),,0,7,4,3,0,7,0,-7
평동,소계,32309,19614,10624,8549,233,19406,208,12695
,관내사전투표,5144,5144,3142,1934,41,5117,27,0
,평동제1투,1905,876,369,481,11,861,15,1029
,평동제2투,2040,963,425,509,14,948,15,1077
,평동제3투,2664,1233,612,588,15,1215,18,1431
,평동제4투,2650,1336,738,568,14,1320,16,1314
,평동제5투,3446,1822,896,871,29,1796,26,1624
,평동제6투,3778,2014,1059,891,31,1981,33,1764
,평동제7투,2950,1721,856,804,37,1697,24,1229
,평동제8투,3573,2099,1201,867,18,2086,13,1474
,평동제9투,4159,2406,1326,1036,23,2385,21,1753
서둔동,소계,31148,17125,9582,7138,210,16930,195,14023
,관내사전투표,3603,3598,2229,1307,29,3565,33,5
,서둔동제1투,1833,855,405,428,9,842,13,978
,서둔동제2투,2168,1233,688,526,9,1223,10,935
,서둔동제3투,3412,1666,834,779,34,1647,19,1746
,서둔동제4투,2130,866,418,419,16,853,13,1264
,서둔동제5투,3441,1751,930,778,30,1738,13,1690
,서둔동제6투,3847,1965,1065,846,31,1942,23,1882
,서둔동제7투,2518,1609,932,641,11,1584,25,909
,서둔동제8투,3981,1773,986,744,18,1748,25,2208
,서둔동제9투,4215,1809,1095,670,23,1788,21,2406
구운동,소계,20048,12521,6786,5485,106,12377,144,7527
,관내사전투표,3432,3432,2112,1274,20,3406,26,0
,구운동제1투,2463,1148,617,499,15,1131,17,1315
,구운동제2투,3022,1861,944,889,12,1845,16,1161
,구운동제3투,2248,1202,582,582,10,1174,28,1046
,구운동제4투,2789,1444,726,682,16,1424,20,1345
,구운동제5투,3442,2377,1260,1074,19,2353,24,1065
,구운동제6투,2652,1057,545,485,14,1044,13,1595
입북동,소계,13091,9156,5778,3217,78,9073,83,3935
,관내사전투표,2814,2814,1960,824,11,2795,19,0
,입북동제1투,2087,1218,701,498,11,1210,8,869
,입북동제2투,3220,1932,1083,799,23,1905,27,1288
,입북동제3투,2621,1567,967,571,17,1555,12,1054
,입북동제4투,2349,1625,1067,525,16,1608,17,724
금곡동,소계,34447,23217,14236,8648,150,23034,183,11230
,관내사전투표,6984,6981,4850,2077,29,6956,25,3
,금곡동제1투,3557,2139,1353,763,11,2127,12,1418
,금곡동제2투,3387,1736,907,783,22,1712,24,1651
,금곡동제3투,4170,2244,1245,961,16,2222,22,1926
,금곡동제4투,2978,1931,1030,855,12,1897,34,1047
,금곡동제5투,3202,2167,1186,945,12,2143,24,1035
,금곡동제6투,2218,1247,721,495,21,1237,10,971
,금곡동제7투,2422,1379,848,506,12,1366,13,1043
,금곡동제8투,2767,1516,862,632,9,1503,13,1251
,금곡동제9투,2762,1877,1234,631,6,1871,6,885
호매실동,소계,32972,21016,13682,7001,186,20869,147,11956
,관내사전투표,6740,6737,4741,1923,40,6704,33,3
,호매실동제1투,2994,1541,792,715,17,1524,17,1453
,호매실동제2투,3131,1810,1060,713,24,1797,13,1321
,호매실동제3투,2688,1339,937,380,10,1327,12,1349
,호매실동제4투,3411,1741,1106,605,17,1728,13,1670
,호매실동제5투,4199,2309,1421,840,27,2288,21,1890
,호매실동제6투,3486,1949,1345,574,14,1933,16,1537
,호매실동제7투,3961,2112,1297,776,25,2098,14,1849
,호매실동제8투,2362,1478,983,475,12,1470,8,884
율천동,소계,33374,22785,13795,8451,207,22453,332,10589
,관내사전투표,5901,5901,4039,1752,38,5829,72,0
,율천동제1투,2948,1630,849,727,16,1592,38,1318
,율천동제2투,2963,1514,806,661,23,1490,24,1449
,율천동제3투,2214,1552,932,592,13,1537,15,662
,율천동제4투,3272,2222,1365,820,23,2208,14,1050
,율천동제5투,2723,1757,1003,709,18,1730,27,966
,율천동제6투,3001,1798,1054,697,21,1772,26,1203
,율천동제7투,2214,1363,786,547,10,1343,20,851
,율천동제8투,1137,375,175,163,5,343,32,762
,율천동제9투,3870,2654,1534,1069,22,2625,29,1216
,율천동제10투,3131,2019,1252,714,18,1984,35,1112
잘못 투입·구분된 투표지,,0,4,3,0,0,3,1,-4
