읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박광온,미래통합당홍종기,민중당남동호,국가혁명배당금당전주연,무소속임종훈,계,무효투표수,기권수
합계,,201639,139932,79557,52585,1321,701,4371,138535,1397,61707
거소·선상투표,,252,241,113,96,9,2,15,235,6,11
관외사전투표,,14606,14597,9002,4590,175,100,497,14364,233,9
국외부재자투표,,879,202,139,58,1,2,2,202,0,677
국외부재자투표(공관),,0,8,7,1,0,0,0,8,0,-8
매탄1동,소계,14928,9926,5305,4007,107,85,322,9826,100,5002
,관내사전투표,3445,3445,2076,1209,30,19,85,3419,26,0
,매탄1동제1투,1749,930,473,368,17,15,41,914,16,819
,매탄1동제2투,2345,1507,686,730,20,11,49,1496,11,838
,매탄1동제3투,1801,1147,627,456,9,8,41,1141,6,654
,매탄1동제4투,2244,1328,728,532,13,5,37,1315,13,916
,매탄1동제5투,1586,781,357,342,12,15,34,760,21,805
,매탄1동제6투,1758,788,358,370,6,12,35,781,7,970
매탄2동,소계,12571,8011,4367,3123,89,60,293,7932,79,4560
,관내사전투표,3008,3008,1855,1018,23,18,80,2994,14,0
,매탄2동제1투,2729,1255,624,535,18,15,38,1230,25,1474
,매탄2동제2투,2523,1147,531,494,16,9,79,1129,18,1376
,매탄2동제3투,2607,1547,765,678,18,14,60,1535,12,1060
,매탄2동제4투,1704,1054,592,398,14,4,36,1044,10,650
매탄3동,소계,27439,18127,10191,6832,203,81,620,17927,200,9312
,관내사전투표,5773,5771,3650,1869,57,13,138,5727,44,2
,매탄3동제1투,3796,2558,1336,1075,32,6,91,2540,18,1238
,매탄3동제2투,3213,1733,957,676,18,12,57,1720,13,1480
,매탄3동제3투,3087,1766,952,689,20,8,75,1744,22,1321
,매탄3동제4투,3187,1806,944,726,22,7,84,1783,23,1381
,매탄3동제5투,3047,1666,848,690,19,15,74,1646,20,1381
,매탄3동제6투,2928,1768,893,764,18,9,58,1742,26,1160
,매탄3동제7투,2408,1059,611,343,17,11,43,1025,34,1349
매탄4동,소계,17762,10613,5869,4027,118,71,410,10495,118,7149
,관내사전투표,3600,3600,2256,1146,35,19,115,3571,29,0
,매탄4동제1투,2762,1172,565,508,18,17,48,1156,16,1590
,매탄4동제2투,2766,1470,829,533,18,14,61,1455,15,1296
,매탄4동제3투,2559,1120,542,486,13,11,59,1111,9,1439
,매탄4동제4투,2967,1545,850,595,16,7,56,1524,21,1422
,매탄4동제5투,3108,1706,827,759,18,3,71,1678,28,1402
원천동,소계,28606,17966,10078,7009,138,90,497,17812,154,10640
,관내사전투표,4995,4995,3201,1602,25,22,108,4958,37,0
,원천동제1투,3653,2070,1261,691,22,12,69,2055,15,1583
,원천동제2투,3245,1576,708,759,19,21,45,1552,24,1669
,원천동제3투,4593,2003,1079,765,19,11,99,1973,30,2590
,원천동제4투,2102,938,527,352,15,4,24,922,16,1164
,원천동제5투,2144,1302,706,539,7,5,36,1293,9,842
,원천동제6투,3521,2157,1164,914,12,5,50,2145,12,1364
,원천동제7투,4353,2925,1432,1387,19,10,66,2914,11,1428
영통1동,소계,26065,18280,11183,6152,183,70,528,18116,164,7785
,관내사전투표,5711,5711,3925,1577,39,15,126,5682,29,0
,영통1동제1투,2990,1683,1038,539,21,11,56,1665,18,1307
,영통1동제2투,4016,2324,1425,773,20,5,75,2298,26,1692
,영통1동제3투,3006,1901,1054,746,24,9,51,1884,17,1105
,영통1동제4투,3306,2216,1281,808,26,8,74,2197,19,1090
,영통1동제5투,3939,2507,1333,1030,31,12,71,2477,30,1432
,영통1동제6투,3097,1938,1127,679,22,10,75,1913,25,1159
광교1동,소계,38060,27468,15254,10914,191,80,798,27237,231,10592
,관내사전투표,7987,7987,5184,2543,36,7,164,7934,53,0
,광교1동제1투,3203,1801,992,693,9,12,67,1773,28,1402
,광교1동제2투,2701,1804,1071,658,16,10,43,1798,6,897
,광교1동제3투,2992,1722,861,753,16,8,65,1703,19,1270
,광교1동제4투,2873,2093,1067,943,10,4,56,2080,13,780
,광교1동제5투,3587,2516,1244,1155,13,3,83,2498,18,1071
,광교1동제6투,3505,1910,916,867,21,9,69,1882,28,1595
,광교1동제7투,1728,1290,562,645,19,6,44,1276,14,438
,광교1동제8투,2769,1718,1043,551,27,5,68,1694,24,1051
,광교1동제9투,3417,2346,1233,1022,11,6,57,2329,17,1071
,광교1동제10투,3298,2281,1081,1084,13,10,82,2270,11,1017
광교2동,소계,20471,14488,8044,5776,107,60,389,14376,112,5983
,관내사전투표,4389,4388,2835,1394,21,16,104,4370,18,1
,광교2동제1투,4222,2609,1067,1401,22,6,101,2597,12,1613
,광교2동제2투,2988,1763,966,703,16,12,42,1739,24,1225
,광교2동제3투,3557,2104,1168,829,20,10,58,2085,19,1453
,광교2동제4투,2930,2067,1089,883,20,11,44,2047,20,863
,광교2동제5투,2385,1557,919,566,8,5,40,1538,19,828
잘못 투입·구분된 투표지,,0,5,5,0,0,0,0,5,0,-5
