읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당문정복,미래통합당함진규,정의당양범진,국가혁명배당금당홍석준,계,무효투표수,기권수
합계,,205939,134026,68653,59595,3622,875,132745,1281,71913
거소·선상투표,,349,332,111,181,9,19,320,12,17
관외사전투표,,10516,10512,5823,4030,349,122,10324,188,4
국외부재자투표,,479,125,85,36,3,0,124,1,354
국외부재자투표(공관),,0,7,6,1,0,0,7,0,-7
대야동,소계,30051,19221,9621,8773,542,113,19049,172,10830
,관내사전투표,5692,5691,3244,2237,136,33,5650,41,1
,대야동제1투,4279,1897,859,955,54,15,1883,14,2382
,대야동제2투,2253,1158,463,641,40,4,1148,10,1095
,대야동제3투,3200,1644,732,814,48,14,1608,36,1556
,대야동제4투,4059,2346,1179,1045,95,7,2326,20,1713
,대야동제5투,411,276,59,207,6,2,274,2,135
,대야동제6투,3156,1780,834,852,59,16,1761,19,1376
,대야동제7투,3307,2048,944,1013,56,10,2023,25,1259
,대야동제8투,1127,643,281,346,11,4,642,1,484
,대야동제9투,2567,1738,1026,663,37,8,1734,4,829
신천동,소계,30420,16685,7957,7904,519,133,16513,172,13735
,관내사전투표,3366,3366,1957,1298,73,18,3346,20,0
,신천동제1투,2584,1095,508,517,49,7,1081,14,1489
,신천동제2투,4648,2256,1018,1114,77,26,2235,21,2392
,신천동제3투,2400,1196,501,637,40,10,1188,8,1204
,신천동제4투,3464,1685,742,827,71,23,1663,22,1779
,신천동제5투,2933,1508,696,731,45,11,1483,25,1425
,신천동제6투,2875,1472,665,733,35,18,1451,21,1403
,신천동제7투,3980,1941,877,992,55,1,1925,16,2039
,신천동제8투,4170,2166,993,1055,74,19,2141,25,2004
신현동,소계,8888,5805,2506,3063,125,39,5733,72,3083
,관내사전투표,2182,2182,1095,995,43,10,2143,39,0
,신현동제1투,1695,877,339,491,33,6,869,8,818
,신현동제2투,2108,1133,464,627,24,9,1124,9,975
,신현동제3투,2532,1383,554,780,22,12,1368,15,1149
,신현동제4투,371,230,54,170,3,2,229,1,141
은행동,소계,36057,23561,12566,10044,641,120,23371,190,12496
,관내사전투표,5657,5657,3491,1984,114,26,5615,42,0
,은행동제1투,4290,2059,955,1017,47,16,2035,24,2231
,은행동제2투,3822,1962,931,927,65,13,1936,26,1860
,은행동제3투,3415,2105,1075,951,55,7,2088,17,1310
,은행동제4투,4198,2498,1305,1064,87,19,2475,23,1700
,은행동제5투,3451,2079,925,1063,67,7,2062,17,1372
,은행동제6투,4577,3057,1553,1392,85,10,3040,17,1520
,은행동제7투,2909,1878,1166,620,73,7,1866,12,1031
,은행동제8투,3738,2266,1165,1026,48,15,2254,12,1472
매화동,소계,10457,6555,3027,3238,151,51,6467,88,3902
,관내사전투표,2727,2727,1456,1173,47,19,2695,32,0
,매화동제1투,3191,1549,670,806,41,14,1531,18,1642
,매화동제2투,2306,1168,434,677,33,8,1152,16,1138
,매화동제3투,2233,1111,467,582,30,10,1089,22,1122
목감동,소계,31464,20283,11011,8503,506,120,20140,143,11181
,관내사전투표,4899,4899,2965,1790,89,19,4863,36,0
,목감동제1투,3519,1781,730,975,42,16,1763,18,1738
,목감동제2투,1348,787,327,424,20,9,780,7,561
,목감동제3투,3268,1750,793,871,58,15,1737,13,1518
,목감동제4투,2607,1486,840,578,46,10,1474,12,1121
,목감동제5투,3390,2056,1256,713,63,13,2045,11,1334
,목감동제6투,4520,2551,1300,1143,67,20,2530,21,1969
,목감동제7투,3671,2211,1243,894,51,11,2199,12,1460
,목감동제8투,4242,2762,1557,1115,70,7,2749,13,1480
과림동,소계,1919,1303,453,810,17,8,1288,15,616
,관내사전투표,641,641,271,348,11,8,638,3,0
,과림동투표소,1278,662,182,462,6,0,650,12,616
연성동,소계,18764,12177,6306,5441,282,59,12088,89,6587
,관내사전투표,2735,2735,1727,934,54,9,2724,11,0
,연성동제1투,4074,2226,1133,1001,65,12,2211,15,1848
,연성동제2투,3670,2284,1053,1147,52,12,2264,20,1386
,연성동제3투,3829,2181,1119,998,43,8,2168,13,1648
,연성동제4투,2589,1532,748,722,35,10,1515,17,1057
,연성동제5투,1867,1219,526,639,33,8,1206,13,648
능곡동,소계,13625,8887,4597,3893,250,58,8798,89,4738
,관내사전투표,3519,3519,2052,1336,90,18,3496,23,0
,능곡동제1투,3199,1685,684,924,48,12,1668,17,1514
,능곡동제2투,3180,1646,860,688,59,17,1624,22,1534
,능곡동제3투,3727,2037,1001,945,53,11,2010,27,1690
장곡동,소계,12950,8567,4584,3673,228,33,8518,49,4383
,관내사전투표,3135,3135,1883,1148,78,11,3120,15,0
,장곡동제1투,3898,2172,984,1112,51,8,2155,17,1726
,장곡동제2투,3497,1974,1010,885,61,7,1963,11,1523
,장곡동제3투,2420,1286,707,528,38,7,1280,6,1134
잘못 투입·구분된 투표지,,0,6,0,5,0,0,5,1,-6
