읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이규민,미래통합당김학용,국가혁명배당금당송민정,계,무효투표수,기권수
합계,,155021,98475,49721,45554,1372,96647,1828,56546
거소·선상투표,,238,225,90,111,8,209,16,13
관외사전투표,,6985,6977,3989,2733,112,6834,143,8
국외부재자투표,,378,71,40,29,2,71,0,307
국외부재자투표(공관),,0,7,3,4,0,7,0,-7
공도읍,소계,41975,24001,13639,9743,279,23661,340,17974
,관내사전투표,6547,6535,4151,2285,45,6481,54,12
,공도읍제1투,3699,1869,938,876,26,1840,29,1830
,공도읍제2투,1756,851,441,377,13,831,20,905
,공도읍제3투,2728,1315,652,607,19,1278,37,1413
,공도읍제4투,3970,1560,837,664,25,1526,34,2410
,공도읍제5투,3816,1970,1049,881,22,1952,18,1846
,공도읍제6투,2719,1250,643,552,26,1221,29,1469
,공도읍제7투,4644,2172,1104,1009,29,2142,30,2472
,공도읍제8투,3251,1573,980,556,24,1560,13,1678
,공도읍제9투,1839,961,533,393,18,944,17,878
,공도읍제10투,3017,1618,891,692,10,1593,25,1399
,공도읍제11투,3989,2327,1420,851,22,2293,34,1662
보개면,소계,5166,3574,1563,1844,62,3469,105,1592
,관내사전투표,1713,1711,917,731,24,1672,39,2
,보개면제1투,1038,468,200,245,14,459,9,570
,보개면제2투,574,313,105,189,7,301,12,261
,보개면제3투,1111,643,242,377,10,629,14,468
,보개면제4투,730,439,99,302,7,408,31,291
금광면,소계,6287,4133,2070,1945,53,4068,65,2154
,관내사전투표,1338,1337,775,537,13,1325,12,1
,금광면제1투,1161,686,267,400,11,678,8,475
,금광면제2투,532,311,102,195,6,303,8,221
,금광면제3투,642,383,156,211,5,372,11,259
,금광면제4투,506,299,75,205,5,285,14,207
,금광면제5투,2108,1117,695,397,13,1105,12,991
서운면,소계,3243,2220,882,1239,42,2163,57,1023
,관내사전투표,1092,1092,514,546,14,1074,18,0
,서운면제1투,1072,487,181,282,13,476,11,585
,서운면제2투,498,322,82,229,8,319,3,176
,서운면제3투,581,319,105,182,7,294,25,262
미양면,소계,5062,3190,1422,1644,43,3109,81,1872
,관내사전투표,1460,1458,746,658,19,1423,35,2
,미양면제1투,1240,628,260,351,9,620,8,612
,미양면제2투,1452,635,256,346,7,609,26,817
,미양면제3투,910,469,160,289,8,457,12,441
대덕면,소계,12556,7130,3772,3150,104,7026,104,5426
,관내사전투표,2772,2769,1591,1125,23,2739,30,3
,대덕면제1투,1457,696,290,387,9,686,10,761
,대덕면제2투,1336,702,307,356,14,677,25,634
,대덕면제3투,3532,1103,516,534,32,1082,21,2429
,대덕면제4투,3459,1860,1068,748,26,1842,18,1599
양성면,소계,4776,3145,1180,1820,56,3056,89,1631
,관내사전투표,1333,1333,604,685,19,1308,25,0
,양성면제1투,1268,620,206,373,13,592,28,648
,양성면제2투,918,535,158,355,5,518,17,383
,양성면제3투,1257,657,212,407,19,638,19,600
원곡면,소계,5114,2915,1252,1547,42,2841,74,2199
,관내사전투표,1040,1039,478,545,6,1029,10,1
,원곡면제1투,2603,1052,390,595,24,1009,43,1551
,원곡면제2투,960,530,287,227,11,525,5,430
,원곡면제3투,511,294,97,180,1,278,16,217
일죽면,소계,6478,4055,1604,2303,58,3965,90,2423
,관내사전투표,1610,1609,723,835,17,1575,34,1
,일죽면제1투,1465,637,264,353,6,623,14,828
,일죽면제2투,1269,654,236,383,11,630,24,615
,일죽면제3투,1274,682,234,426,10,670,12,592
,일죽면제4투,860,473,147,306,14,467,6,387
죽산면,소계,6152,3879,1693,2043,47,3783,96,2273
,관내사전투표,1888,1885,924,895,16,1835,50,3
,죽산면제1투,2228,1030,396,599,13,1008,22,1198
,죽산면제2투,1380,613,246,337,15,598,15,767
,죽산면제3투,656,351,127,212,3,342,9,305
삼죽면,소계,3078,1991,916,984,28,1928,63,1087
,관내사전투표,904,904,494,391,11,896,8,0
,삼죽면제1투,1320,656,230,373,10,613,43,664
,삼죽면제2투,854,431,192,220,7,419,12,423
고삼면,소계,2157,1655,722,882,26,1630,25,502
,관내사전투표,962,962,478,468,5,951,11,0
,고삼면제1투,800,445,151,273,15,439,6,355
,고삼면제2투,395,248,93,141,6,240,8,147
안성1동,소계,11080,7356,3367,3781,122,7270,86,3724
,관내사전투표,3462,3460,1724,1644,50,3418,42,2
,안성1동제1투,1400,669,265,381,10,656,13,731
,안성1동제2투,1844,1050,432,583,22,1037,13,794
,안성1동제3투,2990,1480,677,769,25,1471,9,1510
,안성1동제4투,1384,697,269,404,15,688,9,687
안성2동,소계,17400,10929,5864,4695,164,10723,206,6471
,관내사전투표,4588,4583,2665,1793,62,4520,63,5
,안성2동제1투,3450,1708,806,814,23,1643,65,1742
,안성2동제2투,3496,1613,862,705,25,1592,21,1883
,안성2동제3투,2325,1274,641,594,22,1257,17,1051
,안성2동제4투,667,384,185,176,7,368,16,283
,안성2동제5투,2874,1367,705,613,25,1343,24,1507
안성3동,소계,16896,10976,5633,5033,124,10790,186,5920
,관내사전투표,3931,3929,2253,1590,31,3874,55,2
,안성3동제1투,3288,1683,901,736,18,1655,28,1605
,안성3동제2투,1419,788,404,353,13,770,18,631
,안성3동제3투,1277,689,285,381,11,677,12,588
,안성3동제4투,2010,1123,498,568,20,1086,37,887
,안성3동제5투,2294,1242,629,585,15,1229,13,1052
,안성3동제6투,1215,650,259,373,9,641,9,565
,안성3동제7투,1462,872,404,447,7,858,14,590
잘못 투입·구분된 투표지,,0,46,20,24,0,44,2,-46
