읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정성호,미래통합당안기영,국가혁명배당금당최일선,계,무효투표수,기권수
합계,,184804,112865,69905,40414,1270,111589,1276,71939
거소·선상투표,,675,616,316,201,32,549,67,59
관외사전투표,,9107,9091,6153,2638,150,8941,150,16
국외부재자투표,,485,111,88,21,1,110,1,374
국외부재자투표(공관),,0,2,1,1,0,2,0,-2
백석읍,소계,21485,12306,6753,5264,150,12167,139,9179
,관내사전투표,3878,3877,2402,1409,27,3838,39,1
,백석읍제1투,3152,1266,611,617,25,1253,13,1886
,백석읍제2투,2553,1226,598,582,26,1206,20,1327
,백석읍제3투,1924,889,363,503,11,877,12,1035
,백석읍제4투,3286,1651,896,710,20,1626,25,1635
,백석읍제5투,2173,996,482,486,15,983,13,1177
,백석읍제6투,2305,1159,650,488,12,1150,9,1146
,백석읍제7투,2214,1242,751,469,14,1234,8,972
은현면,소계,5585,3330,1692,1565,32,3289,41,2255
,관내사전투표,1303,1303,802,471,11,1284,19,0
,은현면제1투,1112,503,236,256,4,496,7,609
,은현면제2투,1641,744,340,391,7,738,6,897
,은현면제3투,786,376,165,204,4,373,3,410
,은현면제4투,743,404,149,243,6,398,6,339
남면,소계,6237,3634,1928,1600,54,3582,52,2603
,관내사전투표,1397,1397,869,470,26,1365,32,0
,남면제1투,1943,812,408,382,13,803,9,1131
,남면제2투,723,374,148,220,4,372,2,349
,남면제3투,1524,669,329,326,7,662,7,855
,남면제4투,650,382,174,202,4,380,2,268
광적면,소계,10578,6172,3301,2703,94,6098,74,4406
,관내사전투표,3124,3124,1875,1167,44,3086,38,0
,광적면제1투,3696,1260,565,652,26,1243,17,2436
,광적면제2투,2427,1092,577,489,16,1082,10,1335
,광적면제3투,278,179,73,100,4,177,2,99
,광적면제4투,1053,517,211,295,4,510,7,536
장흥면,소계,8581,5314,2552,2610,87,5249,65,3267
,관내사전투표,1911,1911,1043,800,30,1873,38,0
,장흥면제1투,3010,1485,647,800,30,1477,8,1525
,장흥면제2투,1135,572,244,318,5,567,5,563
,장흥면제3투,2525,1346,618,692,22,1332,14,1179
양주1동,소계,5323,3480,1983,1417,30,3430,50,1843
,관내사전투표,1384,1384,983,377,12,1372,12,0
,양주1동제1투,1338,689,315,357,5,677,12,649
,양주1동제2투,773,467,169,289,4,462,5,306
,양주1동제3투,1828,940,516,394,9,919,21,888
양주2동,소계,37294,22539,14678,7502,189,22369,170,14755
,관내사전투표,7388,7388,5288,2014,42,7344,44,0
,양주2동제1투,3048,1485,898,564,16,1478,7,1563
,양주2동제2투,3274,1699,1069,598,18,1685,14,1575
,양주2동제3투,3316,1768,1105,634,15,1754,14,1548
,양주2동제4투,2754,1515,953,539,11,1503,12,1239
,양주2동제5투,3892,2197,1431,724,22,2177,20,1695
,양주2동제6투,2979,1578,944,606,15,1565,13,1401
,양주2동제7투,2699,1254,782,447,11,1240,14,1445
,양주2동제8투,2854,1264,686,541,20,1247,17,1590
,양주2동제9투,3144,1396,848,529,9,1386,10,1748
,양주2동제10투,1946,995,674,306,10,990,5,951
회천1동,소계,8495,5280,3127,2010,61,5198,82,3215
,관내사전투표,2395,2394,1552,785,19,2356,38,1
,회천1동제1투,2710,1250,720,495,17,1232,18,1460
,회천1동제2투,2516,1200,681,481,19,1181,19,1316
,회천1동제3투,874,436,174,249,6,429,7,438
회천2동,소계,21937,12546,7953,4317,138,12408,138,9391
,관내사전투표,4265,4265,2976,1186,54,4216,49,0
,회천2동제1투,3198,1329,790,506,16,1312,17,1869
,회천2동제2투,3316,1374,846,499,15,1360,14,1942
,회천2동제3투,1968,973,561,389,11,961,12,995
,회천2동제4투,2673,1260,745,491,6,1242,18,1413
,회천2동제5투,2963,1674,1013,638,11,1662,12,1289
,회천2동제6투,3554,1671,1022,608,25,1655,16,1883
회천3동,소계,21463,13114,8605,4257,129,12991,123,8349
,관내사전투표,5044,5044,3651,1308,40,4999,45,0
,회천3동제1투,2136,997,576,401,12,989,8,1139
,회천3동제2투,3211,1448,915,495,21,1431,17,1763
,회천3동제3투,3135,1465,959,480,10,1449,16,1670
,회천3동제4투,2187,1316,784,510,12,1306,10,871
,회천3동제5투,2566,1160,714,423,11,1148,12,1406
,회천3동제6투,3184,1684,1006,640,23,1669,15,1500
회천4동,소계,27559,15328,10775,4306,123,15204,124,12231
,관내사전투표,4575,4575,3428,1090,23,4541,34,0
,회천4동제1투,3376,1396,880,478,23,1381,15,1980
,회천4동제2투,2799,1333,936,377,14,1327,6,1466
,회천4동제3투,3136,1509,1020,465,13,1498,11,1627
,회천4동제4투,3019,1415,767,595,18,1380,35,1604
,회천4동제5투,2701,1390,1031,351,7,1389,1,1311
,회천4동제6투,4212,1966,1416,527,14,1957,9,2246
,회천4동제7투,3741,1744,1297,423,11,1731,13,1997
잘못 투입·구분된 투표지,,0,2,0,2,0,2,0,-2
