읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당최재관,미래통합당김선교,정의당유상진,우리공화당변성근,국가혁명배당금당김미화,계,무효투표수,기권수
합계,,101727,69732,26761,39129,2370,339,388,68987,745,31995
거소·선상투표,,258,225,74,93,15,5,8,195,30,33
관외사전투표,,7037,7025,3195,3396,276,21,48,6936,89,12
국외부재자투표,,411,105,74,30,1,0,0,105,0,306
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
양평읍,소계,23341,15009,5882,8175,656,74,86,14873,136,8332
,관내사전투표,5290,5290,2568,2417,223,19,29,5256,34,0
,양평읍제1투,2364,1159,377,707,44,12,5,1145,14,1205
,양평읍제2투,2533,1397,492,804,73,6,10,1385,12,1136
,양평읍제3투,1106,628,156,440,20,0,0,616,12,478
,양평읍제4투,1138,679,181,460,27,2,5,675,4,459
,양평읍제5투,3002,1558,489,949,75,13,9,1535,23,1444
,양평읍제6투,1661,959,334,568,37,6,6,951,8,702
,양평읍제7투,3197,1695,620,951,93,5,15,1684,11,1502
,양평읍제8투,3050,1644,665,879,64,11,7,1626,18,1406
강상면,소계,8187,5667,2334,3010,226,20,31,5621,46,2520
,관내사전투표,2597,2597,1283,1177,98,5,13,2576,21,0
,강상면제1투,3010,1618,589,925,82,6,6,1608,10,1392
,강상면제2투,1608,830,289,499,26,1,7,822,8,778
,강상면제3투,972,622,173,409,20,8,5,615,7,350
강하면,소계,3877,2662,864,1701,60,9,7,2641,21,1215
,관내사전투표,1161,1161,466,649,33,5,1,1154,7,0
,강하면제1투,1428,749,211,517,9,4,2,743,6,679
,강하면제2투,1288,752,187,535,18,0,4,744,8,536
양서면,소계,10292,6651,2582,3727,206,43,36,6594,57,3641
,관내사전투표,2360,2360,1084,1171,65,8,15,2343,17,0
,양서면제1투,2897,1687,605,999,50,14,7,1675,12,1210
,양서면제2투,1086,655,209,401,23,9,6,648,7,431
,양서면제3투,2902,1301,486,724,54,11,8,1283,18,1601
,양서면제4투,1047,648,198,432,14,1,0,645,3,399
옥천면,소계,6691,4734,1751,2754,151,13,21,4690,44,1957
,관내사전투표,2285,2285,1034,1148,75,3,8,2268,17,0
,옥천면제1투,1549,828,268,524,21,1,5,819,9,721
,옥천면제2투,1082,598,167,402,16,4,5,594,4,484
,옥천면제3투,943,578,155,386,27,3,1,572,6,365
,옥천면제4투,832,445,127,294,12,2,2,437,8,387
서종면,소계,7207,4850,1929,2726,128,17,17,4817,33,2357
,관내사전투표,1752,1752,953,742,38,2,4,1739,13,0
,서종면제1투,2289,1200,429,733,28,3,5,1198,2,1089
,서종면제2투,697,453,153,276,20,1,1,451,2,244
,서종면제3투,847,481,161,294,18,3,2,478,3,366
,서종면제4투,449,261,74,177,4,3,2,260,1,188
,서종면제5투,1173,703,159,504,20,5,3,691,12,470
단월면,소계,3307,2121,703,1304,50,14,19,2090,31,1186
,관내사전투표,829,829,372,416,23,4,5,820,9,0
,단월면제1투,952,473,134,321,8,1,2,466,7,479
,단월면제2투,926,459,125,310,11,3,4,453,6,467
,단월면제3투,405,249,51,179,5,6,5,246,3,156
,단월면제4투,195,111,21,78,3,0,3,105,6,84
청운면,소계,3297,2251,671,1459,55,23,19,2227,24,1046
,관내사전투표,875,875,313,523,24,5,4,869,6,0
,청운면제1투,923,517,136,357,11,5,6,515,2,406
,청운면제2투,479,292,87,183,7,7,1,285,7,187
,청운면제3투,502,273,64,186,9,4,6,269,4,229
,청운면제4투,518,294,71,210,4,2,2,289,5,224
양동면,소계,3953,2648,771,1723,59,20,24,2597,51,1305
,관내사전투표,1007,1007,357,591,20,8,8,984,23,0
,양동면제1투,1261,661,169,453,16,4,8,650,11,600
,양동면제2투,601,327,87,223,5,3,3,321,6,274
,양동면제3투,656,383,87,271,12,3,4,377,6,273
,양동면제4투,428,270,71,185,6,2,1,265,5,158
지평면,소계,5781,3823,1343,2281,109,25,19,3777,46,1958
,관내사전투표,1371,1371,634,668,47,4,7,1360,11,0
,지평면제1투,757,359,100,235,11,4,4,354,5,398
,지평면제2투,739,411,121,265,15,3,2,406,5,328
,지평면제3투,642,378,112,244,9,4,0,369,9,264
,지평면제4투,770,430,106,305,7,4,2,424,6,340
,지평면제5투,801,450,156,276,12,2,0,446,4,351
,지평면제6투,701,424,114,288,8,4,4,418,6,277
용문면,소계,13752,9015,3550,4984,301,40,43,8918,97,4737
,관내사전투표,3289,3289,1619,1507,117,13,7,3263,26,0
,용문면제1투,2972,1593,587,917,46,5,14,1569,24,1379
,용문면제2투,1708,848,261,535,30,3,8,837,11,860
,용문면제3투,1699,789,274,469,34,3,4,784,5,910
,용문면제4투,1267,765,257,472,18,5,2,754,11,502
,용문면제5투,1559,921,326,540,36,4,4,910,11,638
,용문면제6투,596,382,87,275,7,4,1,374,8,214
,용문면제7투,662,428,139,269,13,3,3,427,1,234
개군면,소계,4336,2943,1037,1764,77,15,10,2903,40,1393
,관내사전투표,1124,1124,490,574,37,6,3,1110,14,0
,개군면제1투,1305,702,206,459,19,2,5,691,11,603
,개군면제2투,1140,665,238,402,14,3,2,659,6,475
,개군면제3투,767,452,103,329,7,4,0,443,9,315
잘못 투입·구분된 투표지,,0,3,1,2,0,0,0,3,0,-3
