읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당최재관,미래통합당김선교,정의당유상진,우리공화당변성근,국가혁명배당금당김미화,계,무효투표수,기권수
합계,,95778,60124,24813,31446,2204,411,507,59381,743,35654
거소·선상투표,,165,155,64,65,14,2,4,149,6,10
관외사전투표,,4819,4818,2461,1924,252,34,42,4713,105,1
국외부재자투표,,230,43,32,9,0,1,0,42,1,187
국외부재자투표(공관),,0,5,3,1,1,0,0,5,0,-5
점동면,소계,4277,2858,979,1705,60,53,14,2811,47,1419
,관내사전투표,1160,1160,509,585,24,9,8,1135,25,0
,점동면제1투,2043,1025,293,674,24,17,4,1012,13,1018
,점동면제2투,633,383,113,254,4,7,2,380,3,250
,점동면제3투,441,290,64,192,8,20,0,284,6,151
가남읍,소계,12544,7077,2995,3591,289,45,76,6996,81,5467
,관내사전투표,2000,1998,1041,814,86,12,25,1978,20,2
,가남읍제1투,2422,999,371,550,41,9,14,985,14,1423
,가남읍제2투,1657,866,279,544,25,7,5,860,6,791
,가남읍제3투,925,505,162,309,14,4,10,499,6,420
,가남읍제4투,466,245,71,164,4,4,1,244,1,221
,가남읍제5투,2953,1505,693,694,81,5,12,1485,20,1448
,가남읍제6투,2121,959,378,516,38,4,9,945,14,1162
능서면,소계,5386,3423,1255,1986,82,26,33,3382,41,1963
,관내사전투표,1090,1090,486,554,29,2,8,1079,11,0
,능서면제1투,1697,813,277,494,16,9,11,807,6,884
,능서면제2투,1644,918,290,575,19,10,9,903,15,726
,능서면제3투,955,602,202,363,18,5,5,593,9,353
흥천면,소계,4168,2616,818,1654,67,17,22,2578,38,1552
,관내사전투표,815,815,328,453,18,8,4,811,4,0
,흥천면제1투,1879,977,289,617,27,7,12,952,25,902
,흥천면제2투,1474,824,201,584,22,2,6,815,9,650
금사면,소계,2565,1716,468,1171,31,9,8,1687,29,849
,관내사전투표,660,660,217,417,12,5,1,652,8,0
,금사면제1투,1187,627,137,458,9,4,5,613,14,560
,금사면제2투,718,429,114,296,10,0,2,422,7,289
산북면,소계,2188,1507,521,915,39,10,9,1494,13,681
,관내사전투표,676,676,292,362,14,2,3,673,3,0
,산북면투표소,1512,831,229,553,25,8,6,821,10,681
대신면,소계,6036,3800,1199,2405,98,25,18,3745,55,2236
,관내사전투표,1199,1199,470,667,42,6,3,1188,11,0
,대신면제1투,1693,834,194,592,24,8,5,823,11,859
,대신면제2투,1429,780,240,497,17,4,4,762,18,649
,대신면제3투,953,528,135,363,12,5,5,520,8,425
,대신면제4투,762,459,160,286,3,2,1,452,7,303
북내면,소계,4190,2601,805,1625,89,19,29,2567,34,1589
,관내사전투표,783,782,330,401,29,4,13,777,5,1
,북내면제1투,2040,1004,283,644,38,10,12,987,17,1036
,북내면제2투,925,522,104,393,13,4,2,516,6,403
,북내면제3투,442,293,88,187,9,1,2,287,6,149
강천면,소계,3660,2410,906,1361,69,20,26,2382,28,1250
,관내사전투표,874,874,423,399,29,6,7,864,10,0
,강천면제1투,815,419,134,265,8,6,2,415,4,396
,강천면제2투,728,397,125,256,8,2,2,393,4,331
,강천면제3투,609,326,118,174,13,3,10,318,8,283
,강천면제4투,634,394,106,267,11,3,5,392,2,240
여흥동,소계,17979,10501,4570,5245,413,68,93,10389,112,7478
,관내사전투표,3672,3672,1874,1570,152,16,30,3642,30,0
,여흥동제1투,2008,808,283,477,25,9,4,798,10,1200
,여흥동제2투,2185,1141,458,598,49,11,10,1126,15,1044
,여흥동제3투,2224,1031,383,580,38,7,13,1021,10,1193
,여흥동제4투,1645,906,342,509,33,7,5,896,10,739
,여흥동제5투,4427,1903,834,923,92,14,19,1882,21,2524
,여흥동제6투,1818,1040,396,588,24,4,12,1024,16,778
중앙동,소계,14421,8914,4029,4257,400,51,87,8824,90,5507
,관내사전투표,3325,3324,1736,1371,140,13,31,3291,33,1
,중앙동제1투,2002,948,290,584,41,10,12,937,11,1054
,중앙동제2투,3195,1638,645,872,70,9,22,1618,20,1557
,중앙동제3투,3427,1904,934,846,90,10,10,1890,14,1523
,중앙동제4투,2472,1100,424,584,59,9,12,1088,12,1372
오학동,소계,13150,7678,3708,3530,300,31,46,7615,63,5472
,관내사전투표,3468,3468,1824,1468,120,13,18,3443,25,0
,오학동제1투,2437,1125,482,569,46,7,13,1117,8,1312
,오학동제2투,3481,1422,675,659,60,5,6,1405,17,2059
,오학동제3투,3764,1663,727,834,74,6,9,1650,13,2101
잘못 투입·구분된 투표지,,0,2,0,2,0,0,0,2,0,-2
