읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당안민석,미래통합당최윤희,민생당이규희,계,무효투표수,기권수
합계,,182471,110578,61926,44834,2423,109183,1395,71893
거소·선상투표,,226,219,99,102,12,213,6,7
관외사전투표,,9002,8992,5899,2764,186,8849,143,10
국외부재자투표,,389,94,62,30,1,93,1,295
국외부재자투표(공관),,0,3,2,1,0,3,0,-3
중앙동,소계,27829,17817,9730,7484,393,17607,210,10012
,관내사전투표,5863,5863,3400,2297,113,5810,53,0
,중앙동제1투,1476,659,220,411,12,643,16,817
,중앙동제2투,2377,978,352,580,27,959,19,1399
,중앙동제3투,3361,1757,992,689,44,1725,32,1604
,중앙동제4투,3270,1830,1021,741,53,1815,15,1440
,중앙동제5투,3186,1904,821,1011,54,1886,18,1282
,중앙동제6투,2606,1459,874,527,39,1440,19,1147
,중앙동제7투,3417,2024,1225,735,40,2000,24,1393
,중앙동제8투,2273,1343,825,493,11,1329,14,930
대원동,소계,48098,27867,15107,11685,697,27489,378,20231
,관내사전투표,5514,5514,3479,1876,107,5462,52,0
,대원동제1투,4388,1576,684,822,43,1549,27,2812
,대원동제2투,2112,1278,588,640,31,1259,19,834
,대원동제3투,2239,1166,623,487,34,1144,22,1073
,대원동제4투,4412,1836,891,864,49,1804,32,2576
,대원동제5투,1910,1256,646,557,35,1238,18,654
,대원동제6투,2438,1538,765,712,39,1516,22,900
,대원동제7투,3952,2267,1182,989,73,2244,23,1685
,대원동제8투,3219,1708,935,719,38,1692,16,1511
,대원동제9투,4108,2206,1118,990,60,2168,38,1902
,대원동제10투,1857,1037,600,378,39,1017,20,820
,대원동제11투,4219,2451,1437,929,61,2427,24,1768
,대원동제12투,2725,1347,759,537,27,1323,24,1378
,대원동제13투,2837,1572,820,687,40,1547,25,1265
,대원동제14투,2168,1115,580,498,21,1099,16,1053
남촌동,소계,17479,7222,3811,3154,155,7120,102,10257
,관내사전투표,2329,2329,1423,837,45,2305,24,0
,남촌동제1투,2170,1090,437,596,35,1068,22,1080
,남촌동제2투,1908,611,235,351,15,601,10,1297
,남촌동제3투,2909,615,338,260,9,607,8,2294
,남촌동제4투,2637,1515,791,682,29,1502,13,1122
,남촌동제5투,2983,601,307,258,18,583,18,2382
,남촌동제6투,2543,461,280,170,4,454,7,2082
신장동,소계,42990,25349,14349,10172,535,25056,293,17641
,관내사전투표,6075,6074,4042,1875,102,6019,55,1
,신장동제1투,2386,1236,482,706,24,1212,24,1150
,신장동제2투,2859,1517,790,682,31,1503,14,1342
,신장동제3투,3296,1644,781,779,52,1612,32,1652
,신장동제4투,3428,1873,854,944,46,1844,29,1555
,신장동제5투,2588,1365,775,555,30,1360,5,1223
,신장동제6투,2834,1212,645,525,24,1194,18,1622
,신장동제7투,3469,1560,844,654,36,1534,26,1909
,신장동제8투,4231,2406,1342,981,57,2380,26,1825
,신장동제9투,3358,1659,928,669,39,1636,23,1699
,신장동제10투,3086,1761,1059,655,33,1747,14,1325
,신장동제11투,2241,1078,524,519,24,1067,11,1163
,신장동제12투,3139,1964,1283,628,37,1948,16,1175
세마동,소계,23702,15543,8855,6210,287,15352,191,8159
,관내사전투표,4413,4413,2692,1584,81,4357,56,0
,세마동제1투,3013,1320,617,650,20,1287,33,1693
,세마동제2투,2838,1544,743,744,37,1524,20,1294
,세마동제3투,3118,2147,1207,877,41,2125,22,971
,세마동제4투,2934,1802,932,797,52,1781,21,1132
,세마동제5투,3424,1919,1248,622,28,1898,21,1505
,세마동제6투,3962,2398,1416,936,28,2380,18,1564
초평동,소계,12756,7470,4010,3232,157,7399,71,5286
,관내사전투표,3071,3070,1800,1189,68,3057,13,1
,초평동제1투,1897,817,273,516,17,806,11,1080
,초평동제2투,2671,1076,582,462,16,1060,16,1595
,초평동제3투,1689,816,441,349,14,804,12,873
,초평동제4투,1603,878,462,382,27,871,7,725
,초평동제5투,1825,813,452,334,15,801,12,1012
잘못 투입·구분된 투표지,,0,2,2,0,0,2,0,-2
