읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당오세영,미래통합당정찬민,국가혁명배당금당정이주,계,무효투표수,기권수
합계,,212846,133134,60357,69826,1209,131392,1742,79712
거소·선상투표,,591,549,250,224,29,503,46,42
관외사전투표,,11543,11538,6008,4850,130,10988,550,5
국외부재자투표,,625,152,111,39,2,152,0,473
국외부재자투표(공관),,0,7,3,4,0,7,0,-7
포곡읍,소계,26399,15542,7377,7852,154,15383,159,10857
,관내사전투표,4675,4675,2669,1953,32,4654,21,0
,포곡읍제1투,3095,1259,524,704,18,1246,13,1836
,포곡읍제2투,1305,778,355,398,15,768,10,527
,포곡읍제3투,1845,1059,415,617,14,1046,13,786
,포곡읍제4투,3780,1848,760,1033,20,1813,35,1932
,포곡읍제5투,793,471,93,362,7,462,9,322
,포곡읍제6투,3317,1640,775,837,7,1619,21,1677
,포곡읍제7투,3787,1775,799,935,26,1760,15,2012
,포곡읍제8투,3802,2037,987,1013,15,2015,22,1765
남사면,소계,16760,10668,5101,5420,72,10593,75,6092
,관내사전투표,2593,2591,1402,1163,11,2576,15,2
,남사면제1투,1201,596,187,397,9,593,3,605
,남사면제2투,685,373,102,260,8,370,3,312
,남사면제3투,1107,644,204,423,4,631,13,463
,남사면제4투,1094,584,203,371,6,580,4,510
,남사면제5투,3950,2190,1131,1027,12,2170,20,1760
,남사면제6투,3440,2002,1026,951,12,1989,13,1438
,남사면제7투,2690,1688,846,828,10,1684,4,1002
원삼면,소계,6884,4412,1508,2837,30,4375,37,2472
,관내사전투표,1588,1588,698,871,10,1579,9,0
,원삼면제1투,1434,711,197,506,2,705,6,723
,원삼면제2투,1291,734,213,504,7,724,10,557
,원삼면제3투,1752,971,302,651,7,960,11,781
,원삼면제4투,819,408,98,305,4,407,1,411
백암면,소계,7569,4523,1624,2773,69,4466,57,3046
,관내사전투표,1656,1656,718,898,21,1637,19,0
,백암면제1투,1543,682,207,457,7,671,11,861
,백암면제2투,788,434,127,299,5,431,3,354
,백암면제3투,1047,551,159,375,9,543,8,496
,백암면제4투,1255,646,215,403,19,637,9,609
,백암면제5투,1280,554,198,341,8,547,7,726
양지면,소계,14698,8698,3806,4718,72,8596,102,6000
,관내사전투표,3356,3356,1746,1556,22,3324,32,0
,양지면제1투,3438,1527,555,939,14,1508,19,1911
,양지면제2투,2434,1275,474,777,9,1260,15,1159
,양지면제3투,1628,895,300,559,14,873,22,733
,양지면제4투,3842,1645,731,887,13,1631,14,2197
중앙동,소계,19746,11675,4877,6529,123,11529,146,8071
,관내사전투표,3810,3810,1862,1871,37,3770,40,0
,중앙동제1투,2047,762,263,467,12,742,20,1285
,중앙동제2투,1223,649,208,420,13,641,8,574
,중앙동제3투,1351,798,270,507,7,784,14,553
,중앙동제4투,1963,927,361,549,10,920,7,1036
,중앙동제5투,2148,1082,400,656,12,1068,14,1066
,중앙동제6투,4485,2020,822,1149,22,1993,27,2465
,중앙동제7투,2719,1627,691,910,10,1611,16,1092
역삼동,소계,33263,21104,9604,11157,173,20934,170,12159
,관내사전투표,7050,7049,3711,3249,50,7010,39,1
,역삼동제1투,1947,871,332,513,13,858,13,1076
,역삼동제2투,3973,1830,746,1045,17,1808,22,2143
,역삼동제3투,3330,1670,670,959,20,1649,21,1660
,역삼동제4투,2755,1609,634,941,14,1589,20,1146
,역삼동제5투,2876,1753,730,1003,11,1744,9,1123
,역삼동제6투,2692,1237,527,689,9,1225,12,1455
,역삼동제7투,2617,1575,730,813,17,1560,15,1042
,역삼동제8투,2832,1660,717,924,10,1651,9,1172
,역삼동제9투,3191,1850,807,1021,12,1840,10,1341
유림동,소계,27076,15834,7055,8521,130,15706,128,11242
,관내사전투표,4447,4446,2355,2033,33,4421,25,1
,유림동제1투,2317,926,373,535,8,916,10,1391
,유림동제2투,3211,1801,834,943,13,1790,11,1410
,유림동제3투,3600,1839,505,1307,16,1828,11,1761
,유림동제4투,4320,1930,816,1063,21,1900,30,2390
,유림동제5투,3859,1950,914,999,20,1933,17,1909
,유림동제6투,3644,1928,856,1034,17,1907,21,1716
,유림동제7투,1678,1014,402,607,2,1011,3,664
동부동,소계,11394,7137,2761,4246,54,7061,76,4257
,관내사전투표,2947,2947,1308,1597,19,2924,23,0
,동부동제1투,3089,1472,537,910,11,1458,14,1617
,동부동제2투,3953,1858,649,1160,20,1829,29,2095
,동부동제3투,1405,860,267,579,4,850,10,545
모현읍,소계,20156,11999,6289,5506,89,11884,115,8157
,관내사전투표,3465,3465,2101,1326,23,3450,15,0
,모현읍제1투,3198,1580,858,693,15,1566,14,1618
,모현읍제2투,2074,1045,418,608,5,1031,14,1029
,모현읍제3투,3606,2059,1048,969,18,2035,24,1547
,모현읍제4투,2990,1485,694,769,8,1471,14,1505
,모현읍제5투,2341,1138,566,543,9,1118,20,1203
,모현읍제6투,2482,1227,604,598,11,1213,14,1255
이동읍,소계,16142,9293,3981,5150,82,9213,80,6849
,관내사전투표,3148,3148,1602,1500,21,3123,25,0
,이동읍제1투,2889,1310,544,743,16,1303,7,1579
,이동읍제2투,656,379,89,280,2,371,8,277
,이동읍제3투,983,510,142,349,11,502,8,473
,이동읍제4투,4243,2011,753,1215,22,1990,21,2232
,이동읍제5투,4223,1935,851,1063,10,1924,11,2288
잘못 투입·구분된 투표지,,0,3,2,0,0,2,1,-3
