읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정춘숙,미래통합당이상일,국가혁명배당금당서연우,계,무효투표수,기권수
합계,,225216,165398,84492,78562,818,163872,1526,59818
거소·선상투표,,302,287,109,157,5,271,16,15
관외사전투표,,16223,16212,9388,6379,142,15909,303,11
국외부재자투표,,1770,448,279,165,3,447,1,1322
국외부재자투표(공관),,0,6,3,3,0,6,0,-6
풍덕천1동,소계,29737,20748,11532,8883,123,20538,210,8989
,관내사전투표,7672,7672,4881,2694,33,7608,64,0
,풍덕천1동제1투,3531,1563,768,748,21,1537,26,1968
,풍덕천1동제2투,2804,1510,671,806,10,1487,23,1294
,풍덕천1동제3투,2502,1516,880,615,9,1504,12,986
,풍덕천1동제4투,3129,1984,1058,885,19,1962,22,1145
,풍덕천1동제5투,2817,1709,885,798,6,1689,20,1108
,풍덕천1동제6투,2742,1857,766,1058,13,1837,20,885
,풍덕천1동제7투,2617,1639,924,693,9,1626,13,978
,풍덕천1동제8투,1923,1298,699,586,3,1288,10,625
풍덕천2동,소계,29290,21435,12273,8882,78,21233,202,7855
,관내사전투표,6306,6306,4229,2010,18,6257,49,0
,풍덕천2동제1투,2365,1680,933,727,8,1668,12,685
,풍덕천2동제2투,1869,975,489,466,10,965,10,894
,풍덕천2동제3투,2753,1955,975,953,11,1939,16,798
,풍덕천2동제4투,2458,1416,787,600,2,1389,27,1042
,풍덕천2동제5투,2951,1886,1038,815,7,1860,26,1065
,풍덕천2동제6투,2645,1951,1058,869,8,1935,16,694
,풍덕천2동제7투,2194,1421,842,559,4,1405,16,773
,풍덕천2동제8투,3279,2162,969,1172,5,2146,16,1117
,풍덕천2동제9투,2470,1683,953,711,5,1669,14,787
신봉동,소계,28565,20960,10439,10336,80,20855,105,7605
,관내사전투표,6598,6596,4035,2515,22,6572,24,2
,신봉동제1투,1789,1086,578,497,7,1082,4,703
,신봉동제2투,2235,1487,778,694,7,1479,8,748
,신봉동제3투,3631,2452,1092,1347,2,2441,11,1179
,신봉동제4투,3065,2101,870,1200,13,2083,18,964
,신봉동제5투,3597,2247,837,1387,8,2232,15,1350
,신봉동제6투,3605,2321,1152,1145,12,2309,12,1284
,신봉동제7투,4045,2670,1097,1551,9,2657,13,1375
죽전2동,소계,13841,9649,4961,4532,52,9545,104,4192
,관내사전투표,2576,2576,1612,939,7,2558,18,0
,죽전2동제1투,3163,1850,896,911,11,1818,32,1313
,죽전2동제2투,2809,1672,758,886,8,1652,20,1137
,죽전2동제3투,2653,1753,770,954,9,1733,20,900
,죽전2동제4투,2640,1798,925,842,17,1784,14,842
동천동,소계,34226,24489,12718,11470,94,24282,207,9737
,관내사전투표,7692,7691,4819,2798,28,7645,46,1
,동천동제1투,2979,1647,781,832,10,1623,24,1332
,동천동제2투,1857,987,468,509,3,980,7,870
,동천동제3투,2969,2020,955,1037,7,1999,21,949
,동천동제4투,3522,2213,1246,921,12,2179,34,1309
,동천동제5투,2318,1572,710,828,11,1549,23,746
,동천동제6투,1881,1097,582,502,4,1088,9,784
,동천동제7투,3356,2249,1004,1209,13,2226,23,1107
,동천동제8투,3566,2414,886,1515,5,2406,8,1152
,동천동제9투,4086,2599,1267,1319,1,2587,12,1487
상현1동,소계,34415,24317,12514,11465,142,24121,196,10098
,관내사전투표,6184,6183,3977,2127,35,6139,44,1
,상현1동제1투,2896,1880,824,1031,11,1866,14,1016
,상현1동제2투,3148,2125,1078,1013,19,2110,15,1023
,상현1동제3투,3010,2063,997,1039,15,2051,12,947
,상현1동제4투,2409,1591,593,981,5,1579,12,818
,상현1동제5투,2303,1453,682,753,4,1439,14,850
,상현1동제6투,3461,2396,916,1457,10,2383,13,1065
,상현1동제7투,3423,2174,1004,1133,17,2154,20,1249
,상현1동제8투,4132,2386,1360,980,11,2351,35,1746
,상현1동제9투,3449,2066,1083,951,15,2049,17,1383
성복동,소계,36847,26842,10275,16286,99,26660,182,10005
,관내사전투표,6874,6874,3146,3675,19,6840,34,0
,성복동제1투,2919,2126,652,1448,11,2111,15,793
,성복동제2투,3444,2477,672,1790,6,2468,9,967
,성복동제3투,2316,1480,400,1056,10,1466,14,836
,성복동제4투,3496,2114,808,1283,9,2100,14,1382
,성복동제5투,3001,1937,603,1312,6,1921,16,1064
,성복동제6투,3083,2109,679,1407,5,2091,18,974
,성복동제7투,3127,2118,820,1274,7,2101,17,1009
,성복동제8투,3969,2336,814,1490,13,2317,19,1633
,성복동제9투,4618,3271,1681,1551,13,3245,26,1347
잘못 투입·구분된 투표지,,0,5,1,4,0,5,0,-5
