읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김민기,미래통합당이원섭,민생당김해곤,국가혁명배당금당최준혁,계,무효투표수,기권수
합계,,219373,150616,89697,57671,1048,862,149278,1338,68757
거소·선상투표,,330,316,159,124,9,8,300,16,14
관외사전투표,,15538,15505,9970,5049,121,129,15269,236,33
국외부재자투표,,997,253,185,65,1,1,252,1,744
국외부재자투표(공관),,0,9,5,4,0,0,9,0,-9
신갈동,소계,31364,21230,12797,7972,161,132,21062,168,10134
,관내사전투표,6032,6032,4139,1792,37,31,5999,33,0
,신갈동제1투,2810,1180,604,526,13,19,1162,18,1630
,신갈동제2투,2547,1352,698,617,15,8,1338,14,1195
,신갈동제3투,2388,1173,667,476,5,9,1157,16,1215
,신갈동제4투,2839,1713,1076,592,13,15,1696,17,1126
,신갈동제5투,2924,1946,964,931,22,9,1926,20,978
,신갈동제6투,2488,1621,1073,521,9,9,1612,9,867
,신갈동제7투,3869,2534,1376,1110,20,10,2516,18,1335
,신갈동제8투,2515,1845,1068,739,15,9,1831,14,670
,신갈동제9투,2952,1834,1132,668,12,13,1825,9,1118
구갈동,소계,31293,20626,12271,7935,125,128,20459,167,10667
,관내사전투표,4688,4688,3215,1400,24,22,4661,27,0
,구갈동제1투,2803,1207,658,499,19,22,1198,9,1596
,구갈동제2투,2492,1346,742,566,12,14,1334,12,1146
,구갈동제3투,4445,2395,1334,991,24,15,2364,31,2050
,구갈동제4투,2511,1704,989,675,5,13,1682,22,807
,구갈동제5투,2895,1756,971,742,13,8,1734,22,1139
,구갈동제6투,1658,1101,678,401,6,9,1094,7,557
,구갈동제7투,1792,1149,653,471,5,9,1138,11,643
,구갈동제8투,4091,2763,1611,1125,6,10,2752,11,1328
,구갈동제9투,3918,2517,1420,1065,11,6,2502,15,1401
상갈동,소계,11518,7737,4836,2709,59,54,7658,79,3781
,관내사전투표,3544,3544,2434,1033,26,19,3512,32,0
,상갈동제1투,2702,1281,725,522,12,11,1270,11,1421
,상갈동제2투,2852,1324,829,452,10,13,1304,20,1528
,상갈동제3투,2420,1588,848,702,11,11,1572,16,832
기흥동,소계,16148,10029,5510,4320,70,51,9951,78,6119
,관내사전투표,3163,3162,2021,1098,14,9,3142,20,1
,기흥동제1투,2566,1297,687,577,9,10,1283,14,1269
,기흥동제2투,2771,1552,922,585,15,11,1533,19,1219
,기흥동제3투,851,449,166,275,3,3,447,2,402
,기흥동제4투,3299,1513,830,650,14,7,1501,12,1786
,기흥동제5투,3498,2056,884,1135,15,11,2045,11,1442
서농동,소계,18453,12282,7379,4627,107,60,12173,109,6171
,관내사전투표,3613,3613,2311,1249,26,7,3593,20,0
,서농동제1투,1222,388,217,145,5,3,370,18,834
,서농동제2투,3069,1985,1069,870,16,8,1963,22,1084
,서농동제3투,2851,1655,821,779,23,12,1635,20,1196
,서농동제4투,2574,1297,681,581,12,11,1285,12,1277
,서농동제5투,2991,2012,1416,556,17,11,2000,12,979
,서농동제6투,2133,1332,864,447,8,8,1327,5,801
상하동,소계,19053,12518,7244,5016,77,68,12405,113,6535
,관내사전투표,3806,3805,2503,1231,22,20,3776,29,1
,상하동제1투,3784,1963,1048,866,16,11,1941,22,1821
,상하동제2투,3504,2008,1077,892,12,12,1993,15,1496
,상하동제3투,2757,1746,969,743,14,7,1733,13,1011
,상하동제4투,3070,1634,919,679,6,9,1613,21,1436
,상하동제5투,2132,1362,728,605,7,9,1349,13,770
영덕1동,소계,22200,15180,9182,5738,81,66,15067,113,7020
,관내사전투표,4722,4721,3348,1320,13,14,4695,26,1
,영덕1동제1투,2205,1240,671,545,9,9,1234,6,965
,영덕1동제2투,2436,1719,917,771,5,9,1702,17,717
,영덕1동제3투,3346,2291,1288,960,19,6,2273,18,1055
,영덕1동제4투,3520,1719,930,751,16,9,1706,13,1801
,영덕1동제5투,3262,2111,1311,769,8,8,2096,15,1151
,영덕1동제6투,2709,1379,717,622,11,11,1361,18,1330
영덕2동,소계,12770,8616,5051,3379,73,46,8549,67,4154
,관내사전투표,2966,2965,1974,942,21,13,2950,15,1
,영덕2동제1투,3209,1931,946,945,15,9,1915,16,1278
,영덕2동제2투,3544,1911,1069,791,13,16,1889,22,1633
,영덕2동제3투,3051,1809,1062,701,24,8,1795,14,1242
보라동,소계,24346,16023,9299,6435,85,82,15901,122,8323
,관내사전투표,3670,3670,2422,1205,12,12,3651,19,0
,보라동제1투,1715,860,472,365,3,5,845,15,855
,보라동제2투,2018,1279,655,597,10,7,1269,10,739
,보라동제3투,3265,2106,1012,1056,16,12,2096,10,1159
,보라동제4투,3796,2194,1329,835,11,3,2178,16,1602
,보라동제5투,3417,1868,1080,744,9,17,1850,18,1549
,보라동제6투,3626,2236,1412,764,17,19,2212,24,1390
,보라동제7투,2839,1810,917,869,7,7,1800,10,1029
동백3동,소계,15363,10255,5786,4287,78,37,10188,67,5108
,관내사전투표,2745,2745,1821,893,14,9,2737,8,0
,동백3동제1투,3919,2321,1353,920,20,5,2298,23,1598
,동백3동제2투,3282,1995,1082,860,23,13,1978,17,1287
,동백3동제3투,4388,2558,1397,1119,16,9,2541,17,1830
,동백3동제4투,1029,636,133,495,5,1,634,2,393
잘못 투입·구분된 투표지,,0,37,23,11,1,0,35,2,-37
