읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이탄희,미래통합당김범수,정의당노경래,민중당김배곤,친박신당김근기,국가혁명배당금당박성원,계,무효투표수,기권수
합계,,206940,150335,79794,65358,2890,470,268,467,149247,1088,56605
거소·선상투표,,327,316,131,146,19,6,3,3,308,8,11
관외사전투표,,14290,14275,8509,4995,360,61,24,96,14045,230,15
국외부재자투표,,1401,348,244,90,9,1,0,2,346,2,1053
국외부재자투표(공관),,0,23,10,13,0,0,0,0,23,0,-23
구성동,소계,30002,20947,10197,10121,356,59,43,54,20830,117,9055
,관내사전투표,6030,6026,3431,2454,78,20,8,15,6006,20,4
,구성동제1투,3201,1790,628,1098,41,5,3,2,1777,13,1411
,구성동제2투,3185,2049,762,1233,24,2,6,7,2034,15,1136
,구성동제3투,3295,1921,854,987,46,7,2,9,1905,16,1374
,구성동제4투,3014,2136,919,1169,28,3,8,2,2129,7,878
,구성동제5투,1770,1306,679,584,28,1,3,5,1300,6,464
,구성동제6투,3553,2093,1109,910,48,6,3,6,2082,11,1460
,구성동제7투,3192,1990,979,930,43,8,4,5,1969,21,1202
,구성동제8투,2762,1636,836,756,20,7,6,3,1628,8,1126
마북동,소계,25058,17920,8397,8912,338,50,41,59,17797,123,7138
,관내사전투표,5667,5666,3240,2282,81,14,15,9,5641,25,1
,마북동제1투,2796,1480,597,823,25,4,7,7,1463,17,1316
,마북동제2투,2752,1779,617,1108,35,3,1,5,1769,10,973
,마북동제3투,3166,1952,981,873,46,9,7,14,1930,22,1214
,마북동제4투,2761,2008,763,1187,34,4,3,6,1997,11,753
,마북동제5투,2736,1775,824,878,45,3,3,5,1758,17,961
,마북동제6투,2090,1350,536,772,20,2,2,7,1339,11,740
,마북동제7투,3090,1910,839,989,52,11,3,6,1900,10,1180
보정동,소계,28165,20278,9902,9774,364,37,30,42,20149,129,7887
,관내사전투표,6318,6318,3975,2180,102,16,12,7,6292,26,0
,보정동제1투,3971,2099,911,1113,46,0,2,9,2081,18,1872
,보정동제2투,3581,2493,724,1711,38,3,0,1,2477,16,1088
,보정동제3투,4374,2892,1241,1563,48,4,4,12,2872,20,1482
,보정동제4투,3202,2091,948,1080,41,5,4,2,2080,11,1111
,보정동제5투,2667,1772,773,941,31,3,4,6,1758,14,895
,보정동제6투,2708,1775,957,756,39,4,3,1,1760,15,933
,보정동제7투,1344,838,373,430,19,2,1,4,829,9,506
죽전1동,소계,40179,27736,14515,12292,545,79,38,75,27544,192,12443
,관내사전투표,6229,6229,3884,2193,91,14,4,13,6199,30,0
,죽전1동제1투,3607,2051,1017,934,49,17,6,9,2032,19,1556
,죽전1동제2투,3613,2288,1132,1057,65,7,5,4,2270,18,1325
,죽전1동제3투,3406,2332,1184,1090,42,1,2,2,2321,11,1074
,죽전1동제4투,3799,2401,1146,1174,44,6,5,5,2380,21,1398
,죽전1동제5투,3545,2347,1215,1060,47,6,5,2,2335,12,1198
,죽전1동제6투,3545,2202,996,1164,26,5,1,3,2195,7,1343
,죽전1동제7투,3069,2001,905,1018,40,9,4,10,1986,15,1068
,죽전1동제8투,3257,2016,979,957,45,3,2,14,2000,16,1241
,죽전1동제9투,3352,2104,1090,917,54,4,3,6,2074,30,1248
,죽전1동제10투,2757,1765,967,728,42,7,1,7,1752,13,992
동백1동,소계,22539,15877,9777,5506,322,80,35,62,15782,95,6662
,관내사전투표,4833,4833,3453,1234,84,24,11,12,4818,15,0
,동백1동제1투,3225,2105,1229,795,45,16,1,6,2092,13,1120
,동백1동제2투,2851,1744,941,734,40,6,2,10,1733,11,1107
,동백1동제3투,2950,1820,1027,704,37,14,9,11,1802,18,1130
,동백1동제4투,3152,1913,1063,767,41,9,9,10,1899,14,1239
,동백1동제5투,3235,1980,1221,696,37,7,3,3,1967,13,1255
,동백1동제6투,2293,1482,843,576,38,4,0,10,1471,11,811
동백2동,소계,19628,14165,8253,5486,232,53,23,27,14074,91,5463
,관내사전투표,4862,4862,3311,1437,52,21,6,10,4837,25,0
,동백2동제1투,2952,2016,1064,889,37,3,3,5,2001,15,936
,동백2동제2투,4341,2645,1332,1242,40,8,5,6,2633,12,1696
,동백2동제3투,1935,1290,712,532,30,4,3,0,1281,9,645
,동백2동제4투,2117,1292,751,493,26,6,1,2,1279,13,825
,동백2동제5투,3421,2060,1083,893,47,11,5,4,2043,17,1361
상현2동,소계,25351,18433,9849,8016,345,44,31,47,18332,101,6918
,관내사전투표,6209,6207,3712,2370,80,8,10,9,6189,18,2
,상현2동제1투,3114,1810,878,863,39,4,6,3,1793,17,1304
,상현2동제2투,2976,1955,870,1022,36,8,0,5,1941,14,1021
,상현2동제3투,2815,1626,760,806,35,7,2,5,1615,11,1189
,상현2동제4투,3687,2422,1276,1069,44,9,7,9,2414,8,1265
,상현2동제5투,3085,2022,1058,905,38,2,2,3,2008,14,1063
,상현2동제6투,3465,2391,1295,981,73,6,4,13,2372,19,1074
잘못 투입·구분된 투표지,,0,17,10,7,0,0,0,0,17,0,-17
