읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이소영,미래통합당신계용,민생당김성제,정의당황순식,계,무효투표수,기권수
합계,,48899,37489,15140,17317,3060,1635,37152,337,11410
거소·선상투표,,98,97,33,43,9,7,92,5,1
관외사전투표,,3681,3679,1892,1314,224,193,3623,56,2
국외부재자투표,,360,105,51,48,3,3,105,0,255
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
중앙동,소계,5601,4369,1578,2253,336,174,4341,28,1232
,관내사전투표,2067,2067,879,972,132,71,2054,13,0
,중앙동제1투,1389,821,297,389,74,54,814,7,568
,중앙동제2투,2145,1481,402,892,130,49,1473,8,664
갈현동,소계,7632,6054,2381,2986,486,162,6015,39,1578
,관내사전투표,2065,2065,1037,832,136,49,2054,11,0
,갈현동제1투,611,293,88,168,22,11,289,4,318
,갈현동제2투,2355,1729,601,905,157,54,1717,12,626
,갈현동제3투,2601,1967,655,1081,171,48,1955,12,634
별양동,소계,8672,6618,2499,3179,594,285,6557,61,2054
,관내사전투표,2695,2694,1281,1072,197,128,2678,16,1
,별양동제1투,2520,1523,514,749,175,57,1495,28,997
,별양동제2투,1710,1102,365,558,116,54,1093,9,608
,별양동제3투,1747,1299,339,800,106,46,1291,8,448
부림동,소계,9081,6892,2671,3286,554,329,6840,52,2189
,관내사전투표,2709,2709,1314,1074,180,120,2688,21,0
,부림동제1투,2752,1851,531,1032,187,95,1845,6,901
,부림동제2투,1707,1193,434,591,102,57,1184,9,514
,부림동제3투,1913,1139,392,589,85,57,1123,16,774
과천동,소계,7712,5175,2038,2455,386,238,5117,58,2537
,관내사전투표,1573,1573,770,590,135,61,1556,17,0
,과천동제1투,1460,788,272,378,68,62,780,8,672
,과천동제2투,1783,1116,296,686,73,47,1102,14,667
,과천동제3투,1032,571,212,288,44,23,567,4,461
,과천동제4투,1864,1127,488,513,66,45,1112,15,737
문원동,소계,6062,4499,1997,1752,468,244,4461,38,1563
,관내사전투표,1841,1841,1030,587,138,78,1833,8,0
,문원동제1투,2031,1261,464,587,125,72,1248,13,770
,문원동제2투,2190,1397,503,578,205,94,1380,17,793
잘못 투입·구분된 투표지,,0,1,0,1,0,0,1,0,-1
