읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이철휘,미래통합당최춘식,민중당이명원,국가혁명배당금당원승헌,계,무효투표수,기권수
합계,,128897,75631,36251,35803,1525,848,74427,1204,53266
거소·선상투표,,292,279,140,91,11,16,258,21,13
관외사전투표,,5524,5518,3148,2049,127,93,5417,101,6
국외부재자투표,,254,72,53,17,2,0,72,0,182
국외부재자투표(공관),,0,8,6,2,0,0,8,0,-8
소흘읍,소계,34963,18989,9994,8159,410,187,18750,239,15974
,관내사전투표,5344,5343,3220,1918,113,45,5296,47,1
,소흘읍제1투,3685,1421,707,635,35,21,1398,23,2264
,소흘읍제2투,1474,762,286,442,16,9,753,9,712
,소흘읍제3투,2225,1333,547,738,22,12,1319,14,892
,소흘읍제4투,2011,940,378,518,19,12,927,13,1071
,소흘읍제5투,3905,1966,1009,872,37,22,1940,26,1939
,소흘읍제6투,3217,1428,736,633,21,12,1402,26,1789
,소흘읍제7투,2619,1048,557,452,19,9,1037,11,1571
,소흘읍제8투,3226,1296,680,553,31,12,1276,20,1930
,소흘읍제9투,3418,1631,909,637,53,14,1613,18,1787
,소흘읍제10투,2712,1303,709,526,30,11,1276,27,1409
,소흘읍제11투,1127,518,256,235,14,8,513,5,609
군내면,소계,6847,3887,1769,1958,70,31,3828,59,2960
,관내사전투표,1416,1416,724,617,35,15,1391,25,0
,군내면제1투,2868,1218,527,644,24,8,1203,15,1650
,군내면제2투,1097,541,239,289,7,4,539,2,556
,군내면제3투,1466,712,279,408,4,4,695,17,754
내촌면,소계,4198,2522,997,1414,28,34,2473,49,1676
,관내사전투표,995,994,470,478,9,12,969,25,1
,내촌면제1투,1837,848,315,494,9,15,833,15,989
,내촌면제2투,545,249,74,167,4,1,246,3,296
,내촌면제3투,821,431,138,275,6,6,425,6,390
가산면,소계,7065,3972,1758,2061,57,45,3921,51,3093
,관내사전투표,1635,1635,867,715,22,12,1616,19,0
,가산면제1투,2410,944,382,516,18,14,930,14,1466
,가산면제2투,1697,789,309,444,13,11,777,12,908
,가산면제3투,1323,604,200,386,4,8,598,6,719
신북면,소계,10364,5753,2629,2820,124,77,5650,103,4611
,관내사전투표,2050,2050,1090,840,43,32,2005,45,0
,신북면제1투,1827,822,341,438,25,5,809,13,1005
,신북면제2투,2542,959,449,451,19,21,940,19,1583
,신북면제3투,1433,756,312,417,12,6,747,9,677
,신북면제4투,849,464,128,321,2,6,457,7,385
