읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당송옥주,미래통합당최영근,민중당홍성규,국가혁명배당금당최철준,무소속김용,계,무효투표수,기권수
합계,,199428,119449,58689,52291,1915,800,4503,118198,1251,79979
거소·선상투표,,325,303,119,118,7,9,33,286,17,22
관외사전투표,,12123,12113,6270,4898,194,99,454,11915,198,10
국외부재자투표,,466,114,82,28,1,1,1,113,1,352
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
봉담읍,소계,4394,2203,869,1216,23,14,55,2177,26,2191
,봉담읍제1투,2546,1394,538,775,16,9,40,1378,16,1152
,봉담읍제2투,1848,809,331,441,7,5,15,799,10,1039
우정읍,소계,14346,8275,3614,3953,201,65,345,8178,97,6071
,관내사전투표,3035,3035,1554,1246,62,19,127,3008,27,0
,우정읍제1투,3181,1340,600,623,31,10,65,1329,11,1841
,우정읍제2투,1931,955,270,627,13,6,28,944,11,976
,우정읍제3투,2403,1001,403,500,22,13,49,987,14,1402
,우정읍제4투,1284,670,339,242,38,11,31,661,9,614
,우정읍제5투,1316,683,266,363,10,2,29,670,13,633
,우정읍제6투,1196,591,182,352,25,4,16,579,12,605
향남읍,소계,60719,34087,18851,12648,652,176,1479,33806,281,26632
,관내사전투표,9176,9175,5974,2566,164,25,398,9127,48,1
,향남읍제1투,2731,1095,408,604,17,8,46,1083,12,1636
,향남읍제2투,4825,1861,903,807,34,14,78,1836,25,2964
,향남읍제3투,936,508,150,335,9,2,7,503,5,428
,향남읍제4투,1273,677,145,506,4,6,8,669,8,596
,향남읍제5투,2640,1355,561,688,22,6,68,1345,10,1285
,향남읍제6투,2331,1091,520,486,28,4,40,1078,13,1240
,향남읍제7투,1929,1107,522,495,24,6,55,1102,5,822
,향남읍제8투,2914,1728,872,750,35,5,55,1717,11,1186
,향남읍제9투,2872,1664,958,562,42,6,77,1645,19,1208
,향남읍제10투,2085,1168,717,366,33,10,36,1162,6,917
,향남읍제11투,2418,1212,735,385,30,7,45,1202,10,1206
,향남읍제12투,2748,1135,587,427,31,13,56,1114,21,1613
,향남읍제13투,1818,1147,683,378,29,2,52,1144,3,671
,향남읍제14투,2299,1286,829,349,22,6,75,1281,5,1013
,향남읍제15투,2659,1371,772,482,22,11,74,1361,10,1288
