읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이원욱,미래통합당임명배,국가혁명배당금당이경우,계,무효투표수,기권수
합계,,224298,154360,98612,52802,1391,152805,1555,69938
거소·선상투표,,221,205,114,75,10,199,6,16
관외사전투표,,14531,14522,9507,4623,158,14288,234,9
국외부재자투표,,729,175,121,52,0,173,2,554
국외부재자투표(공관),,0,10,6,4,0,10,0,-10
동탄1동,소계,34805,23348,14783,8088,207,23078,270,11457
,관내사전투표,6032,6031,4232,1711,34,5977,54,1
,동탄1동제1투,2309,1430,872,527,13,1412,18,879
,동탄1동제2투,3182,1805,1102,655,20,1777,28,1377
,동탄1동제3투,2271,1308,876,412,5,1293,15,963
,동탄1동제4투,3279,2139,1435,663,19,2117,22,1140
,동탄1동제5투,2533,1585,944,600,21,1565,20,948
,동탄1동제6투,3262,1875,1191,646,18,1855,20,1387
,동탄1동제7투,2659,1742,1104,596,20,1720,22,917
,동탄1동제8투,3127,2008,1040,931,16,1987,21,1119
,동탄1동제9투,2171,1455,881,546,12,1439,16,716
,동탄1동제10투,3980,1970,1106,801,29,1936,34,2010
동탄2동,소계,24976,17820,12347,5187,131,17665,155,7156
,관내사전투표,5834,5834,4461,1293,37,5791,43,0
,동탄2동제1투,3364,2299,1540,731,10,2281,18,1065
,동탄2동제2투,2191,1389,958,407,13,1378,11,802
,동탄2동제3투,3208,1997,1379,577,15,1971,26,1211
,동탄2동제4투,3018,2116,1341,742,16,2099,17,902
,동탄2동제5투,3066,1458,857,561,20,1438,20,1608
,동탄2동제6투,4295,2727,1811,876,20,2707,20,1568
동탄4동,소계,35146,25650,16232,8956,219,25407,243,9496
,관내사전투표,8182,8181,5766,2299,62,8127,54,1
,동탄4동제1투,3570,2280,1445,787,17,2249,31,1290
,동탄4동제2투,2743,1629,1067,539,11,1617,12,1114
,동탄4동제3투,3448,2437,1311,1076,20,2407,30,1011
,동탄4동제4투,2264,1445,837,574,15,1426,19,819
,동탄4동제5투,2375,1706,989,673,18,1680,26,669
,동탄4동제6투,2744,1736,1111,585,22,1718,18,1008
,동탄4동제7투,3805,2388,1502,849,21,2372,16,1417
,동탄4동제8투,3432,2084,1256,787,21,2064,20,1348
,동탄4동제9투,2583,1764,948,787,12,1747,17,819
동탄5동,소계,26828,17629,11278,6021,177,17476,153,9199
,관내사전투표,4761,4761,3391,1300,37,4728,33,0
,동탄5동제1투,1907,1174,701,449,14,1164,10,733
,동탄5동제2투,2991,1878,1173,672,18,1863,15,1113
,동탄5동제3투,1886,1115,654,445,8,1107,8,771
,동탄5동제4투,3257,1760,1077,630,31,1738,22,1497
,동탄5동제5투,2637,1577,1060,501,7,1568,9,1060
,동탄5동제6투,2637,1402,792,572,23,1387,15,1235
,동탄5동제7투,3225,2026,1231,764,15,2010,16,1199
,동탄5동제8투,3527,1936,1199,688,24,1911,25,1591
동탄6동,소계,20644,12507,7520,4738,110,12368,139,8137
,관내사전투표,3140,3139,2119,966,26,3111,28,1
,동탄6동제1투,1643,647,321,310,6,637,10,996
,동탄6동제2투,4065,2049,1150,862,17,2029,20,2016
,동탄6동제3투,3974,2333,1436,841,21,2298,35,1641
,동탄6동제4투,3638,2008,1138,832,14,1984,24,1630
,동탄6동제5투,4184,2331,1356,927,26,2309,22,1853
동탄7동,소계,49688,31781,19851,11380,276,31507,274,17907
,관내사전투표,7634,7633,5249,2294,43,7586,47,1
,동탄7동제1투,3545,2033,1293,700,23,2016,17,1512
,동탄7동제2투,2232,1290,688,581,10,1279,11,942
,동탄7동제3투,2455,1473,885,560,11,1456,17,982
,동탄7동제4투,4002,2239,1235,958,21,2214,25,1763
,동탄7동제5투,2868,1521,894,594,22,1510,11,1347
,동탄7동제6투,4486,2593,1399,1146,24,2569,24,1893
,동탄7동제7투,3090,1576,1017,531,12,1560,16,1514
,동탄7동제8투,4310,2575,1549,976,29,2554,21,1735
,동탄7동제9투,4142,2482,1501,935,27,2463,19,1660
,동탄7동제10투,3669,2013,1296,682,13,1991,22,1656
,동탄7동제11투,3382,1953,1278,636,23,1937,16,1429
,동탄7동제12투,3873,2400,1567,787,18,2372,28,1473
동탄8동,소계,16730,10708,6851,3675,103,10629,79,6022
,관내사전투표,4502,4501,3129,1318,29,4476,25,1
,동탄8동제1투,4538,2212,1376,796,24,2196,16,2326
,동탄8동제2투,3821,2082,1125,915,31,2071,11,1739
,동탄8동제3투,3869,1913,1221,646,19,1886,27,1956
잘못 투입·구분된 투표지,,0,5,2,3,0,5,0,-5
