읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당문상모,미래통합당서일준,우리공화당박재행,국가혁명배당금당이태재,무소속염용하,무소속김해연,계,무효투표수,기권수
합계,,197349,130531,49136,65746,429,1057,1863,10952,129183,1348,66818
거소·선상투표,,591,563,192,223,9,19,28,34,505,58,28
관외사전투표,,8101,8097,3610,3402,47,98,232,506,7895,202,4
국외부재자투표,,335,59,39,16,0,3,0,1,59,0,276
국외부재자투표(공관),,0,4,2,2,0,0,0,0,4,0,-4
일운면,소계,6269,4063,1324,2350,14,34,57,246,4025,38,2206
,관내사전투표,1978,1978,698,1115,7,8,22,109,1959,19,0
,일운면제1투,3391,1576,510,891,4,17,31,110,1563,13,1815
,일운면제2투,900,509,116,344,3,9,4,27,503,6,391
동부면,소계,2794,1918,490,1295,23,16,8,50,1882,36,876
,관내사전투표,967,967,265,636,13,8,6,22,950,17,0
,동부면투표소,1827,951,225,659,10,8,2,28,932,19,876
남부면,소계,1378,952,224,668,5,5,10,24,936,16,426
,관내사전투표,483,483,108,340,3,4,4,17,476,7,0
,남부면투표소,895,469,116,328,2,1,6,7,460,9,426
거제면,소계,6398,4337,1501,2490,15,58,36,178,4278,59,2061
,관내사전투표,2112,2111,815,1138,4,17,13,97,2084,27,1
,거제면제1투,2258,1186,388,715,5,18,12,32,1170,16,1072
,거제면제2투,2028,1040,298,637,6,23,11,49,1024,16,988
둔덕면,소계,2726,1934,484,1311,6,15,26,64,1906,28,792
,관내사전투표,992,992,306,611,3,7,15,39,981,11,0
,둔덕면투표소,1734,942,178,700,3,8,11,25,925,17,792
사등면,소계,10010,6366,1884,3969,24,49,77,297,6300,66,3644
,관내사전투표,2020,2020,731,1129,5,14,24,103,2006,14,0
,사등면제1투,1531,739,163,522,5,3,6,31,730,9,792
,사등면제2투,1621,936,194,673,6,11,6,25,915,21,685
,사등면제3투,870,589,104,456,2,2,7,8,579,10,281
,사등면제4투,3968,2082,692,1189,6,19,34,130,2070,12,1886
연초면,소계,7124,4530,1313,2770,18,47,46,291,4485,45,2594
,관내사전투표,1820,1820,636,1014,8,14,13,117,1802,18,0
,연초면제1투,2761,1431,385,883,7,25,18,93,1411,20,1330
,연초면제2투,1939,962,227,656,2,6,9,56,956,6,977
,연초면제3투,604,317,65,217,1,2,6,25,316,1,287
하청면,소계,4160,2792,628,1952,7,18,26,127,2758,34,1368
,관내사전투표,1174,1174,328,767,3,5,10,54,1167,7,0
,하청면제1투,2163,1116,236,778,4,9,12,60,1099,17,1047
,하청면제2투,823,502,64,407,0,4,4,13,492,10,321
장목면,소계,4123,2677,434,1956,6,11,34,188,2629,48,1446
,관내사전투표,1064,1064,196,743,4,4,12,83,1042,22,0
,장목면제1투,1976,972,133,736,1,4,15,73,962,10,1004
,장목면제2투,1083,641,105,477,1,3,7,32,625,16,442
장승포동,소계,5595,3383,1208,1687,20,33,21,384,3353,30,2212
,관내사전투표,1599,1599,671,693,5,12,12,193,1586,13,0
,장승포동제1투,2064,914,249,556,12,7,5,75,904,10,1150
,장승포동제2투,1932,870,288,438,3,14,4,116,863,7,1062
능포동,소계,7950,5121,1927,2477,15,35,75,552,5081,40,2829
,관내사전투표,2023,2023,886,885,3,13,31,199,2017,6,0
,능포동제1투,1645,671,201,385,3,7,9,58,663,8,974
,능포동제2투,2132,1425,534,630,5,5,18,219,1411,14,707
,능포동제3투,2150,1002,306,577,4,10,17,76,990,12,1148
아주동,소계,19225,12369,5980,4439,29,52,141,1645,12286,83,6856
,관내사전투표,4181,4181,2319,1286,5,10,41,496,4157,24,0
,아주동제1투,3557,1402,581,578,5,8,20,196,1388,14,2155
,아주동제2투,2440,1262,526,527,6,16,13,164,1252,10,1178
,아주동제3투,3047,1722,754,725,5,4,22,203,1713,9,1325
,아주동제4투,1874,1116,504,401,4,3,13,180,1105,11,758
,아주동제5투,1882,1295,647,428,0,8,15,193,1291,4,587
,아주동제6투,2244,1391,649,494,4,3,17,213,1380,11,853
옥포1동,소계,6658,4265,1671,2018,10,25,39,466,4229,36,2393
,관내사전투표,2259,2259,1016,959,3,13,20,234,2245,14,0
,옥포1동제1투,2694,1184,404,596,4,7,12,150,1173,11,1510
,옥포1동제2투,1705,822,251,463,3,5,7,82,811,11,883
옥포2동,소계,20145,12280,4851,5443,38,76,150,1632,12190,90,7865
,관내사전투표,3719,3719,1750,1431,8,20,36,451,3696,23,0
,옥포2동제1투,2348,1046,337,544,3,9,13,128,1034,12,1302
,옥포2동제2투,2849,1450,506,688,0,9,24,208,1435,15,1399
,옥포2동제3투,3231,1963,793,833,9,7,22,287,1951,12,1268
,옥포2동제4투,2304,1122,349,617,11,3,11,120,1111,11,1182
,옥포2동제5투,2105,1049,368,465,5,15,19,169,1041,8,1056
,옥포2동제6투,2504,1310,562,512,2,8,21,197,1302,8,1194
,옥포2동제7투,1085,621,186,353,0,5,4,72,620,1,464
장평동,소계,17222,10476,4162,5117,35,138,143,780,10375,101,6746
,관내사전투표,4297,4297,1999,1832,19,49,55,308,4262,35,0
,장평동제1투,652,270,95,148,0,8,1,16,268,2,382
,장평동제2투,2733,1393,544,676,2,19,17,122,1380,13,1340
,장평동제3투,2676,1073,359,585,0,10,16,92,1062,11,1603
,장평동제4투,1682,771,233,458,2,9,6,53,761,10,911
,장평동제5투,1966,958,298,533,9,17,12,81,950,8,1008
,장평동제6투,3216,1714,634,885,3,26,36,108,1692,22,1502
고현동,소계,27607,17725,6101,9806,54,158,295,1150,17564,161,9882
,관내사전투표,5004,5003,1883,2644,10,39,73,315,4964,39,1
,고현동제1투,1572,697,186,450,3,15,8,27,689,8,875
,고현동제2투,2703,1433,325,979,6,11,26,67,1414,19,1270
,고현동제3투,1790,1022,292,641,6,6,16,54,1015,7,768
,고현동제4투,1852,878,242,563,5,3,14,38,865,13,974
