읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당민홍철,미래통합당홍태용,정의당하대용,국가혁명배당금당김선심,계,무효투표수,기권수
합계,,219863,139008,70094,61890,3935,1347,137266,1742,80855
거소·선상투표,,600,567,258,183,39,16,496,71,33
관외사전투표,,12444,12435,7130,4489,421,152,12192,243,9
국외부재자투표,,419,104,77,23,4,0,104,0,315
국외부재자투표(공관),,0,1,1,0,0,0,1,0,-1
진영읍,소계,41280,24242,13462,9466,782,231,23941,301,17038
,관내사전투표,7303,7303,4658,2325,189,51,7223,80,0
,진영읍제1투,1616,938,386,500,27,8,921,17,678
,진영읍제2투,3275,1596,766,731,47,25,1569,27,1679
,진영읍제3투,3615,1658,885,670,69,19,1643,15,1957
,진영읍제4투,3604,1917,1082,727,65,15,1889,28,1687
,진영읍제5투,3086,1536,858,580,60,15,1513,23,1550
,진영읍제6투,2951,1729,933,709,62,15,1719,10,1222
,진영읍제7투,3485,1556,796,644,74,21,1535,21,1929
,진영읍제8투,3214,1318,613,631,34,18,1296,22,1896
,진영읍제9투,4166,2050,1058,860,79,25,2022,28,2116
,진영읍제10투,1852,879,394,450,15,7,866,13,973
,진영읍제11투,3113,1762,1033,639,61,12,1745,17,1351
한림면,소계,6888,4220,1845,2154,88,48,4135,85,2668
,관내사전투표,1386,1386,748,571,31,12,1362,24,0
,한림면제1투,1205,621,254,335,10,10,609,12,584
,한림면제2투,1471,782,239,507,11,10,767,15,689
,한림면제3투,1639,791,349,398,23,5,775,16,848
,한림면제4투,1187,640,255,343,13,11,622,18,547
생림면,소계,3615,2422,944,1382,53,18,2397,25,1193
,관내사전투표,1161,1161,527,600,20,7,1154,7,0
,생림면제1투,1250,590,179,373,17,7,576,14,660
,생림면제2투,1204,671,238,409,16,4,667,4,533
상동면,소계,2915,1934,743,1128,28,18,1917,17,981
,관내사전투표,899,899,407,466,13,6,892,7,0
,상동면제1투,1432,676,215,442,9,5,671,5,756
,상동면제2투,584,359,121,220,6,7,354,5,225
대동면,소계,5514,3671,1333,2224,50,18,3625,46,1843
,관내사전투표,1291,1291,560,700,15,5,1280,11,0
,대동면제1투,1472,841,263,550,14,1,828,13,631
,대동면제2투,1436,777,274,478,9,6,767,10,659
,대동면제3투,1315,762,236,496,12,6,750,12,553
동상동,소계,8832,5352,2318,2821,112,49,5300,52,3480
,관내사전투표,2294,2294,1162,1064,37,17,2280,14,0
,동상동제1투,3566,1778,671,1030,43,16,1760,18,1788
,동상동제2투,2972,1280,485,727,32,16,1260,20,1692
부원동,소계,8958,5581,2537,2789,134,49,5509,72,3377
,관내사전투표,2610,2610,1385,1143,46,19,2593,17,0
,부원동제1투,2749,1306,499,726,40,12,1277,29,1443
,부원동제2투,3599,1665,653,920,48,18,1639,26,1934
북부동,소계,59314,37368,19678,16016,1055,275,37024,344,21946
,관내사전투표,11195,11194,6873,3929,257,56,11115,79,1
,북부동제1투,3270,1491,620,790,31,19,1460,31,1779
,북부동제2투,2944,1626,668,855,53,26,1602,24,1318
,북부동제3투,3211,1696,730,869,54,16,1669,27,1515
,북부동제4투,3524,2042,1142,805,60,15,2022,20,1482
,북부동제5투,3596,1934,1045,772,83,18,1918,16,1662
,북부동제6투,3866,2074,928,1015,75,22,2040,34,1792
,북부동제7투,3355,2162,920,1172,47,10,2149,13,1193
,북부동제8투,2774,1464,683,716,47,5,1451,13,1310
,북부동제9투,2696,1287,673,555,37,11,1276,11,1409
,북부동제10투,1954,964,508,401,37,8,954,10,990
,북부동제11투,3046,1812,953,775,64,11,1803,9,1234
,북부동제12투,2539,1127,524,548,38,8,1118,9,1412
,북부동제13투,3385,1804,883,857,48,6,1794,10,1581
,북부동제14투,2924,1628,903,651,44,17,1615,13,1296
,북부동제15투,1887,1174,641,470,35,14,1160,14,713
,북부동제16투,3148,1889,984,836,45,13,1878,11,1259
활천동,소계,32666,18718,9044,8742,511,217,18514,204,13948
,관내사전투표,5480,5480,3088,2174,105,59,5426,54,0
,활천동제1투,3733,1685,679,896,55,33,1663,22,2048
,활천동제2투,3445,1738,779,861,54,21,1715,23,1707
,활천동제3투,3435,1671,761,835,44,18,1658,13,1764
,활천동제4투,4758,2214,940,1137,75,25,2177,37,2544
,활천동제5투,4342,2054,973,970,70,17,2030,24,2288
,활천동제6투,3647,2221,1069,1060,56,19,2204,17,1426
,활천동제7투,3826,1655,755,809,52,25,1641,14,2171
삼안동,소계,29823,18068,8622,8467,536,214,17839,229,11755
,관내사전투표,6213,6213,3428,2539,151,45,6163,50,0
,삼안동제1투,3592,1627,742,762,63,32,1599,28,1965
,삼안동제2투,1662,871,355,472,25,7,859,12,791
,삼안동제3투,4015,2244,1043,1089,65,27,2224,20,1771
,삼안동제4투,2815,1236,499,657,35,18,1209,27,1579
,삼안동제5투,3370,1976,898,974,64,23,1959,17,1394
,삼안동제6투,2454,1369,631,667,34,15,1347,22,1085
,삼안동제7투,2691,1349,598,666,41,21,1326,23,1342
,삼안동제8투,3011,1183,428,641,58,26,1153,30,1828
불암동,소계,6595,4319,2099,2003,122,42,4266,53,2276
,관내사전투표,1685,1685,933,684,40,14,1671,14,0
,불암동제1투,4009,2206,1019,1064,68,22,2173,33,1803
,불암동제2투,901,428,147,255,14,6,422,6,473
잘못 투입·구분된 투표지,,0,6,3,3,0,0,6,0,-6
