읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김정호,미래통합당장기표,정의당배주임,국가혁명배당금당안종규,무소속이영철,계,무효투표수,기권수
합계,,223167,145744,71634,60003,7272,788,4503,144200,1544,77423
거소·선상투표,,527,500,255,149,40,9,27,480,20,27
관외사전투표,,12390,12365,6656,4392,550,99,431,12128,237,25
국외부재자투표,,407,102,66,29,6,0,1,102,0,305
국외부재자투표(공관),,0,3,1,1,1,0,0,3,0,-3
주촌면,소계,13109,8435,4394,3508,313,39,116,8370,65,4674
,관내사전투표,2963,2963,1643,1186,69,9,44,2951,12,0
,주촌면제1투,1852,854,235,565,15,13,6,834,20,998
,주촌면제2투,2997,1371,709,558,65,2,24,1358,13,1626
,주촌면제3투,5297,3247,1807,1199,164,15,42,3227,20,2050
진례면,소계,5878,3658,1475,1942,88,63,46,3614,44,2220
,관내사전투표,1510,1509,750,669,34,16,24,1493,16,1
,진례면제1투,2144,1099,381,638,28,26,13,1086,13,1045
,진례면제2투,2224,1050,344,635,26,21,9,1035,15,1174
회현동,소계,8334,5393,2389,2679,145,37,71,5321,72,2941
,관내사전투표,2546,2546,1300,1113,73,5,32,2523,23,0
,회현동제1투,2354,1061,340,665,21,6,10,1042,19,1293
,회현동제2투,3434,1786,749,901,51,26,29,1756,30,1648
내외동,소계,59229,34740,16864,15499,1283,227,458,34331,409,24489
,관내사전투표,9798,9795,5599,3696,255,45,114,9709,86,3
,내외동제1투,2317,1102,555,462,50,12,14,1093,9,1215
,내외동제2투,2498,1209,522,587,51,14,18,1192,17,1289
,내외동제3투,2253,1006,415,517,46,6,9,993,13,1247
,내외동제4투,3192,1661,654,878,77,8,24,1641,20,1531
,내외동제5투,3976,2060,889,1011,77,19,30,2026,34,1916
,내외동제6투,3858,2286,1041,1119,69,11,21,2261,25,1572
,내외동제7투,2795,1119,485,547,45,8,22,1107,12,1676
,내외동제8투,2979,1419,648,664,64,9,19,1404,15,1560
,내외동제9투,3212,1746,810,786,87,10,26,1719,27,1466
,내외동제10투,2926,1581,737,726,73,7,15,1558,23,1345
,내외동제11투,2422,1136,480,566,37,17,23,1123,13,1286
,내외동제12투,5481,3059,1474,1358,133,21,37,3023,36,2422
,내외동제13투,3623,1638,738,796,48,12,22,1616,22,1985
,내외동제14투,4136,2018,952,884,101,9,37,1983,35,2118
,내외동제15투,3763,1905,865,902,70,19,27,1883,22,1858
칠산서부동,소계,8438,5397,2418,2639,171,34,71,5333,64,3041
,관내사전투표,2267,2267,1226,914,69,14,24,2247,20,0
,칠산서부동제1투,2105,1133,381,682,33,7,11,1114,19,972
,칠산서부동제2투,2138,1008,385,556,33,7,14,995,13,1130
,칠산서부동제3투,1928,989,426,487,36,6,22,977,12,939
장유1동,소계,40697,25580,11953,10535,1249,119,1476,25332,248,15117
,관내사전투표,7539,7539,4121,2645,321,30,362,7479,60,0
,장유1동제1투,4181,2498,1102,1043,126,6,203,2480,18,1683
,장유1동제2투,3896,2140,760,936,126,11,285,2118,22,1756
,장유1동제3투,3434,1920,820,849,94,14,116,1893,27,1514
,장유1동제4투,3702,2282,1064,883,151,15,141,2254,28,1420
,장유1동제5투,3902,2249,979,1043,81,7,120,2230,19,1653
,장유1동제6투,3059,1468,672,642,76,12,49,1451,17,1591
,장유1동제7투,3621,1675,669,847,74,6,59,1655,20,1946
,장유1동제8투,3828,2039,883,947,98,8,78,2014,25,1789
,장유1동제9투,3535,1770,883,700,102,10,63,1758,12,1765
장유2동,소계,28085,18441,9103,7185,1076,60,844,18268,173,9644
,관내사전투표,7037,7037,4071,2184,391,19,318,6983,54,0
,장유2동제1투,2450,1138,530,484,55,6,47,1122,16,1312
,장유2동제2투,2806,1460,622,681,89,11,37,1440,20,1346
,장유2동제3투,2610,1315,616,533,82,1,67,1299,16,1295
,장유2동제4투,4576,2536,1134,1095,154,9,120,2512,24,2040
,장유2동제5투,3204,1764,753,803,109,8,76,1749,15,1440
,장유2동제6투,3427,2010,866,862,125,4,130,1987,23,1417
,장유2동제7투,1975,1181,511,543,71,2,49,1176,5,794
장유3동,소계,46073,31105,16046,11435,2349,101,962,30893,212,14968
,관내사전투표,8908,8908,5451,2640,532,15,222,8860,48,0
,장유3동제1투,3979,2465,1034,1050,273,13,72,2442,23,1514
,장유3동제2투,3109,2003,878,823,200,14,78,1993,10,1106
,장유3동제3투,3931,2173,1066,833,169,10,78,2156,17,1758
,장유3동제4투,3076,1668,747,736,112,9,50,1654,14,1408
,장유3동제5투,3762,2216,1089,862,165,3,80,2199,17,1546
,장유3동제6투,4226,2466,1048,1127,181,6,87,2449,17,1760
,장유3동제7투,4289,2602,1307,936,259,6,83,2591,11,1687
,장유3동제8투,3083,1656,771,711,104,13,33,1632,24,1427
,장유3동제9투,3885,2548,1402,859,178,4,90,2533,15,1337
,장유3동제10투,3825,2400,1253,858,176,8,89,2384,16,1425
잘못 투입·구분된 투표지,,0,25,14,10,1,0,0,25,0,-25
