읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조성환,미래통합당조해진,국가혁명배당금당이승율,계,무효투표수,기권수
합계,,55881,36770,12560,22931,618,36109,661,19111
거소·선상투표,,283,259,78,145,14,237,22,24
관외사전투표,,3620,3619,1674,1782,74,3530,89,1
국외부재자투표,,106,24,14,9,1,24,0,82
국외부재자투표(공관),,0,0,0,0,0,0,0,0
가야읍,소계,14239,8486,3018,5191,139,8348,138,5753
,관내사전투표,3101,3101,1298,1731,37,3066,35,0
,가야읍제1투,2033,976,298,640,25,963,13,1057
,가야읍제2투,3459,1610,550,1006,22,1578,32,1849
,가야읍제3투,2937,1440,490,884,34,1408,32,1497
,가야읍제4투,2709,1359,382,930,21,1333,26,1350
함안면,소계,2160,1413,417,947,25,1389,24,747
,관내사전투표,636,636,238,380,11,629,7,0
,함안면투표소,1524,777,179,567,14,760,17,747
군북면,소계,5313,3275,874,2276,49,3199,76,2038
,관내사전투표,1232,1232,422,773,13,1208,24,0
,군북면제1투,2018,872,207,621,19,847,25,1146
,군북면제2투,624,381,88,279,6,373,8,243
,군북면제3투,853,437,79,339,8,426,11,416
,군북면제4투,586,353,78,264,3,345,8,233
법수면,소계,2613,1613,412,1117,33,1562,51,1000
,관내사전투표,721,721,206,480,11,697,24,0
,법수면투표소,1892,892,206,637,22,865,27,1000
대산면,소계,3161,1947,505,1359,43,1907,40,1214
,관내사전투표,880,880,280,574,18,872,8,0
,대산면투표소,2281,1067,225,785,25,1035,32,1214
칠서면,소계,4250,2540,709,1730,54,2493,47,1710
,관내사전투표,613,613,203,387,15,605,8,0
,칠서면제1투,2041,1049,349,662,18,1029,20,992
,칠서면제2투,605,303,51,238,7,296,7,302
,칠서면제3투,991,575,106,443,14,563,12,416
칠북면,소계,1808,1257,249,963,24,1236,21,551
,관내사전투표,567,567,148,402,9,559,8,0
,칠북면투표소,1241,690,101,561,15,677,13,551
칠원읍,소계,14470,9453,3693,5538,118,9349,104,5017
,관내사전투표,2596,2595,1104,1432,36,2572,23,1
,칠원읍제1투,3228,1581,442,1098,24,1564,17,1647
,칠원읍제2투,930,573,118,437,10,565,8,357
,칠원읍제3투,3048,2061,1024,985,29,2038,23,987
,칠원읍제4투,2095,1074,299,750,9,1058,16,1021
,칠원읍제5투,2573,1569,706,836,10,1552,17,1004
산인면,소계,3015,2251,762,1411,37,2210,41,764
,관내사전투표,1367,1367,552,770,23,1345,22,0
,산인면투표소,1648,884,210,641,14,865,19,764
여항면,소계,843,632,154,463,7,624,8,211
,관내사전투표,369,369,95,268,3,366,3,0
,여항면투표소,474,263,59,195,4,258,5,211
잘못 투입·구분된 투표지,,0,1,1,0,0,1,0,-1
