읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서필상,미래통합당강석진,민생당김운향,우리공화당박영주,민중당전성기,국가혁명배당금당김태영,무소속김태호,계,무효투표수,기권수
합계,,53599,38976,6373,13147,171,243,228,390,17755,38307,669,14623
거소·선상투표,,177,163,24,73,0,0,3,1,54,155,8,14
관외사전투표,,2731,2731,758,772,27,19,24,24,1035,2659,72,0
국외부재자투표,,107,25,13,8,1,0,0,0,3,25,0,82
국외부재자투표(공관),,0,5,2,3,0,0,0,0,0,5,0,-5
거창읍,소계,30374,20559,3651,6186,57,114,100,173,10059,20340,219,9815
,관내사전투표,7491,7488,1692,2104,19,37,38,45,3486,7421,67,3
,거창읍제1투,2324,1264,230,347,6,5,3,16,645,1252,12,1060
,거창읍제2투,2399,1423,202,497,3,12,9,2,682,1407,16,976
,거창읍제3투,2537,1500,217,436,7,6,6,18,783,1473,27,1037
,거창읍제4투,3348,1844,275,585,6,8,5,15,936,1830,14,1504
,거창읍제5투,2953,1674,225,519,2,15,10,17,868,1656,18,1279
,거창읍제6투,2169,1203,177,351,1,7,6,15,628,1185,18,966
,거창읍제7투,2150,1218,188,344,6,3,1,13,647,1202,16,932
,거창읍제8투,1218,816,77,270,3,5,9,11,428,803,13,402
,거창읍제9투,1453,906,160,318,3,7,3,10,397,898,8,547
,거창읍제10투,2332,1223,208,415,1,9,10,11,559,1213,10,1109
주상면,소계,1580,1245,148,516,6,10,4,10,513,1207,38,335
,관내사전투표,790,790,94,324,4,8,3,5,326,764,26,0
,주상면투표소,790,455,54,192,2,2,1,5,187,443,12,335
웅양면,소계,1754,1311,184,542,13,4,16,21,511,1291,20,443
,관내사전투표,872,872,114,379,11,3,13,12,327,859,13,0
,웅양면투표소,882,439,70,163,2,1,3,9,184,432,7,443
고제면,소계,1405,1076,173,389,6,26,24,10,423,1051,25,329
,관내사전투표,649,649,119,241,5,13,19,7,237,641,8,0
,고제면투표소,756,427,54,148,1,13,5,3,186,410,17,329
북상면,소계,1443,1088,191,409,15,13,15,15,403,1061,27,355
,관내사전투표,710,710,127,261,10,10,10,6,267,691,19,0
,북상면투표소,733,378,64,148,5,3,5,9,136,370,8,355
위천면,소계,1792,1374,176,537,5,7,5,14,594,1338,36,418
,관내사전투표,840,840,118,331,5,7,2,3,354,820,20,0
,위천면투표소,952,534,58,206,0,0,3,11,240,518,16,418
마리면,소계,2048,1554,221,537,7,9,7,22,716,1519,35,494
,관내사전투표,970,970,157,332,6,6,3,16,432,952,18,0
,마리면투표소,1078,584,64,205,1,3,4,6,284,567,17,494
남상면,소계,2302,1753,195,683,4,10,6,27,785,1710,43,549
,관내사전투표,1206,1206,143,481,2,7,6,18,520,1177,29,0
,남상면투표소,1096,547,52,202,2,3,0,9,265,533,14,549
남하면,소계,1758,1413,145,491,6,9,7,17,710,1385,28,345
,관내사전투표,925,925,107,312,3,4,5,12,468,911,14,0
,남하면투표소,833,488,38,179,3,5,2,5,242,474,14,345
신원면,소계,1341,1001,99,359,8,5,6,18,461,956,45,340
,관내사전투표,538,538,55,197,5,4,2,7,245,515,23,0
,신원면투표소,803,463,44,162,3,1,4,11,216,441,22,340
가조면,소계,3586,2775,289,1242,9,14,6,22,1144,2726,49,811
,관내사전투표,1654,1654,208,698,3,8,4,15,689,1625,29,0
,가조면투표소,1932,1121,81,544,6,6,2,7,455,1101,20,811
가북면,소계,1201,901,104,399,7,3,5,16,343,877,24,300
,관내사전투표,493,493,57,232,4,2,3,7,173,478,15,0
,가북면투표소,708,408,47,167,3,1,2,9,170,399,9,300
잘못 투입·구분된 투표지,,0,2,0,1,0,0,0,0,1,2,0,-2
