읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서필상,미래통합당강석진,민생당김운향,우리공화당박영주,민중당전성기,국가혁명배당금당김태영,무소속김태호,계,무효투표수,기권수
합계,,32103,23297,4602,8411,158,118,160,230,9136,22815,482,8806
거소·선상투표,,199,178,29,60,11,2,6,2,56,166,12,21
관외사전투표,,2546,2546,793,951,24,17,21,20,681,2507,39,0
국외부재자투표,,58,15,8,5,0,0,0,0,1,14,1,43
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0
산청읍,소계,5470,3893,729,1056,25,19,27,48,1924,3828,65,1577
,관내사전투표,2065,2065,441,533,15,10,11,28,993,2031,34,0
,산청읍제1투,2634,1364,193,400,4,8,10,11,718,1344,20,1270
,산청읍제2투,771,464,95,123,6,1,6,9,213,453,11,307
차황면,소계,1251,936,131,282,7,8,2,8,471,909,27,315
,관내사전투표,495,495,79,144,6,5,0,4,243,481,14,0
,차황면투표소,756,441,52,138,1,3,2,4,228,428,13,315
오부면,소계,917,666,124,243,4,1,2,7,273,654,12,251
,관내사전투표,343,343,85,127,1,1,2,4,118,338,5,0
,오부면투표소,574,323,39,116,3,0,0,3,155,316,7,251
생초면,소계,1832,1242,140,483,7,5,4,14,551,1204,38,590
,관내사전투표,584,584,86,225,2,0,0,5,253,571,13,0
,생초면투표소,1248,658,54,258,5,5,4,9,298,633,25,590
금서면,소계,2536,1735,289,700,10,8,8,27,654,1696,39,801
,관내사전투표,727,727,152,246,5,3,6,6,292,710,17,0
,금서면제1투,1207,586,78,223,2,3,0,12,255,573,13,621
,금서면제2투,602,422,59,231,3,2,2,9,107,413,9,180
삼장면,소계,1568,1163,183,552,8,4,6,8,374,1135,28,405
,관내사전투표,551,551,122,230,4,2,4,2,179,543,8,0
,삼장면투표소,1017,612,61,322,4,2,2,6,195,592,20,405
시천면,소계,3520,2458,497,996,13,10,13,25,859,2413,45,1062
,관내사전투표,1062,1062,286,363,6,5,5,7,372,1044,18,0
,시천면제1투,1294,714,101,315,5,3,3,10,264,701,13,580
,시천면제2투,1164,682,110,318,2,2,5,8,223,668,14,482
단성면,소계,4683,3104,600,1281,18,23,23,19,1076,3040,64,1579
,관내사전투표,1387,1387,332,503,10,6,5,11,490,1357,30,0
,단성면제1투,2545,1244,201,577,4,14,3,3,415,1217,27,1301
,단성면제2투,751,473,67,201,4,3,15,5,171,466,7,278
신안면,소계,4609,3208,752,1060,21,12,29,32,1245,3151,57,1401
,관내사전투표,1456,1456,432,427,6,6,16,15,532,1434,22,0
,신안면제1투,2162,1192,232,420,10,3,8,11,482,1166,26,970
,신안면제2투,991,560,88,213,5,3,5,6,231,551,9,431
생비량면,소계,1025,748,100,286,3,3,5,9,329,735,13,277
,관내사전투표,323,323,43,122,2,1,3,2,145,318,5,0
,생비량면투표소,702,425,57,164,1,2,2,7,184,417,8,277
신등면,소계,1889,1405,227,456,7,6,14,11,642,1363,42,484
,관내사전투표,845,845,152,256,6,5,8,5,388,820,25,0
,신등면투표소,1044,560,75,200,1,1,6,6,254,543,17,484
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0
