읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서필상,미래통합당강석진,민생당김운향,우리공화당박영주,민중당전성기,국가혁명배당금당김태영,무소속김태호,계,무효투표수,기권수
합계,,41197,29891,4063,12660,167,204,170,337,11597,29198,693,11306
거소·선상투표,,322,298,25,139,14,7,6,3,80,274,24,24
관외사전투표,,2667,2666,716,1123,23,16,20,26,696,2620,46,1
국외부재자투표,,70,11,7,3,0,0,0,0,1,11,0,59
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0
합천읍,소계,9237,6599,971,2493,15,24,31,38,2946,6518,81,2638
,관내사전투표,3135,3135,567,1082,7,10,20,17,1400,3103,32,0
,합천읍제1투,1843,1123,127,459,2,5,4,7,509,1113,10,720
,합천읍제2투,2423,1342,166,570,3,2,1,5,573,1320,22,1081
,합천읍제3투,1836,999,111,382,3,7,6,9,464,982,17,837
봉산면,소계,1262,848,102,347,3,9,5,18,347,831,17,414
,관내사전투표,411,411,67,143,2,5,0,9,177,403,8,0
,봉산면투표소,851,437,35,204,1,4,5,9,170,428,9,414
묘산면,소계,1446,1045,96,440,6,10,4,15,447,1018,27,401
,관내사전투표,542,542,57,226,4,3,1,8,234,533,9,0
,묘산면투표소,904,503,39,214,2,7,3,7,213,485,18,401
가야면,소계,3750,2667,353,1078,19,19,16,32,1110,2627,40,1083
,관내사전투표,915,915,179,327,8,4,7,15,353,893,22,0
,가야면제1투,1180,710,60,333,7,8,1,6,288,703,7,470
,가야면제2투,1093,726,67,319,3,6,7,8,309,719,7,367
,가야면제3투,562,316,47,99,1,1,1,3,160,312,4,246
야로면,소계,2166,1517,180,633,13,15,4,24,619,1488,29,649
,관내사전투표,722,722,106,276,6,9,1,16,294,708,14,0
,야로면투표소,1444,795,74,357,7,6,3,8,325,780,15,649
율곡면,소계,1985,1405,109,689,7,12,8,19,523,1367,38,580
,관내사전투표,635,635,48,298,4,6,4,12,240,612,23,0
,율곡면제1투,975,524,48,243,3,4,3,3,206,510,14,451
,율곡면제2투,375,246,13,148,0,2,1,4,77,245,1,129
초계면,소계,2254,1603,165,585,5,10,5,22,771,1563,40,651
,관내사전투표,756,756,79,280,2,6,4,9,359,739,17,0
,초계면투표소,1498,847,86,305,3,4,1,13,412,824,23,651
쌍책면,소계,1167,916,62,377,5,9,14,20,402,889,27,251
,관내사전투표,306,306,26,131,1,5,3,5,127,298,8,0
,쌍책면제1투,488,329,16,123,1,4,7,6,163,320,9,159
,쌍책면제2투,373,281,20,123,3,0,4,9,112,271,10,92
덕곡면,소계,769,579,52,293,5,6,3,7,198,564,15,190
,관내사전투표,342,342,24,182,3,3,0,1,123,336,6,0
,덕곡면투표소,427,237,28,111,2,3,3,6,75,228,9,190
청덕면,소계,1420,982,78,489,1,11,3,7,353,942,40,438
,관내사전투표,412,412,43,194,0,4,1,2,154,398,14,0
,청덕면제1투,619,322,24,162,1,4,0,3,110,304,18,297
,청덕면제2투,389,248,11,133,0,3,2,2,89,240,8,141
적중면,소계,1280,935,84,337,8,4,6,21,440,900,35,345
,관내사전투표,458,458,51,168,4,1,4,8,205,441,17,0
,적중면투표소,822,477,33,169,4,3,2,13,235,459,18,345
대양면,소계,1485,1001,130,414,3,10,9,14,385,965,36,484
,관내사전투표,444,444,71,178,1,5,7,7,160,429,15,0
,대양면투표소,1041,557,59,236,2,5,2,7,225,536,21,484
쌍백면,소계,1572,1068,118,563,10,12,9,16,311,1039,29,504
,관내사전투표,559,559,72,298,6,3,5,7,153,544,15,0
,쌍백면투표소,1013,509,46,265,4,9,4,9,158,495,14,504
삼가면,소계,3069,2136,291,920,8,11,1,21,816,2068,68,933
,관내사전투표,1133,1133,193,473,3,4,1,6,416,1096,37,0
,삼가면제1투,946,462,40,194,2,3,0,7,208,454,8,484
,삼가면제2투,990,541,58,253,3,4,0,8,192,518,23,449
가회면,소계,1512,1016,167,475,4,6,18,5,313,988,28,496
,관내사전투표,549,549,120,241,1,3,7,2,159,533,16,0
,가회면투표소,963,467,47,234,3,3,11,3,154,455,12,496
대병면,소계,1843,1256,181,633,10,5,3,14,375,1221,35,587
,관내사전투표,688,688,121,349,6,2,0,5,185,668,20,0
,대병면투표소,1155,568,60,284,4,3,3,9,190,553,15,587
용주면,소계,1921,1343,176,629,8,8,5,15,464,1305,38,578
,관내사전투표,749,749,107,358,3,4,5,3,251,731,18,0
,용주면투표소,1172,594,69,271,5,4,0,12,213,574,20,578
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0
