읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김두관,미래통합당나동연,정의당권현우,국가혁명배당금당최서영,계,무효투표수,기권수
합계,,135524,91238,44218,42695,2666,756,90335,903,44286
거소·선상투표,,330,316,118,140,20,16,294,22,14
관외사전투표,,7366,7362,4008,2841,320,74,7243,119,4
국외부재자투표,,274,82,61,19,1,0,81,1,192
국외부재자투표(공관),,0,3,3,0,0,0,3,0,-3
동면,소계,25197,15551,7424,7533,374,97,15428,123,9646
,관내사전투표,2462,2462,1424,989,33,5,2451,11,0
,동면제1투,4796,2436,955,1367,62,29,2413,23,2360
,동면제2투,2674,1615,634,907,44,11,1596,19,1059
,동면제3투,2215,1318,510,750,26,12,1298,20,897
,동면제4투,827,576,167,385,11,4,567,9,251
,동면제5투,3965,2346,1232,1012,70,16,2330,16,1619
,동면제6투,4311,2201,1131,978,70,11,2190,11,2110
,동면제7투,3947,2597,1371,1145,58,9,2583,14,1350
양주동,소계,26755,19348,9534,8905,578,145,19162,186,7407
,관내사전투표,5454,5454,3212,2037,127,38,5414,40,0
,양주동제1투,1805,883,356,478,29,12,875,8,922
,양주동제2투,2130,1369,590,711,41,10,1352,17,761
,양주동제3투,1953,1264,549,648,40,9,1246,18,689
,양주동제4투,1566,997,382,562,26,9,979,18,569
,양주동제5투,1718,1143,480,608,35,11,1134,9,575
,양주동제6투,2651,1715,773,847,60,15,1695,20,936
,양주동제7투,3013,2091,1064,898,93,15,2070,21,922
,양주동제8투,2591,1730,852,815,41,9,1717,13,861
,양주동제9투,2088,1573,854,661,46,5,1566,7,515
,양주동제10투,1786,1129,422,640,40,12,1114,15,657
서창동,소계,22738,14287,6904,6646,456,140,14146,141,8451
,관내사전투표,5007,5007,2750,2056,113,40,4959,48,0
,서창동제1투,1699,882,280,571,16,5,872,10,817
,서창동제2투,2675,1456,636,719,62,21,1438,18,1219
,서창동제3투,2102,981,393,541,25,10,969,12,1121
,서창동제4투,3887,2297,1182,985,91,20,2278,19,1590
,서창동제5투,2074,1034,410,565,40,9,1024,10,1040
,서창동제6투,2463,922,386,470,35,21,912,10,1541
,서창동제7투,2831,1708,867,739,74,14,1694,14,1123
소주동,소계,16187,10190,4684,5004,299,106,10093,97,5997
,관내사전투표,3215,3215,1739,1356,75,17,3187,28,0
,소주동제1투,1816,1091,421,630,20,11,1082,9,725
,소주동제2투,2293,1193,526,600,48,11,1185,8,1100
,소주동제3투,2227,1172,467,624,49,17,1157,15,1055
,소주동제4투,1545,934,417,459,26,14,916,18,611
,소주동제5투,2171,1025,372,598,32,13,1015,10,1146
,소주동제6투,2920,1560,742,737,49,23,1551,9,1360
평산동,소계,23488,14861,6977,7254,386,112,14729,132,8627
,관내사전투표,4274,4273,2357,1772,96,21,4246,27,1
,평산동제1투,1997,1114,539,510,36,7,1092,22,883
,평산동제2투,2471,1410,605,737,42,14,1398,12,1061
,평산동제3투,2397,1504,649,797,37,8,1491,13,893
,평산동제4투,1653,1074,464,565,31,8,1068,6,579
,평산동제5투,4592,2136,911,1130,50,23,2114,22,2456
,평산동제6투,1610,754,324,389,27,3,743,11,856
,평산동제7투,1886,1033,318,668,27,14,1027,6,853
,평산동제8투,2608,1563,810,686,40,14,1550,13,1045
덕계동,소계,13189,9237,4504,4353,232,66,9155,82,3952
,관내사전투표,4612,4611,2501,1950,99,26,4576,35,1
,덕계동제1투,2977,1618,687,863,43,12,1605,13,1359
,덕계동제2투,2692,1467,620,781,38,14,1453,14,1225
,덕계동제3투,2908,1541,696,759,52,14,1521,20,1367
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
