읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당한경호,미래통합당강민국,우리공화당김동우,국가혁명배당금당김봉준,무소속이창희,계,무효투표수,기권수
합계,,129775,86523,28779,50217,670,690,4718,85074,1449,43252
거소·선상투표,,330,312,75,163,9,10,36,293,19,18
관외사전투표,,8164,8163,3659,3526,45,72,654,7956,207,1
국외부재자투표,,208,50,34,16,0,0,0,50,0,158
국외부재자투표(공관),,0,2,2,0,0,0,0,2,0,-2
진성면,소계,1807,1255,326,822,14,15,47,1224,31,552
,관내사전투표,616,616,176,397,7,5,20,605,11,0
,진성면투표소,1191,639,150,425,7,10,27,619,20,552
일반성면,소계,2485,1743,440,1182,13,15,60,1710,33,742
,관내사전투표,912,912,262,597,6,6,26,897,15,0
,일반성면투표소,1573,831,178,585,7,9,34,813,18,742
이반성면,소계,1458,997,255,660,19,11,19,964,33,461
,관내사전투표,443,443,124,285,7,5,14,435,8,0
,이반성면투표소,1015,554,131,375,12,6,5,529,25,461
사봉면,소계,1347,922,225,613,14,15,31,898,24,425
,관내사전투표,424,424,119,262,8,12,12,413,11,0
,사봉면투표소,923,498,106,351,6,3,19,485,13,425
지수면,소계,1325,905,247,559,21,18,36,881,24,420
,관내사전투표,456,456,130,282,6,6,21,445,11,0
,지수면투표소,869,449,117,277,15,12,15,436,13,420
대곡면,소계,3096,2001,532,1314,14,27,68,1955,46,1095
,관내사전투표,945,945,267,611,6,11,32,927,18,0
,대곡면투표소,2151,1056,265,703,8,16,36,1028,28,1095
금산면,소계,15582,10364,4081,5552,53,73,497,10256,108,5218
,관내사전투표,4371,4370,2011,2090,9,27,198,4335,35,1
,금산면제1투,2623,1283,361,837,7,13,47,1265,18,1340
,금산면제2투,3348,1728,549,1049,14,13,86,1711,17,1620
,금산면제3투,2218,1282,454,697,14,13,78,1256,26,936
,금산면제4투,3022,1701,706,879,9,7,88,1689,12,1321
집현면,소계,3925,2449,725,1520,21,25,113,2404,45,1476
,관내사전투표,1032,1032,388,567,8,10,40,1013,19,0
,집현면투표소,2893,1417,337,953,13,15,73,1391,26,1476
미천면,소계,1453,951,198,667,11,17,36,929,22,502
,관내사전투표,433,433,95,301,4,5,18,423,10,0
,미천면투표소,1020,518,103,366,7,12,18,506,12,502
중앙동,소계,10012,6122,1289,4229,84,49,355,6006,116,3890
,관내사전투표,1833,1833,465,1202,16,14,105,1802,31,0
,중앙동제1투,2329,1255,227,916,10,8,68,1229,26,1074
,중앙동제2투,2604,1437,280,1012,24,10,79,1405,32,1167
,중앙동제3투,1664,783,138,541,11,15,57,762,21,881
,중앙동제4투,1582,814,179,558,23,2,46,808,6,768
상평동,소계,9679,6170,1911,3750,34,47,335,6077,93,3509
,관내사전투표,2198,2198,821,1195,7,16,136,2175,23,0
,상평동제1투,2046,1067,275,707,4,5,52,1043,24,979
,상평동제2투,2384,1239,308,839,12,15,50,1224,15,1145
,상평동제3투,3051,1666,507,1009,11,11,97,1635,31,1385
초장동,소계,18571,12825,5304,6488,59,64,762,12677,148,5746
,관내사전투표,4592,4592,2138,2156,12,17,232,4555,37,0
,초장동제1투,2861,1426,451,849,10,11,81,1402,24,1435
,초장동제2투,2434,1414,413,852,10,4,113,1392,22,1020
,초장동제3투,2519,1646,580,865,14,7,151,1617,29,873
,초장동제4투,3327,1889,844,925,6,10,84,1869,20,1438
,초장동제5투,2838,1858,878,841,7,15,101,1842,16,980
상봉동,소계,12312,7587,2066,4861,62,71,430,7490,97,4725
,관내사전투표,2649,2649,832,1602,16,18,158,2626,23,0
,상봉동제1투,1866,896,242,586,10,6,38,882,14,970
,상봉동제2투,1960,1062,237,736,9,4,59,1045,17,898
,상봉동제3투,2821,1418,324,945,17,19,92,1397,21,1403
,상봉동제4투,3016,1562,431,992,10,24,83,1540,22,1454
상대동,소계,17375,10778,3231,6639,83,78,555,10586,192,6597
,관내사전투표,3970,3970,1382,2280,27,20,195,3904,66,0
,상대동제1투,2504,1291,364,834,5,10,59,1272,19,1213
,상대동제2투,2563,1255,371,762,9,14,73,1229,26,1308
,상대동제3투,2597,1204,299,801,12,15,57,1184,20,1393
,상대동제4투,2569,1290,351,824,12,12,70,1269,21,1279
,상대동제5투,3172,1768,464,1138,18,7,101,1728,40,1404
하대동,소계,20646,12925,4177,7656,114,83,684,12714,211,7721
,관내사전투표,4524,4522,1655,2535,29,19,228,4466,56,2
,하대동제1투,2182,1136,364,669,9,8,69,1119,17,1046
,하대동제2투,2634,1294,354,821,18,8,73,1274,20,1340
,하대동제3투,2824,1423,420,868,11,12,83,1394,29,1401
,하대동제4투,2519,1305,397,788,20,8,66,1279,26,1214
,하대동제5투,3145,1735,535,1058,11,11,86,1701,34,1410
,하대동제6투,2818,1510,452,917,16,17,79,1481,29,1308
잘못 투입·구분된 투표지,,0,2,2,0,0,0,0,2,0,-2
