읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이흥석,미래통합당강기윤,민생당구명회,정의당여영국,민중당석영철,국가혁명배당금당조규필,계,무효투표수,기권수
합계,,182830,131968,20662,61782,536,45567,1330,723,130600,1368,50862
거소·선상투표,,473,449,88,207,10,96,4,19,424,25,24
관외사전투표,,11322,11315,2640,4757,95,3335,138,101,11066,249,7
국외부재자투표,,410,103,47,34,0,21,0,0,102,1,307
국외부재자투표(공관),,0,6,0,3,0,3,0,0,6,0,-6
반송동,소계,32260,23551,3612,11977,81,7217,370,106,23363,188,8709
,관내사전투표,6204,6203,1056,2618,21,2348,103,20,6166,37,1
,반송동제1투,2064,1462,223,811,4,367,39,5,1449,13,602
,반송동제2투,2273,1554,215,843,6,442,27,4,1537,17,719
,반송동제3투,2042,1382,178,748,3,419,16,5,1369,13,660
,반송동제4투,2149,1495,221,771,10,463,17,5,1487,8,654
,반송동제5투,2282,1593,222,816,4,507,28,7,1584,9,689
,반송동제6투,2358,1660,222,818,5,573,25,8,1651,9,698
,반송동제7투,2569,1676,219,874,4,510,35,11,1653,23,893
,반송동제8투,2574,1563,264,913,8,336,17,9,1547,16,1011
,반송동제9투,2454,1461,234,877,2,312,11,10,1446,15,993
,반송동제10투,2499,1505,248,824,8,373,24,12,1489,16,994
,반송동제11투,2792,1997,310,1064,6,567,28,10,1985,12,795
중앙동,소계,19299,11343,2188,5533,50,3242,136,69,11218,125,7956
,관내사전투표,3275,3275,689,1388,10,1093,50,19,3249,26,0
,중앙동제1투,2440,1075,194,570,2,277,9,7,1059,16,1365
,중앙동제2투,3184,1267,271,685,3,271,7,10,1247,20,1917
,중앙동제3투,2065,1083,165,668,8,208,14,7,1070,13,982
,중앙동제4투,3201,1549,295,771,12,421,18,13,1530,19,1652
,중앙동제5투,2078,1163,239,538,8,344,22,5,1156,7,915
,중앙동제6투,3056,1931,335,913,7,628,16,8,1907,24,1125
상남동,소계,23001,16646,2346,7852,54,6069,109,78,16508,138,6355
,관내사전투표,6615,6614,1050,2660,22,2780,48,14,6574,40,1
,상남동제1투,2598,1538,221,731,4,546,14,9,1525,13,1060
,상남동제2투,2222,1215,160,630,3,385,9,9,1196,19,1007
,상남동제3투,2605,1743,208,913,8,571,13,12,1725,18,862
,상남동제4투,2961,1980,202,1062,7,676,9,8,1964,16,981
,상남동제5투,3112,1947,303,927,4,675,7,12,1928,19,1165
,상남동제6투,2888,1609,202,929,6,436,9,14,1596,13,1279
사파동,소계,36379,25392,3427,11222,92,10063,196,134,25134,258,10987
,관내사전투표,6977,6977,1046,2671,17,3118,51,24,6927,50,0
,사파동제1투,3606,2171,322,1096,6,699,18,16,2157,14,1435
,사파동제2투,2407,1460,152,846,5,422,4,4,1433,27,947
,사파동제3투,1639,1047,132,481,0,405,12,5,1035,12,592
,사파동제4투,2911,1850,205,854,15,723,14,13,1824,26,1061
,사파동제5투,3120,1918,227,925,7,717,13,14,1903,15,1202
,사파동제6투,2538,1751,226,790,7,682,14,10,1729,22,787
,사파동제7투,1860,916,148,524,1,207,6,13,899,17,944
,사파동제8투,2781,1677,200,735,9,683,18,7,1652,25,1104
,사파동제9투,2967,1881,247,780,9,810,7,13,1866,15,1086
,사파동제10투,2494,1686,246,689,8,708,10,6,1667,19,808
,사파동제11투,3079,2058,276,831,8,889,29,9,2042,16,1021
가음정동,소계,32951,23668,3664,10601,87,8761,224,123,23460,208,9283
,관내사전투표,6813,6813,1203,2532,17,2914,70,26,6762,51,0
,가음정동제1투,1983,1202,210,585,3,370,9,12,1189,13,781
,가음정동제2투,2819,2023,318,900,8,758,20,5,2009,14,796
,가음정동제3투,2927,1949,274,919,7,717,8,11,1936,13,978
,가음정동제4투,1807,1041,153,542,2,308,11,9,1025,16,766
,가음정동제5투,3430,2346,287,1052,13,932,25,12,2321,25,1084
,가음정동제6투,2901,2005,277,1005,7,673,23,6,1991,14,896
,가음정동제7투,2650,1798,228,911,10,618,16,7,1790,8,852
,가음정동제8투,2075,1215,151,700,8,321,16,9,1205,10,860
,가음정동제9투,2160,1224,207,528,1,445,18,8,1207,17,936
,가음정동제10투,3386,2052,356,927,11,705,8,18,2025,27,1334
성주동,소계,20041,14621,1967,6948,57,5357,101,68,14498,123,5420
,관내사전투표,4334,4334,626,1743,13,1869,40,18,4309,25,0
,성주동제1투,3090,2067,258,1169,13,577,11,16,2044,23,1023
,성주동제2투,2221,1203,230,521,3,429,6,5,1194,9,1018
,성주동제3투,2783,1658,235,718,9,650,14,7,1633,25,1125
,성주동제4투,2320,1533,222,691,5,585,10,8,1521,12,787
,성주동제5투,2787,2035,224,1095,8,678,12,5,2022,13,752
,성주동제6투,2506,1791,172,1011,6,569,8,9,1775,16,715
웅남동,소계,6694,4865,683,2645,10,1397,52,25,4812,53,1829
,관내사전투표,1863,1863,273,918,3,624,24,10,1852,11,0
,웅남동제1투,1140,640,90,387,3,146,5,1,632,8,500
,웅남동제2투,1733,1100,159,598,2,314,8,2,1083,17,633
,웅남동제3투,1489,926,129,524,1,243,12,6,915,11,563
,웅남동제4투,469,336,32,218,1,70,3,6,330,6,133
잘못 투입·구분된 투표지,,0,9,0,3,0,6,0,0,9,0,-9
