읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당황기철,미래통합당이달곤,국가혁명배당금당유재철,계,무효투표수,기권수
합계,,155692,105737,50595,52000,947,103542,2195,49955
거소·선상투표,,2488,2426,1409,739,57,2205,221,62
관외사전투표,,6444,6435,3611,2596,92,6299,136,9
국외부재자투표,,419,93,69,20,1,90,3,326
국외부재자투표(공관),,0,0,0,0,0,0,0,0
충무동,소계,13142,8890,3773,4864,73,8710,180,4252
,관내사전투표,3531,3530,1860,1579,36,3475,55,1
,충무동제1투,2376,1296,350,912,6,1268,28,1080
,충무동제2투,3278,1660,707,903,13,1623,37,1618
,충무동제3투,2055,1221,434,753,7,1194,27,834
,충무동제4투,1902,1183,422,717,11,1150,33,719
여좌동,소계,7808,5429,2007,3281,35,5323,106,2379
,관내사전투표,2367,2367,1048,1282,19,2349,18,0
,여좌동제1투,1018,577,177,379,2,558,19,441
,여좌동제2투,1977,1022,330,655,7,992,30,955
,여좌동제3투,2446,1463,452,965,7,1424,39,983
태백동,소계,4919,3304,1163,2047,37,3247,57,1615
,관내사전투표,1556,1556,616,910,17,1543,13,0
,태백동제1투,1815,922,312,565,18,895,27,893
,태백동제2투,1548,826,235,572,2,809,17,722
경화동,소계,9262,6421,2818,3423,61,6302,119,2841
,관내사전투표,2909,2909,1477,1377,20,2874,35,0
,경화동제1투,2472,1277,394,822,20,1236,41,1195
,경화동제2투,3881,2235,947,1224,21,2192,43,1646
병암동,소계,6229,4147,1780,2264,25,4069,78,2082
,관내사전투표,1976,1976,932,1013,13,1958,18,0
,병암동제1투,2031,1126,422,668,6,1096,30,905
,병암동제2투,2222,1045,426,583,6,1015,30,1177
석동,소계,13130,9242,4539,4498,58,9095,147,3888
,관내사전투표,3588,3588,2102,1439,24,3565,23,0
,석동제1투,3432,1752,675,1020,10,1705,47,1680
,석동제2투,3340,1960,948,960,13,1921,39,1380
,석동제3투,2770,1942,814,1079,11,1904,38,828
이동,소계,7384,4699,1840,2730,45,4615,84,2685
,관내사전투표,1759,1759,841,892,15,1748,11,0
,이동제1투,1997,970,322,604,14,940,30,1027
,이동제2투,1682,823,289,502,10,801,22,859
,이동제3투,1946,1147,388,732,6,1126,21,799
자은동,소계,15507,10625,5311,5016,98,10425,200,4882
,관내사전투표,3202,3202,1755,1387,24,3166,36,0
,자은동제1투,2531,1415,588,780,13,1381,34,1116
,자은동제2투,3316,1793,766,967,21,1754,39,1523
,자은동제3투,3324,2334,1355,916,19,2290,44,990
,자은동제4투,3134,1881,847,966,21,1834,47,1253
덕산동,소계,8203,5707,2725,2833,47,5605,102,2496
,관내사전투표,2977,2977,1583,1344,21,2948,29,0
,덕산동제1투,2986,1583,641,878,18,1537,46,1403
,덕산동제2투,2240,1147,501,611,8,1120,27,1093
풍호동,소계,18082,12949,6396,6259,68,12723,226,5133
,관내사전투표,4242,4241,2448,1746,20,4214,27,1
,풍호동제1투,3109,1789,691,1044,10,1745,44,1320
,풍호동제2투,2810,1832,750,1030,10,1790,42,978
,풍호동제3투,3991,2538,1167,1294,17,2478,60,1453
,풍호동제4투,3930,2549,1340,1145,11,2496,53,1381
웅천동,소계,9259,5916,2754,2995,44,5793,123,3343
,관내사전투표,2468,2468,1237,1194,17,2448,20,0
,웅천동제1투,1453,712,208,486,7,701,11,741
,웅천동제2투,589,354,101,241,1,343,11,235
,웅천동제3투,2692,1430,735,640,8,1383,47,1262
,웅천동제4투,2057,952,473,434,11,918,34,1105
웅동1동,소계,5428,3481,1614,1763,40,3417,64,1947
,관내사전투표,1767,1767,904,833,17,1754,13,0
,웅동1동제1투,2146,1013,453,517,13,983,30,1133
,웅동1동제2투,1515,701,257,413,10,680,21,814
웅동2동,소계,27988,15963,8777,6671,166,15614,349,12025
,관내사전투표,5125,5124,3234,1799,45,5078,46,1
,웅동2동제1투,1779,720,267,421,15,703,17,1059
,웅동2동제2투,4218,2190,1126,998,12,2136,54,2028
,웅동2동제3투,3683,2156,1121,970,13,2104,52,1527
,웅동2동제4투,3083,1442,800,590,13,1403,39,1641
,웅동2동제5투,2371,1236,636,546,23,1205,31,1135
,웅동2동제6투,3579,1065,482,527,16,1025,40,2514
,웅동2동제7투,4150,2030,1111,820,29,1960,70,2120
잘못 투입·구분된 투표지,,0,10,9,1,0,10,0,-10
