읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당장세호,미래통합당정희용,국가혁명배당금당정한석,무소속김현기,계,무효투표수,기권수
합계,,28891,19452,3282,13112,212,2467,19073,379,9439
거소·선상투표,,190,184,38,90,9,21,158,26,6
관외사전투표,,1816,1816,507,1042,11,212,1772,44,0
국외부재자투표,,37,12,6,6,0,0,12,0,25
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
대가야읍,소계,8419,5313,897,3387,51,881,5216,97,3106
,관내사전투표,2190,2189,469,1273,21,389,2152,37,1
,대가야읍제1투,1448,717,92,484,3,123,702,15,731
,대가야읍제2투,459,293,41,216,3,31,291,2,166
,대가야읍제3투,1851,845,119,585,4,119,827,18,1006
,대가야읍제4투,345,197,17,150,5,18,190,7,148
,대가야읍제5투,2126,1072,159,679,15,201,1054,18,1054
덕곡면,소계,1280,914,94,691,12,98,895,19,366
,관내사전투표,302,302,42,209,1,42,294,8,0
,덕곡면제1투,613,381,29,300,6,36,371,10,232
,덕곡면제2투,365,231,23,182,5,20,230,1,134
운수면,소계,1693,1170,186,778,20,157,1141,29,523
,관내사전투표,431,431,89,272,8,53,422,9,0
,운수면제1투,917,519,59,367,6,74,506,13,398
,운수면제2투,345,220,38,139,6,30,213,7,125
성산면,소계,2303,1540,184,1080,23,237,1524,16,763
,관내사전투표,476,476,71,320,5,77,473,3,0
,성산면제1투,1213,682,79,485,13,96,673,9,531
,성산면제2투,614,382,34,275,5,64,378,4,232
다산면,소계,7006,4404,889,3029,37,391,4346,58,2602
,관내사전투표,1715,1715,421,1100,19,157,1697,18,0
,다산면제1투,1513,773,109,587,5,62,763,10,740
,다산면제2투,2918,1449,319,968,10,132,1429,20,1469
,다산면제3투,860,467,40,374,3,40,457,10,393
개진면,소계,1736,1136,122,858,13,123,1116,20,600
,관내사전투표,329,329,43,241,3,37,324,5,0
,개진면제1투,664,373,30,280,6,51,367,6,291
,개진면제2투,743,434,49,337,4,35,425,9,309
우곡면,소계,1399,952,104,680,12,125,921,31,447
,관내사전투표,256,256,43,161,3,40,247,9,0
,우곡면제1투,418,243,25,174,3,33,235,8,175
,우곡면제2투,725,453,36,345,6,52,439,14,272
쌍림면,소계,3012,2011,255,1471,24,222,1972,39,1001
,관내사전투표,623,623,108,409,6,94,617,6,0
,쌍림면제1투,824,424,37,331,6,39,413,11,400
,쌍림면제2투,674,399,44,295,6,43,388,11,275
,쌍림면제3투,891,565,66,436,6,46,554,11,326
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
