읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강부송,미래통합당김희국,국가혁명배당금당이광희,계,무효투표수,기권수
합계,,33560,22984,5253,16996,302,22551,433,10576
거소·선상투표,,231,216,51,139,6,196,20,15
관외사전투표,,1646,1645,611,977,28,1616,29,1
국외부재자투표,,40,8,5,3,0,8,0,32
국외부재자투표(공관),,0,0,0,0,0,0,0,0
영덕읍,소계,9149,6077,1746,4166,74,5986,91,3072
,관내사전투표,2912,2912,1032,1799,35,2866,46,0
,영덕읍제1투,2152,1011,316,668,11,995,16,1141
,영덕읍제2투,1657,876,175,677,12,864,12,781
,영덕읍제3투,1566,807,163,619,9,791,16,759
,영덕읍제4투,862,471,60,403,7,470,1,391
강구면,소계,5537,3438,573,2767,49,3389,49,2099
,관내사전투표,1416,1416,298,1076,20,1394,22,0
,강구면제1투,1447,658,104,538,9,651,7,789
,강구면제2투,1548,833,97,713,12,822,11,715
,강구면제3투,1126,531,74,440,8,522,9,595
남정면,소계,2145,1445,254,1142,16,1412,33,700
,관내사전투표,724,724,132,569,8,709,15,0
,남정면제1투,965,450,87,347,4,438,12,515
,남정면제2투,456,271,35,226,4,265,6,185
달산면,소계,1039,754,188,531,13,732,22,285
,관내사전투표,363,363,102,240,9,351,12,0
,달산면제1투,456,237,54,175,1,230,7,219
,달산면제2투,220,154,32,116,3,151,3,66
지품면,소계,1778,1295,321,921,21,1263,32,483
,관내사전투표,535,535,137,374,9,520,15,0
,지품면제1투,827,458,110,334,5,449,9,369
,지품면제2투,416,302,74,213,7,294,8,114
축산면,소계,2381,1634,251,1329,18,1598,36,747
,관내사전투표,843,843,128,686,9,823,20,0
,축산면제1투,625,376,61,299,7,367,9,249
,축산면제2투,913,415,62,344,2,408,7,498
영해면,소계,5597,3664,798,2766,43,3607,57,1933
,관내사전투표,1902,1900,463,1385,21,1869,31,2
,영해면제1투,1137,481,89,379,5,473,8,656
,영해면제2투,1421,727,145,562,13,720,7,694
,영해면제3투,1137,556,101,440,4,545,11,581
병곡면,소계,2484,1722,251,1411,19,1681,41,762
,관내사전투표,757,757,111,626,7,744,13,0
,병곡면제1투,756,383,57,310,5,372,11,373
,병곡면제2투,971,582,83,475,7,565,17,389
창수면,소계,1533,1085,204,843,15,1062,23,448
,관내사전투표,474,474,98,361,7,466,8,0
,창수면제1투,618,324,55,256,3,314,10,294
,창수면제2투,441,287,51,226,5,282,5,154
잘못 투입·구분된 투표지,,0,1,0,1,0,1,0,-1
