읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강부송,미래통합당김희국,국가혁명배당금당이광희,계,무효투표수,기권수
합계,,48524,35889,5769,28789,647,35205,684,12635
거소·선상투표,,270,253,49,187,3,239,14,17
관외사전투표,,2710,2708,839,1772,45,2656,52,2
국외부재자투표,,58,12,7,5,0,12,0,46
국외부재자투표(공관),,0,2,0,2,0,2,0,-2
의성읍,소계,11249,7504,1409,5875,112,7396,108,3745
,관내사전투표,3906,3905,795,2997,59,3851,54,1
,의성읍제1투,1183,505,79,413,9,501,4,678
,의성읍제2투,2184,996,204,761,14,979,17,1188
,의성읍제3투,2126,1072,209,837,12,1058,14,1054
,의성읍제4투,1850,1026,122,867,18,1007,19,824
단촌면,소계,1808,1346,189,1117,20,1326,20,462
,관내사전투표,844,844,119,704,12,835,9,0
,단촌면투표소,964,502,70,413,8,491,11,462
점곡면,소계,1502,1130,219,865,24,1108,22,372
,관내사전투표,764,763,148,589,12,749,14,1
,점곡면투표소,738,367,71,276,12,359,8,371
옥산면,소계,1646,1201,191,961,21,1173,28,445
,관내사전투표,753,753,116,610,7,733,20,0
,옥산면투표소,893,448,75,351,14,440,8,445
사곡면,소계,1462,1092,144,913,17,1074,18,370
,관내사전투표,727,727,100,603,8,711,16,0
,사곡면투표소,735,365,44,310,9,363,2,370
춘산면,소계,1286,968,109,826,11,946,22,318
,관내사전투표,594,594,60,517,7,584,10,0
,춘산면투표소,692,374,49,309,4,362,12,318
가음면,소계,1389,1076,149,887,21,1057,19,313
,관내사전투표,642,642,93,531,9,633,9,0
,가음면투표소,747,434,56,356,12,424,10,313
금성면,소계,3899,2867,365,2397,58,2820,47,1032
,관내사전투표,1887,1887,229,1597,31,1857,30,0
,금성면투표소,2012,980,136,800,27,963,17,1032
봉양면,소계,3542,2546,358,2092,53,2503,43,996
,관내사전투표,1498,1498,220,1239,21,1480,18,0
,봉양면투표소,2044,1048,138,853,32,1023,25,996
비안면,소계,2177,1547,185,1302,25,1512,35,630
,관내사전투표,943,943,116,792,13,921,22,0
,비안면투표소,1234,604,69,510,12,591,13,630
구천면,소계,1628,1166,161,952,23,1136,30,462
,관내사전투표,747,747,112,599,19,730,17,0
,구천면투표소,881,419,49,353,4,406,13,462
단밀면,소계,1536,1180,162,963,18,1143,37,356
,관내사전투표,851,850,93,713,12,818,32,1
,단밀면투표소,685,330,69,250,6,325,5,355
단북면,소계,1614,1283,135,1091,33,1259,24,331
,관내사전투표,975,975,97,837,23,957,18,0
,단북면투표소,639,308,38,254,10,302,6,331
안계면,소계,3995,2879,415,2354,52,2821,58,1116
,관내사전투표,1913,1913,270,1576,32,1878,35,0
,안계면투표소,2082,966,145,778,20,943,23,1116
다인면,소계,3370,2583,345,2136,47,2528,55,787
,관내사전투표,1712,1712,233,1421,28,1682,30,0
,다인면투표소,1658,871,112,715,19,846,25,787
신평면,소계,699,595,83,483,20,586,9,104
,관내사전투표,433,433,56,359,15,430,3,0
,신평면투표소,266,162,27,124,5,156,6,104
안평면,소계,1933,1375,174,1146,28,1348,27,558
,관내사전투표,811,811,97,681,17,795,16,0
,안평면투표소,1122,564,77,465,11,553,11,558
안사면,소계,751,574,81,461,16,558,16,177
,관내사전투표,398,398,53,322,13,388,10,0
,안사면투표소,353,176,28,139,3,170,6,177
잘못 투입·구분된 투표지,,0,2,0,2,0,2,0,-2
