읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강부송,미래통합당김희국,국가혁명배당금당이광희,계,무효투표수,기권수
합계,,23391,16560,3424,12534,275,16233,327,6831
거소·선상투표,,114,108,22,68,7,97,11,6
관외사전투표,,1338,1338,479,795,24,1298,40,0
국외부재자투표,,42,8,4,4,0,8,0,34
국외부재자투표(공관),,0,0,0,0,0,0,0,0
청송읍,소계,4431,3078,695,2279,36,3010,68,1353
,관내사전투표,1215,1215,360,822,11,1193,22,0
,청송읍제1투,1087,626,106,500,8,614,12,461
,청송읍제2투,571,353,49,284,7,340,13,218
,청송읍제3투,953,521,104,400,6,510,11,432
,청송읍제4투,605,363,76,273,4,353,10,242
부남면,소계,2275,1642,284,1304,32,1620,22,633
,관내사전투표,757,757,145,596,9,750,7,0
,부남면제1투,651,350,50,287,6,343,7,301
,부남면제2투,867,535,89,421,17,527,8,332
현동면,소계,1880,1322,207,1072,19,1298,24,558
,관내사전투표,616,616,87,513,5,605,11,0
,현동면투표소,1264,706,120,559,14,693,13,558
현서면,소계,2212,1593,295,1238,30,1563,30,619
,관내사전투표,693,693,161,502,14,677,16,0
,현서면제1투,995,554,82,452,11,545,9,441
,현서면제2투,524,346,52,284,5,341,5,178
안덕면,소계,2280,1557,263,1242,29,1534,23,723
,관내사전투표,626,626,131,479,6,616,10,0
,안덕면제1투,1226,655,89,543,11,643,12,571
,안덕면제2투,428,276,43,220,12,275,1,152
파천면,소계,1578,1112,177,896,16,1089,23,466
,관내사전투표,330,330,72,249,3,324,6,0
,파천면제1투,691,421,56,352,8,416,5,270
,파천면제2투,557,361,49,295,5,349,12,196
진보면,소계,5598,3671,813,2727,68,3608,63,1927
,관내사전투표,1550,1550,392,1105,27,1524,26,0
,진보면제1투,1101,547,100,430,7,537,10,554
,진보면제2투,1400,688,138,524,12,674,14,712
,진보면제3투,776,399,92,289,13,394,5,377
,진보면제4투,771,487,91,379,9,479,8,284
주왕산면,소계,1643,1131,185,909,14,1108,23,512
,관내사전투표,466,466,79,376,5,460,6,0
,주왕산면제1투,573,278,34,235,3,272,6,295
,주왕산면제2투,604,387,72,298,6,376,11,217
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
