읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정용운,미래통합당임이자,국가혁명배당금당이언우,무소속이한성,계,무효투표수,기권수
합계,,63102,42331,6513,23394,522,11049,41478,853,20771
거소·선상투표,,298,272,36,141,10,66,253,19,26
관외사전투표,,3127,3123,1085,1296,42,616,3039,84,4
국외부재자투표,,103,24,13,8,0,3,24,0,79
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
문경읍,소계,6091,3935,477,2327,41,1025,3870,65,2156
,관내사전투표,1694,1694,267,939,13,457,1676,18,0
,문경읍제1투,1933,928,91,617,3,204,915,13,1005
,문경읍제2투,1666,832,70,528,15,194,807,25,834
,문경읍제3투,798,481,49,243,10,170,472,9,317
가은읍,소계,3477,2406,353,1503,24,461,2341,65,1071
,관내사전투표,1199,1198,198,744,9,220,1171,27,1
,가은읍제1투,1769,916,105,583,9,189,886,30,853
,가은읍제2투,509,292,50,176,6,52,284,8,217
영순면,소계,2046,1462,117,983,21,312,1433,29,584
,관내사전투표,866,866,73,576,7,191,847,19,0
,영순면투표소,1180,596,44,407,14,121,586,10,584
산양면,소계,2657,1839,162,1165,14,456,1797,42,818
,관내사전투표,886,886,99,526,5,233,863,23,0
,산양면제1투,895,483,42,321,5,109,477,6,412
,산양면제2투,876,470,21,318,4,114,457,13,406
호계면,소계,2144,1459,156,844,15,413,1428,31,685
,관내사전투표,965,965,121,524,10,288,943,22,0
,호계면투표소,1179,494,35,320,5,125,485,9,685
산북면,소계,2538,1796,215,1039,30,462,1746,50,742
,관내사전투표,1078,1078,141,603,18,281,1043,35,0
,산북면투표소,1460,718,74,436,12,181,703,15,742
동로면,소계,1643,1190,140,495,14,512,1161,29,453
,관내사전투표,735,735,107,270,6,334,717,18,0
,동로면투표소,908,455,33,225,8,178,444,11,453
마성면,소계,3254,2220,238,1330,48,535,2151,69,1034
,관내사전투표,1206,1206,154,686,35,287,1162,44,0
,마성면제1투,892,406,31,233,5,126,395,11,486
,마성면제2투,1156,608,53,411,8,122,594,14,548
농암면,소계,2376,1611,188,961,32,375,1556,55,765
,관내사전투표,889,889,113,524,14,209,860,29,0
,농암면제1투,966,468,52,277,9,111,449,19,498
,농암면제2투,521,254,23,160,9,55,247,7,267
점촌1동,소계,5245,3495,435,1989,37,983,3444,51,1750
,관내사전투표,1739,1739,258,917,18,515,1708,31,0
,점촌1동제1투,1232,588,56,365,8,151,580,8,644
,점촌1동제2투,1095,568,45,361,2,157,565,3,527
,점촌1동제3투,1179,600,76,346,9,160,591,9,579
점촌2동,소계,6166,3957,491,2318,42,1048,3899,58,2209
,관내사전투표,1951,1951,287,1050,18,568,1923,28,0
,점촌2동제1투,1602,778,71,504,6,187,768,10,824
,점촌2동제2투,1057,547,54,359,5,120,538,9,510
,점촌2동제3투,1556,681,79,405,13,173,670,11,875
점촌3동,소계,7403,4602,675,2514,60,1282,4531,71,2801
,관내사전투표,2207,2206,391,1101,30,652,2174,32,1
,점촌3동제1투,2337,1047,123,605,10,291,1029,18,1290
,점촌3동제2투,2859,1349,161,808,20,339,1328,21,1510
점촌4동,소계,2857,1826,223,1056,18,497,1794,32,1031
,관내사전투표,831,831,125,424,7,262,818,13,0
,점촌4동제1투,1285,643,50,420,5,156,631,12,642
,점촌4동제2투,741,352,48,212,6,79,345,7,389
점촌5동,소계,11677,7112,1507,3425,74,2003,7009,103,4565
,관내사전투표,3733,3732,879,1675,38,1092,3684,48,1
,점촌5동제1투,3098,1309,222,724,13,330,1289,20,1789
,점촌5동제2투,2358,1048,182,544,11,291,1028,20,1310
,점촌5동제3투,2488,1023,224,482,12,290,1008,15,1465
잘못 투입·구분된 투표지,,0,2,2,0,0,0,2,0,-2
