읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이삼걸,미래통합당김형동,우리공화당박인우,국가혁명배당금당신효주,무소속권오을,무소속권택기,계,무효투표수,기권수
합계,,137615,94479,25325,40094,705,703,4797,21269,92893,1586,43136
거소·선상투표,,665,626,207,202,34,28,64,59,594,32,39
관외사전투표,,6232,6229,2470,2258,44,72,483,773,6100,129,3
국외부재자투표,,221,53,35,13,1,0,2,1,52,1,168
국외부재자투표(공관),,0,1,0,1,0,0,0,0,1,0,-1
풍산읍,소계,5951,3923,1035,1752,35,27,144,843,3836,87,2028
,관내사전투표,1533,1533,491,658,10,6,58,276,1499,34,0
,풍산읍제1투,1443,680,156,294,9,11,21,174,665,15,763
,풍산읍제2투,714,455,61,213,3,2,22,140,441,14,259
,풍산읍제3투,942,484,110,236,7,6,15,100,474,10,458
,풍산읍제4투,1319,771,217,351,6,2,28,153,757,14,548
와룡면,소계,3735,2518,553,1039,30,17,112,700,2451,67,1217
,관내사전투표,1258,1258,311,511,14,7,57,328,1228,30,0
,와룡면제1투,1530,737,132,323,10,4,36,205,710,27,793
,와룡면제2투,947,523,110,205,6,6,19,167,513,10,424
북후면,소계,2944,2009,393,972,21,24,107,408,1925,84,935
,관내사전투표,977,977,229,453,11,13,37,179,922,55,0
,북후면제1투,1166,625,84,340,4,6,42,134,610,15,541
,북후면제2투,801,407,80,179,6,5,28,95,393,14,394
서후면,소계,3259,2073,388,979,12,20,89,536,2024,49,1186
,관내사전투표,819,819,205,359,5,8,33,184,794,25,0
,서후면제1투,1500,696,83,360,4,6,38,194,685,11,804
,서후면제2투,940,558,100,260,3,6,18,158,545,13,382
풍천면,소계,4404,2736,650,1344,18,25,138,515,2690,46,1668
,관내사전투표,1210,1210,371,524,8,10,49,230,1192,18,0
,풍천면제1투,1903,798,196,386,6,4,47,149,788,10,1105
,풍천면제2투,871,454,63,252,2,9,33,86,445,9,417
,풍천면제3투,420,274,20,182,2,2,9,50,265,9,146
일직면,소계,2637,1836,262,1016,15,11,91,405,1800,36,801
,관내사전투표,998,998,165,544,10,4,44,215,982,16,0
,일직면제1투,800,426,43,248,1,2,26,95,415,11,374
,일직면제2투,839,412,54,224,4,5,21,95,403,9,427
남후면,소계,1822,1309,245,620,4,8,56,353,1286,23,513
,관내사전투표,767,767,189,334,2,4,29,197,755,12,0
,남후면투표소,1055,542,56,286,2,4,27,156,531,11,513
남선면,소계,1929,1393,314,591,11,9,63,369,1357,36,536
,관내사전투표,505,505,155,200,3,6,22,113,499,6,0
,남선면제1투,763,448,77,208,5,1,18,123,432,16,315
,남선면제2투,661,440,82,183,3,2,23,133,426,14,221
임하면,소계,2475,1624,291,766,17,16,79,409,1578,46,851
,관내사전투표,904,904,209,378,9,14,45,224,879,25,0
,임하면제1투,1112,441,60,222,5,2,22,117,428,13,671
,임하면제2투,459,279,22,166,3,0,12,68,271,8,180
길안면,소계,2613,1830,329,926,13,16,70,433,1787,43,783
,관내사전투표,832,832,171,409,2,6,30,202,820,12,0
,길안면제1투,1058,540,95,251,2,7,24,141,520,20,518
,길안면제2투,414,250,45,138,6,2,8,43,242,8,164
,길안면제3투,309,208,18,128,3,1,8,47,205,3,101
임동면,소계,1624,1085,159,592,14,11,48,221,1045,40,539
,관내사전투표,587,587,103,303,13,4,23,124,570,17,0
,임동면투표소,1037,498,56,289,1,7,25,97,475,23,539
예안면,소계,1732,1188,250,567,16,10,119,176,1138,50,544
,관내사전투표,533,533,146,244,7,3,43,79,522,11,0
,예안면제1투,762,394,51,203,6,3,51,57,371,23,368
,예안면제2투,437,261,53,120,3,4,25,40,245,16,176
도산면,소계,1550,1127,289,486,15,11,124,169,1094,33,423
,관내사전투표,451,451,153,160,4,4,52,66,439,12,0
,도산면제1투,717,420,97,191,8,5,58,48,407,13,297
,도산면제2투,382,256,39,135,3,2,14,55,248,8,126
녹전면,소계,1609,1121,195,521,19,17,109,231,1092,29,488
,관내사전투표,402,402,82,181,6,2,41,75,387,15,0
,녹전면제1투,758,420,70,176,8,9,32,117,412,8,338
,녹전면제2투,449,299,43,164,5,6,36,39,293,6,150
중구동,소계,5012,3513,864,1551,38,22,156,830,3461,52,1499
,관내사전투표,1816,1816,568,719,17,15,77,395,1791,25,0
,중구동제1투,1086,587,98,283,8,4,28,159,580,7,499
,중구동제2투,816,480,74,255,5,0,20,117,471,9,336
,중구동제3투,1294,630,124,294,8,3,31,159,619,11,664
명륜동,소계,4596,3267,890,1414,23,26,128,757,3238,29,1329
,관내사전투표,1720,1720,533,694,6,13,68,394,1708,12,0
,명륜동제1투,1673,900,206,413,7,7,32,223,888,12,773
