읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당황재선,미래통합당박형수,국가혁명배당금당김형규,무소속장윤석,계,무효투표수,기권수
합계,,15371,11156,1964,6866,124,1988,10942,214,4215
거소·선상투표,,112,91,11,62,4,9,86,5,21
관외사전투표,,818,817,280,407,8,111,806,11,1
국외부재자투표,,27,7,2,5,0,0,7,0,20
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
영양읍,소계,5974,4172,692,2534,44,849,4119,53,1802
,관내사전투표,2125,2124,401,1249,10,435,2095,29,1
,영양읍제1투,1487,802,130,487,17,157,791,11,685
,영양읍제2투,1236,671,90,417,10,149,666,5,565
,영양읍제3투,1126,575,71,381,7,108,567,8,551
입암면,소계,1905,1379,202,909,9,228,1348,31,526
,관내사전투표,804,804,115,527,6,133,781,23,0
,입암면투표소,1101,575,87,382,3,95,567,8,526
청기면,소계,1568,1141,150,716,12,231,1109,32,427
,관내사전투표,530,529,83,342,5,90,520,9,1
,청기면제1투,595,320,36,198,2,73,309,11,275
,청기면제2투,443,292,31,176,5,68,280,12,151
일월면,소계,1622,1177,210,746,21,171,1148,29,445
,관내사전투표,620,620,118,388,8,89,603,17,0
,일월면투표소,1002,557,92,358,13,82,545,12,445
수비면,소계,1469,1047,178,667,10,167,1022,25,422
,관내사전투표,436,436,83,277,4,63,427,9,0
,수비면투표소,1033,611,95,390,6,104,595,16,422
석보면,소계,1876,1324,239,820,16,221,1296,28,552
,관내사전투표,573,573,110,358,6,83,557,16,0
,석보면제1투,960,548,98,329,5,107,539,9,412
,석보면제2투,343,203,31,133,5,31,200,3,140
잘못 투입·구분된 투표지,,0,1,0,0,0,1,1,0,-1
