읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당황재선,미래통합당박형수,국가혁명배당금당김형규,무소속장윤석,계,무효투표수,기권수
합계,,43086,29937,5209,20817,378,2772,29176,761,13149
거소·선상투표,,393,363,28,266,9,31,334,29,30
관외사전투표,,2086,2085,661,1187,22,171,2041,44,1
국외부재자투표,,73,14,8,5,1,0,14,0,59
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
울진읍,소계,10803,7270,1392,4927,73,791,7183,87,3533
,관내사전투표,3219,3218,744,2098,32,313,3187,31,1
,울진읍제1투,1701,856,130,618,12,85,845,11,845
,울진읍제2투,1856,974,193,633,11,124,961,13,882
,울진읍제3투,2332,1285,179,929,9,148,1265,20,1047
,울진읍제4투,1695,937,146,649,9,121,925,12,758
평해읍,소계,2582,1853,175,1472,21,118,1786,67,729
,관내사전투표,1001,1000,103,797,13,52,965,35,1
,평해읍제1투,759,386,43,289,5,34,371,15,373
,평해읍제2투,822,467,29,386,3,32,450,17,355
북면,소계,5753,3927,952,2342,41,528,3863,64,1826
,관내사전투표,1745,1745,513,967,15,226,1721,24,0
,북면제1투,1987,995,182,644,12,137,975,20,992
,북면제2투,539,354,41,266,4,34,345,9,185
,북면제3투,1482,833,216,465,10,131,822,11,649
금강송면,소계,1129,819,133,607,19,42,801,18,310
,관내사전투표,441,441,70,337,9,19,435,6,0
,금강송면제1투,474,213,31,161,7,6,205,8,261
,금강송면제2투,214,165,32,109,3,17,161,4,49
근남면,소계,2481,1776,273,1279,21,136,1709,67,705
,관내사전투표,1005,1005,160,714,13,78,965,40,0
,근남면투표소,1476,771,113,565,8,58,744,27,705
매화면,소계,1912,1350,200,931,19,125,1275,75,562
,관내사전투표,814,812,132,565,11,71,779,33,2
,매화면투표소,1098,538,68,366,8,54,496,42,560
기성면,소계,2218,1569,202,1126,36,138,1502,67,649
,관내사전투표,964,964,136,678,22,82,918,46,0
,기성면투표소,1254,605,66,448,14,56,584,21,649
온정면,소계,1567,1162,105,898,22,96,1121,41,405
,관내사전투표,579,579,57,446,14,44,561,18,0
,온정면투표소,988,583,48,452,8,52,560,23,405
죽변면,소계,5634,3360,501,2490,39,260,3290,70,2274
,관내사전투표,1685,1685,278,1233,17,131,1659,26,0
,죽변면제1투,1654,700,72,542,6,57,677,23,954
,죽변면제2투,2295,975,151,715,16,72,954,21,1320
후포면,소계,6455,4382,576,3283,55,336,4250,132,2073
,관내사전투표,1734,1732,284,1276,12,116,1688,44,2
,후포면제1투,1153,714,51,570,11,56,688,26,439
,후포면제2투,1775,1006,116,755,17,76,964,42,769
,후포면제3투,1793,930,125,682,15,88,910,20,863
잘못 투입·구분된 투표지,,0,7,3,4,0,0,7,0,-7
