읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당허대만,미래통합당김병욱,민중당박승억,국가혁명배당금당박덕춘,무소속박승호,계,무효투표수,기권수
합계,,8608,5904,1711,3454,35,55,578,5833,71,2704
거소·선상투표,,20,20,7,9,1,0,3,20,0,0
관외사전투표,,890,890,294,480,4,9,92,879,11,0
국외부재자투표,,6,1,1,0,0,0,0,1,0,5
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
울릉읍,소계,5379,3292,1003,1846,17,29,358,3253,39,2087
,관내사전투표,1341,1341,503,615,8,9,190,1325,16,0
,울릉읍제1투,1597,744,206,431,4,8,85,734,10,853
,울릉읍제2투,1967,942,213,644,2,11,62,932,10,1025
,울릉읍제3투,474,265,81,156,3,1,21,262,3,209
서면,소계,1156,880,198,575,7,10,77,867,13,276
,관내사전투표,313,313,82,193,3,5,27,310,3,0
,서면제1투,498,326,75,206,3,2,34,320,6,172
,서면제2투,345,241,41,176,1,3,16,237,4,104
북면,소계,1157,821,208,544,6,7,48,813,8,336
,관내사전투표,307,307,99,181,2,2,19,303,4,0
,북면제1투,505,285,59,198,4,5,17,283,2,220
,북면제2투,345,229,50,165,0,0,12,227,2,116
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
