읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당오중기,미래통합당김정재,정의당박창호,국가혁명배당금당박건우,계,무효투표수,기권수
합계,,229712,154613,47924,98905,4558,1290,152677,1936,75099
거소·선상투표,,622,565,168,304,29,12,513,52,57
관외사전투표,,11701,11691,4855,5864,521,157,11397,294,10
국외부재자투표,,507,112,62,46,3,0,111,1,395
국외부재자투표(공관),,0,8,6,1,1,0,8,0,-8
흥해읍,소계,31472,20148,6224,13011,522,146,19903,245,11324
,관내사전투표,4885,4884,1627,3030,137,35,4829,55,1
,흥해읍제1투,1713,857,169,655,12,9,845,12,856
,흥해읍제2투,1437,799,224,535,20,8,787,12,638
,흥해읍제3투,1216,784,131,624,12,6,773,11,432
,흥해읍제4투,1517,884,121,720,15,6,862,22,633
,흥해읍제5투,1275,663,150,488,13,4,655,8,612
,흥해읍제6투,1122,585,117,438,17,8,580,5,537
,흥해읍제7투,1637,929,178,705,23,10,916,13,708
,흥해읍제8투,847,471,57,397,6,1,461,10,376
,흥해읍제9투,2926,1653,478,1077,58,14,1627,26,1273
,흥해읍제10투,1975,1095,308,730,33,9,1080,15,880
,흥해읍제11투,2036,1131,260,823,26,8,1117,14,905
,흥해읍제12투,2669,1675,612,994,43,4,1653,22,994
,흥해읍제13투,3118,1847,846,920,56,12,1834,13,1271
,흥해읍제14투,3099,1891,946,875,51,12,1884,7,1208
신광면,소계,2676,1853,330,1432,38,25,1825,28,823
,관내사전투표,710,710,170,512,15,4,701,9,0
,신광면제1투,844,455,64,362,10,8,444,11,389
,신광면제2투,492,309,44,253,4,4,305,4,183
,신광면제3투,630,379,52,305,9,9,375,4,251
청하면,소계,4561,3145,608,2366,76,39,3089,56,1416
,관내사전투표,1288,1288,335,877,39,13,1264,24,0
,청하면제1투,1646,870,152,672,28,8,860,10,776
,청하면제2투,1145,690,77,580,5,11,673,17,455
,청하면제3투,482,297,44,237,4,7,292,5,185
송라면,소계,2382,1755,269,1397,35,13,1714,41,627
,관내사전투표,975,975,183,736,26,5,950,25,0
,송라면투표소,1407,780,86,661,9,8,764,16,627
기계면,소계,4706,3316,510,2608,107,38,3263,53,1390
,관내사전투표,1652,1652,301,1254,51,16,1622,30,0
,기계면제1투,1881,960,138,763,28,16,945,15,921
,기계면제2투,627,360,35,305,13,2,355,5,267
,기계면제3투,546,344,36,286,15,4,341,3,202
죽장면,소계,2467,1779,225,1465,34,26,1750,29,688
,관내사전투표,960,960,117,800,19,10,946,14,0
,죽장면제1투,1019,474,52,389,7,13,461,13,545
,죽장면제2투,488,345,56,276,8,3,343,2,143
기북면,소계,1239,968,176,732,28,11,947,21,271
,관내사전투표,549,549,112,402,15,5,534,15,0
,기북면투표소,690,419,64,330,13,6,413,6,271
중앙동,소계,14372,9080,2157,6518,192,68,8935,145,5292
,관내사전투표,2809,2800,886,1781,79,20,2766,34,9
,중앙동제1투,1327,636,104,508,6,10,628,8,691
,중앙동제2투,836,455,62,377,4,2,445,10,381
,중앙동제3투,1335,705,141,532,21,3,697,8,630
,중앙동제4투,2632,1328,348,913,29,11,1301,27,1304
,중앙동제5투,2097,1168,178,943,14,10,1145,23,929
,중앙동제6투,1303,643,111,501,9,7,628,15,660
,중앙동제7투,2033,1345,327,963,30,5,1325,20,688
양학동,소계,13833,9137,2824,5896,269,73,9062,75,4696
,관내사전투표,3346,3346,1221,2009,73,24,3327,19,0
,양학동제1투,2275,1248,320,851,50,14,1235,13,1027
,양학동제2투,2713,1448,357,1006,56,15,1434,14,1265
,양학동제3투,3107,1655,548,1023,50,12,1633,22,1452
,양학동제4투,2392,1440,378,1007,40,8,1433,7,952
죽도동,소계,17685,10581,2359,7741,220,104,10424,157,7104
,관내사전투표,2904,2903,794,1977,59,16,2846,57,1
,죽도동제1투,2229,1307,223,1024,26,15,1288,19,922
,죽도동제2투,3838,1664,343,1243,36,17,1639,25,2174
,죽도동제3투,2970,1602,328,1202,33,19,1582,20,1368
,죽도동제4투,2410,1356,276,1036,21,12,1345,11,1054
,죽도동제5투,3334,1749,395,1259,45,25,1724,25,1585
용흥동,소계,18420,12254,3355,8356,333,89,12133,121,6166
,관내사전투표,3503,3503,1164,2170,117,21,3472,31,0
