읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당민형배,민생당노승일,정의당김용재,국가혁명배당금당김홍섭,노동당이병훈,계,무효투표수,기권수
합계,,182793,117137,96808,8606,7110,1241,1407,115172,1965,65656
거소·선상투표,,315,298,228,16,19,8,4,275,23,17
관외사전투표,,14839,14827,12163,1024,936,174,200,14497,330,12
국외부재자투표,,249,65,56,1,1,0,3,61,4,184
국외부재자투표(공관),,0,1,1,0,0,0,0,1,0,-1
비아동,소계,6189,3662,3071,258,189,44,34,3596,66,2527
,관내사전투표,2052,2052,1737,153,103,13,14,2020,32,0
,비아동제1투,1686,689,545,64,39,15,9,672,17,997
,비아동제2투,2451,921,789,41,47,16,11,904,17,1530
첨단1동,소계,20027,13254,10754,1062,876,162,180,13034,220,6773
,관내사전투표,5543,5543,4566,458,330,46,65,5465,78,0
,첨단1동제1투,3168,1860,1490,149,129,22,24,1814,46,1308
,첨단1동제2투,2896,1692,1343,137,130,25,28,1663,29,1204
,첨단1동제3투,3516,1932,1541,158,137,36,27,1899,33,1584
,첨단1동제4투,2627,1397,1125,114,90,24,23,1376,21,1230
,첨단1동제5투,2277,830,689,46,60,9,13,817,13,1447
첨단2동,소계,31906,18897,15555,1491,1112,205,216,18579,318,13009
,관내사전투표,5045,5044,4265,359,273,37,38,4972,72,1
,첨단2동제1투,1674,702,558,64,44,8,12,686,16,972
,첨단2동제2투,2935,1287,1029,110,88,16,20,1263,24,1648
,첨단2동제3투,2453,1137,904,104,60,17,24,1109,28,1316
,첨단2동제4투,2410,1214,1009,74,69,18,20,1190,24,1196
,첨단2동제5투,3344,2037,1701,144,121,21,22,2009,28,1307
,첨단2동제6투,2419,1540,1285,111,84,16,16,1512,28,879
,첨단2동제7투,3233,1915,1603,157,92,20,16,1888,27,1318
,첨단2동제8투,2166,824,637,98,48,22,7,812,12,1342
,첨단2동제9투,2656,1571,1272,121,122,12,21,1548,23,1085
,첨단2동제10투,3571,1626,1292,149,111,18,20,1590,36,1945
신가동,소계,15634,9455,7965,590,517,97,109,9278,177,6179
,관내사전투표,3297,3297,2760,222,182,37,25,3226,71,0
,신가동제1투,1312,487,388,38,29,8,7,470,17,825
,신가동제2투,2834,1556,1323,82,88,16,24,1533,23,1278
,신가동제3투,732,312,237,32,20,5,6,300,12,420
,신가동제4투,3147,1525,1319,86,71,12,18,1506,19,1622
,신가동제5투,4312,2278,1938,130,127,19,29,2243,35,2034
신창동,소계,25039,15273,12831,1057,836,131,191,15046,227,9766
,관내사전투표,6551,6551,5543,481,339,47,75,6485,66,0
,신창동제1투,965,415,319,49,21,9,1,399,16,550
,신창동제2투,3711,1893,1603,107,106,16,23,1855,38,1818
,신창동제3투,1627,806,662,72,39,8,15,796,10,821
,신창동제4투,3471,1380,1160,87,72,12,18,1349,31,2091
,신창동제5투,3202,1269,1040,101,71,17,14,1243,26,1933
,신창동제6투,2534,1520,1305,86,82,14,16,1503,17,1014
,신창동제7투,2978,1439,1199,74,106,8,29,1416,23,1539
수완동,소계,50406,30403,25136,2128,2035,320,340,29959,444,20003
,관내사전투표,8270,8270,6924,527,588,49,84,8172,98,0
,수완동제1투,3129,1992,1646,130,147,17,27,1967,25,1137
,수완동제2투,3295,1890,1592,133,107,23,13,1868,22,1405
,수완동제3투,2472,1271,1087,92,53,11,10,1253,18,1201
,수완동제4투,4680,2311,1862,181,165,33,34,2275,36,2369
,수완동제5투,2982,1662,1323,135,129,17,16,1620,42,1320
,수완동제6투,3790,2125,1788,152,114,20,23,2097,28,1665
,수완동제7투,4095,1785,1542,78,95,21,28,1764,21,2310
,수완동제8투,3495,1887,1506,163,135,24,18,1846,41,1608
,수완동제9투,3558,1653,1278,143,127,48,20,1616,37,1905
,수완동제10투,2458,1272,1000,118,104,21,10,1253,19,1186
,수완동제11투,2912,1617,1350,106,101,16,25,1598,19,1295
,수완동제12투,2666,1329,1118,87,80,7,15,1307,22,1337
,수완동제13투,2604,1339,1120,83,90,13,17,1323,16,1265
하남동,소계,16253,9780,8146,793,519,89,109,9656,124,6473
,관내사전투표,3808,3808,3183,320,188,32,49,3772,36,0
,하남동제1투,4069,1759,1429,163,96,23,23,1734,25,2310
,하남동제2투,556,249,198,34,10,4,1,247,2,307
,하남동제3투,4104,1989,1711,136,95,16,12,1970,19,2115
,하남동제4투,3716,1975,1625,140,130,14,24,1933,42,1741
임곡동,소계,1936,1219,900,186,70,11,21,1188,31,717
,관내사전투표,669,669,497,101,32,7,17,654,15,0
,임곡동제1투,650,288,211,44,24,1,1,281,7,362
,임곡동제2투,617,262,192,41,14,3,3,253,9,355
잘못 투입·구분된 투표지,,0,3,2,0,0,0,0,2,1,-3
