읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당양향자,민생당천정배,정의당유종천,국가혁명배당금당황윤,무소속정광선,계,무효투표수,기권수
합계,,121208,81972,61279,15754,2467,420,891,80811,1161,39236
거소·선상투표,,295,282,170,81,10,5,8,274,8,13
관외사전투표,,10772,10770,8123,1763,397,74,221,10578,192,2
국외부재자투표,,240,52,45,5,1,0,1,52,0,188
국외부재자투표(공관),,0,1,1,0,0,0,0,1,0,-1
상무2동,소계,19307,10914,8277,1962,287,61,110,10697,217,8393
,관내사전투표,4174,4174,3285,678,90,21,30,4104,70,0
,상무2동제1투,2730,1345,984,272,33,11,14,1314,31,1385
,상무2동제2투,2173,943,705,177,16,7,8,913,30,1230
,상무2동제3투,3155,1535,1092,343,49,9,18,1511,24,1620
,상무2동제4투,3079,1219,912,213,45,6,15,1191,28,1860
,상무2동제5투,3996,1698,1299,279,54,7,25,1664,34,2298
화정3동,소계,7978,4937,3655,1043,103,21,43,4865,72,3041
,관내사전투표,1679,1679,1303,317,30,7,12,1669,10,0
,화정3동제1투,1505,804,587,172,15,7,8,789,15,701
,화정3동제2투,1816,781,567,171,19,4,6,767,14,1035
,화정3동제3투,2978,1673,1198,383,39,3,17,1640,33,1305
화정4동,소계,12783,8761,6282,2039,218,42,72,8653,108,4022
,관내사전투표,4074,4074,3019,886,103,8,18,4034,40,0
,화정4동제1투,1643,820,541,235,12,7,8,803,17,823
,화정4동제2투,1662,978,650,271,28,5,11,965,13,684
,화정4동제3투,1462,856,638,165,23,9,11,846,10,606
,화정4동제4투,1787,1028,725,257,14,9,12,1017,11,759
,화정4동제5투,2155,1005,709,225,38,4,12,988,17,1150
서창동,소계,3850,2399,1764,481,68,12,31,2356,43,1451
,관내사전투표,796,795,582,172,19,3,7,783,12,1
,서창동제1투,1173,500,353,113,16,3,6,491,9,673
,서창동제2투,488,262,195,39,13,1,4,252,10,226
,서창동제3투,1393,842,634,157,20,5,14,830,12,551
금호1동,소계,16321,10573,7744,2199,346,50,92,10431,142,5748
,관내사전투표,4365,4362,3347,801,124,15,26,4313,49,3
,금호1동제1투,2366,1231,833,307,44,4,15,1203,28,1135
,금호1동제2투,2851,1519,1085,327,63,11,16,1502,17,1332
,금호1동제3투,1951,806,582,170,16,4,9,781,25,1145
,금호1동제4투,2962,1637,1191,354,57,7,13,1622,15,1325
,금호1동제5투,1826,1018,706,240,42,9,13,1010,8,808
금호2동,소계,21870,15110,11600,2613,541,51,153,14958,152,6760
,관내사전투표,6851,6851,5452,1087,218,8,40,6805,46,0
,금호2동제1투,3930,1936,1442,355,64,10,37,1908,28,1994
,금호2동제2투,3144,1712,1263,330,64,9,24,1690,22,1432
,금호2동제3투,3202,2033,1555,357,83,9,14,2018,15,1169
,금호2동제4투,2904,1531,1146,270,65,7,24,1512,19,1373
,금호2동제5투,1839,1047,742,214,47,8,14,1025,22,792
풍암동,소계,27792,18168,13613,3568,496,104,160,17941,227,9624
,관내사전투표,7635,7635,5948,1358,189,29,44,7568,67,0
,풍암동제1투,2479,1306,924,298,49,6,10,1287,19,1173
,풍암동제2투,1891,976,745,171,28,10,6,960,16,915
,풍암동제3투,2342,1314,966,290,26,8,16,1306,8,1028
,풍암동제4투,2483,1477,1078,297,37,9,24,1445,32,1006
,풍암동제5투,2149,1182,846,264,42,8,10,1170,12,967
,풍암동제6투,3019,1321,966,268,43,12,10,1299,22,1698
,풍암동제7투,3727,1540,1115,317,46,15,21,1514,26,2187
,풍암동제8투,2067,1417,1025,305,36,7,19,1392,25,650
잘못 투입·구분된 투표지,,0,5,5,0,0,0,0,5,0,-5
