읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이헌태,미래통합당양금희,정의당조명래,우리공화당김정준,국가혁명배당금당장금진,무소속정태옥,계,무효투표수,기권수
합계,,160316,107834,27395,52916,3218,822,703,21160,106214,1620,52482
거소·선상투표,,452,427,143,120,27,10,3,102,405,22,25
관외사전투표,,8973,8962,3340,3642,404,58,91,1213,8748,214,11
국외부재자투표,,325,75,41,22,4,0,0,8,75,0,250
국외부재자투표(공관),,0,3,1,1,0,0,0,1,3,0,-3
고성동,소계,3996,2740,645,1393,52,24,30,553,2697,43,1256
,관내사전투표,1168,1168,375,510,22,4,10,236,1157,11,0
,고성동제1투,1221,644,112,348,17,12,5,134,628,16,577
,고성동제2투,1607,928,158,535,13,8,15,183,912,16,679
칠성동,소계,17685,11403,2951,5377,311,58,67,2498,11262,141,6282
,관내사전투표,2575,2575,778,1072,75,14,7,597,2543,32,0
,칠성동제1투,2946,1479,254,828,18,9,14,331,1454,25,1467
,칠성동제2투,2477,1550,494,656,63,5,11,303,1532,18,927
,칠성동제3투,2223,1163,233,548,23,7,7,327,1145,18,1060
,칠성동제4투,3302,2102,462,1034,53,9,14,512,2084,18,1200
,칠성동제5투,4162,2534,730,1239,79,14,14,428,2504,30,1628
침산1동,소계,4128,2765,506,1558,53,29,21,560,2727,38,1363
,관내사전투표,1310,1310,302,684,27,6,8,263,1290,20,0
,침산1동제1투,1398,706,104,432,13,8,6,134,697,9,692
,침산1동제2투,1420,749,100,442,13,15,7,163,740,9,671
침산2동,소계,14684,10152,3064,4626,344,57,47,1901,10039,113,4532
,관내사전투표,3377,3377,1207,1389,124,17,8,607,3352,25,0
,침산2동제1투,2419,1426,334,719,58,15,12,273,1411,15,993
,침산2동제2투,3003,1627,390,778,34,6,14,379,1601,26,1376
,침산2동제3투,3528,2194,597,1057,67,11,9,425,2166,28,1334
,침산2동제4투,2357,1528,536,683,61,8,4,217,1509,19,829
침산3동,소계,16049,10928,2781,5483,392,84,54,2007,10801,127,5121
,관내사전투표,2951,2951,1000,1321,102,20,12,455,2910,41,0
,침산3동제1투,3093,1700,374,919,49,11,16,312,1681,19,1393
,침산3동제2투,2958,1783,321,990,75,17,8,351,1762,21,1175
,침산3동제3투,3290,2008,467,985,82,10,10,436,1990,18,1282
,침산3동제4투,3757,2486,619,1268,84,26,8,453,2458,28,1271
노원동,소계,10938,7138,1418,4186,152,59,40,1196,7051,87,3800
,관내사전투표,2185,2185,511,1235,36,17,14,352,2165,20,0
,노원동제1투,1472,770,109,461,20,11,2,154,757,13,702
,노원동제2투,1723,865,124,555,19,4,6,144,852,13,858
,노원동제3투,1774,986,127,619,16,15,9,189,975,11,788
,노원동제4투,1270,670,89,448,9,5,5,109,665,5,600
,노원동제5투,2514,1662,458,868,52,7,4,248,1637,25,852
산격1동,소계,8712,5385,918,3108,113,55,35,1037,5266,119,3327
,관내사전투표,1953,1953,373,1085,47,17,9,379,1910,43,0
,산격1동제1투,2343,1239,188,746,23,14,10,244,1225,14,1104
,산격1동제2투,2294,1241,209,711,23,12,9,247,1211,30,1053
,산격1동제3투,2122,952,148,566,20,12,7,167,920,32,1170
