읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이상식,미래통합당이인선,국가혁명배당금당신익수,무소속홍준표,계,무효투표수,기권수
합계,,149960,105066,26111,37165,604,40015,103895,1171,44894
거소·선상투표,,238,217,53,77,4,76,210,7,21
관외사전투표,,9565,9555,3203,2917,72,3213,9405,150,10
국외부재자투표,,466,100,54,24,0,22,100,0,366
국외부재자투표(공관),,0,2,0,2,0,0,2,0,-2
수성1가동,소계,14808,10605,2627,3945,55,3871,10498,107,4203
,관내사전투표,3851,3851,1215,1294,22,1297,3828,23,0
,수성1가동제1투,2465,1634,395,604,10,618,1627,7,831
,수성1가동제2투,3216,1949,406,790,9,718,1923,26,1267
,수성1가동제3투,2649,1660,331,571,4,738,1644,16,989
,수성1가동제4투,2627,1511,280,686,10,500,1476,35,1116
수성2·3가동,소계,9214,6684,1428,2367,29,2798,6622,62,2530
,관내사전투표,2661,2661,730,840,9,1064,2643,18,0
,수성2·3가동제1투,2287,1460,247,530,6,662,1445,15,827
,수성2·3가동제2투,2107,1361,267,485,7,589,1348,13,746
,수성2·3가동제3투,2159,1202,184,512,7,483,1186,16,957
수성4가동,소계,12336,8753,1941,3175,43,3516,8675,78,3583
,관내사전투표,2699,2699,732,946,14,989,2681,18,0
,수성4가동제1투,2884,1734,401,602,13,702,1718,16,1150
,수성4가동제2투,2785,1709,320,684,8,678,1690,19,1076
,수성4가동제3투,1923,1297,231,514,7,530,1282,15,626
,수성4가동제4투,2045,1314,257,429,1,617,1304,10,731
중동,소계,9478,5851,1331,2384,30,2040,5785,66,3627
,관내사전투표,2034,2034,578,726,9,702,2015,19,0
,중동제1투,2215,1059,218,451,8,369,1046,13,1156
,중동제2투,1525,912,197,384,6,317,904,8,613
,중동제3투,2199,1075,200,452,3,405,1060,15,1124
,중동제4투,1505,771,138,371,4,247,760,11,734
상동,소계,13857,9085,1938,3466,55,3515,8974,111,4772
,관내사전투표,2329,2329,684,836,8,780,2308,21,0
,상동제1투,2760,1295,269,478,11,506,1264,31,1465
,상동제2투,3809,2440,397,946,11,1062,2416,24,1369
,상동제3투,2660,1738,311,707,11,688,1717,21,922
,상동제4투,2299,1283,277,499,14,479,1269,14,1016
파동,소계,10686,7271,1766,2757,35,2648,7206,65,3415
,관내사전투표,2531,2530,757,861,9,888,2515,15,1
,파동제1투,2411,1266,219,540,11,479,1249,17,1145
,파동제2투,2853,1846,438,715,7,672,1832,14,1007
,파동제3투,2891,1629,352,641,8,609,1610,19,1262
두산동,소계,12028,7846,1724,2468,40,3540,7772,74,4182
,관내사전투표,2688,2688,750,829,11,1076,2666,22,0
,두산동제1투,2340,1157,240,397,5,498,1140,17,1183
,두산동제2투,2996,1350,308,494,14,520,1336,14,1646
,두산동제3투,4004,2651,426,748,10,1446,2630,21,1353
지산1동,소계,18992,12639,3128,4485,97,4769,12479,160,6353
,관내사전투표,3854,3853,1194,1210,32,1387,3823,30,1
,지산1동제1투,2455,1467,308,519,13,611,1451,16,988
,지산1동제2투,1756,966,215,395,2,334,946,20,790
,지산1동제3투,2006,1109,226,482,16,359,1083,26,897
,지산1동제4투,2742,1718,398,606,8,685,1697,21,1024
,지산1동제5투,3082,1825,401,635,12,760,1808,17,1257
,지산1동제6투,3097,1701,386,638,14,633,1671,30,1396
지산2동,소계,15477,10515,2757,3408,48,4192,10405,110,4962
,관내사전투표,3430,3430,1114,1041,12,1236,3403,27,0
,지산2동제1투,2941,1524,357,520,9,621,1507,17,1417
,지산2동제2투,2798,1845,406,559,5,858,1828,17,953
,지산2동제3투,1532,893,239,268,4,367,878,15,639
,지산2동제4투,2394,1372,294,491,8,552,1345,27,1022
,지산2동제5투,2382,1451,347,529,10,558,1444,7,931
범물1동,소계,10447,7174,1680,2871,52,2477,7080,94,3273
,관내사전투표,2747,2746,776,1053,21,861,2711,35,1
,범물1동제1투,1931,997,184,454,10,328,976,21,934
,범물1동제2투,1275,610,108,298,9,184,599,11,665
,범물1동제3투,2243,1457,314,525,6,597,1442,15,786
,범물1동제4투,2251,1364,298,541,6,507,1352,12,887
범물2동,소계,12368,8761,2481,2815,44,3334,8674,87,3607
,관내사전투표,3009,3009,1045,878,11,1061,2995,14,0
,범물2동제1투,2115,1216,246,396,4,552,1198,18,899
,범물2동제2투,2148,1273,348,423,11,476,1258,15,875
,범물2동제3투,2383,1465,381,494,5,565,1445,20,918
,범물2동제4투,2713,1798,461,624,13,680,1778,20,915
잘못 투입·구분된 투표지,,0,8,0,4,0,4,8,0,-8
