읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이용빈,민생당김동철,정의당나경채,민중당정희성,국가혁명배당금당오종민,계,무효투표수,기권수
합계,,139213,88264,67482,11570,3830,3110,773,86765,1499,50949
거소·선상투표,,237,229,153,37,13,8,5,216,13,8
관외사전투표,,9198,9182,7054,1064,475,267,113,8973,209,16
국외부재자투표,,194,52,45,3,3,0,0,51,1,142
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
송정1동,소계,9126,5642,4235,804,202,259,44,5544,98,3484
,관내사전투표,2501,2501,1918,355,91,85,16,2465,36,0
,송정1동제1투,2311,947,681,149,41,33,14,918,29,1364
,송정1동제2투,1650,744,577,91,22,33,6,729,15,906
,송정1동제3투,2664,1450,1059,209,48,108,8,1432,18,1214
송정2동,소계,6067,3719,2723,651,123,124,45,3666,53,2348
,관내사전투표,1930,1930,1412,347,62,65,19,1905,25,0
,송정2동제1투,1298,479,360,74,14,15,10,473,6,819
,송정2동제2투,1228,470,319,98,21,14,9,461,9,758
,송정2동제3투,1611,840,632,132,26,30,7,827,13,771
도산동,소계,12361,7664,5735,1147,266,358,46,7552,112,4697
,관내사전투표,3705,3705,2824,536,135,156,11,3662,43,0
,도산동제1투,2203,951,701,135,37,54,6,933,18,1252
,도산동제2투,3409,1439,1081,221,55,43,11,1411,28,1970
,도산동제3투,3044,1569,1129,255,39,105,18,1546,23,1475
신흥동,소계,3974,2444,1831,396,95,60,18,2400,44,1530
,관내사전투표,1260,1260,959,195,49,29,5,1237,23,0
,신흥동제1투,1180,476,365,61,16,16,6,464,12,704
,신흥동제2투,1534,708,507,140,30,15,7,699,9,826
어룡동,소계,22842,13468,10164,1949,587,445,111,13256,212,9374
,관내사전투표,4599,4598,3527,643,199,144,27,4540,58,1
,어룡동제1투,3313,1535,1143,217,61,62,17,1500,35,1778
,어룡동제2투,2238,1056,778,170,51,34,6,1039,17,1182
,어룡동제3투,1843,965,735,134,44,23,10,946,19,878
,어룡동제4투,1891,708,508,116,30,25,14,693,15,1183
,어룡동제5투,3034,1540,1201,207,49,53,9,1519,21,1494
,어룡동제6투,2863,1521,1122,234,69,57,12,1494,27,1342
,어룡동제7투,3061,1545,1150,228,84,47,16,1525,20,1516
우산동,소계,20068,11338,8791,1423,482,324,115,11135,203,8730
,관내사전투표,3895,3895,3059,470,172,112,30,3843,52,0
,우산동제1투,3378,1453,1076,228,68,36,17,1425,28,1925
,우산동제2투,987,468,317,102,14,19,4,456,12,519
,우산동제3투,3488,1584,1265,163,47,51,21,1547,37,1904
,우산동제4투,2733,1306,1037,141,60,35,14,1287,19,1427
,우산동제5투,1604,933,718,107,58,29,6,918,15,671
,우산동제6투,1603,680,518,97,31,15,7,668,12,923
,우산동제7투,2380,1019,801,115,32,27,16,991,28,1361
월곡1동,소계,10157,6269,4845,762,298,230,50,6185,84,3888
,관내사전투표,2697,2697,2163,292,107,97,12,2671,26,0
,월곡1동제1투,1521,587,421,91,24,27,10,573,14,934
,월곡1동제2투,1163,466,347,62,23,13,10,455,11,697
,월곡1동제3투,2590,1541,1185,187,100,48,8,1528,13,1049
,월곡1동제4투,2186,978,729,130,44,45,10,958,20,1208
월곡2동,소계,12083,7243,5688,846,335,229,39,7137,106,4840
,관내사전투표,2461,2461,1968,284,104,60,11,2427,34,0
,월곡2동제1투,1612,604,464,74,25,24,4,591,13,1008
,월곡2동제2투,1516,641,505,84,23,12,6,630,11,875
,월곡2동제3투,2284,1067,843,127,44,36,3,1053,14,1217
,월곡2동제4투,2189,1279,978,140,76,56,8,1258,21,910
,월곡2동제5투,2021,1191,930,137,63,41,7,1178,13,830
운남동,소계,23663,15246,12134,1485,767,574,89,15049,197,8417
,관내사전투표,5127,5127,4172,472,224,192,20,5080,47,0
,운남동제1투,1980,976,779,97,46,39,5,966,10,1004
,운남동제2투,2781,1501,1177,163,55,77,9,1481,20,1280
,운남동제3투,3251,1540,1222,150,87,48,6,1513,27,1711
,운남동제4투,2297,1315,1080,118,62,28,13,1301,14,982
,운남동제5투,1937,1149,882,126,73,36,11,1128,21,788
,운남동제6투,2174,1447,1112,161,96,44,14,1427,20,727
,운남동제7투,2171,1078,843,100,53,58,5,1059,19,1093
,운남동제8투,1945,1113,867,98,71,52,6,1094,19,832
동곡동,소계,1864,1244,907,215,44,33,24,1223,21,620
,관내사전투표,660,660,480,101,27,19,17,644,16,0
,동곡동투표소,1204,584,427,114,17,14,7,579,5,620
평동,소계,3642,2179,1651,300,64,98,18,2131,48,1463
,관내사전투표,1128,1128,879,142,34,44,6,1105,23,0
,평동제1투,1467,534,394,88,17,18,8,525,9,933
,평동제2투,1047,517,378,70,13,36,4,501,16,530
삼도동,소계,1961,1241,794,290,33,55,17,1189,52,720
,관내사전투표,644,644,412,148,21,22,8,611,33,0
,삼도동제1투,774,307,185,83,10,17,5,300,7,467
,삼도동제2투,543,290,197,59,2,16,4,278,12,253
본량동,소계,1776,1103,731,198,43,46,39,1057,46,673
,관내사전투표,467,467,308,86,19,25,11,449,18,0
,본량동제1투,912,462,314,67,17,16,27,441,21,450
,본량동제2투,397,174,109,45,7,5,1,167,7,223
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,1,0,-1
