읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박영순,미래통합당정용기,국가혁명배당금당강휘찬,무소속김근식,무소속김낙천,계,무효투표수,기권수
합계,,151336,97617,47652,44617,792,2913,496,96470,1147,53719
거소·선상투표,,313,298,139,126,3,14,5,287,11,15
관외사전투표,,8702,8697,5015,3039,105,223,113,8495,202,5
국외부재자투표,,274,63,45,17,0,0,0,62,1,211
국외부재자투표(공관),,0,6,5,1,0,0,0,6,0,-6
오정동,소계,12575,7455,3357,3807,79,104,32,7379,76,5120
,관내사전투표,2154,2154,1137,930,23,39,5,2134,20,0
,오정동제1투,1839,973,383,550,12,11,5,961,12,866
,오정동제2투,1085,519,223,271,4,9,5,512,7,566
,오정동제3투,1738,705,323,346,8,11,6,694,11,1033
,오정동제4투,1719,781,319,427,10,13,4,773,8,938
,오정동제5투,2399,1505,625,844,11,10,4,1494,11,894
,오정동제6투,1641,818,347,439,11,11,3,811,7,823
대화동,소계,6532,3862,1677,1919,60,67,34,3757,105,2670
,관내사전투표,1489,1489,691,705,14,30,7,1447,42,0
,대화동제1투,1634,703,268,336,23,17,17,661,42,931
,대화동제2투,1289,620,269,331,7,4,4,615,5,669
,대화동제3투,2120,1050,449,547,16,16,6,1034,16,1070
회덕동,소계,11480,7294,3347,3648,49,165,22,7231,63,4186
,관내사전투표,1975,1975,1031,874,9,38,7,1959,16,0
,회덕동제1투,2386,1472,706,711,8,34,5,1464,8,914
,회덕동제2투,2104,1101,465,582,8,27,2,1084,17,1003
,회덕동제3투,1880,823,385,394,7,25,3,814,9,1057
,회덕동제4투,2635,1607,664,873,15,38,5,1595,12,1028
,회덕동제5투,500,316,96,214,2,3,0,315,1,184
비래동,소계,13637,8421,4060,3909,56,271,47,8343,78,5216
,관내사전투표,2642,2641,1497,1007,19,85,16,2624,17,1
,비래동제1투,2243,1130,455,614,7,36,7,1119,11,1113
,비래동제2투,2111,1135,514,547,9,47,5,1122,13,976
,비래동제3투,2068,1011,456,498,6,36,4,1000,11,1057
,비래동제4투,2435,1295,580,655,10,29,7,1281,14,1140
,비래동제5투,2138,1209,558,588,5,38,8,1197,12,929
송촌동,소계,21671,14273,7433,5895,85,685,59,14157,116,7398
,관내사전투표,4738,4738,2846,1641,20,188,14,4709,29,0
,송촌동제1투,2817,1793,883,765,12,114,7,1781,12,1024
,송촌동제2투,2799,1517,733,664,12,89,8,1506,11,1282
,송촌동제3투,2776,1659,869,668,5,88,9,1639,20,1117
,송촌동제4투,3058,1816,962,744,4,89,2,1801,15,1242
,송촌동제5투,2750,1367,539,728,13,63,10,1353,14,1383
,송촌동제6투,2733,1383,601,685,19,54,9,1368,15,1350
중리동,소계,16354,9373,4357,4557,74,254,30,9272,101,6981
,관내사전투표,2637,2637,1419,1101,16,69,5,2610,27,0
,중리동제1투,1939,955,405,509,5,25,2,946,9,984
,중리동제2투,1553,766,342,380,9,22,1,754,12,787
,중리동제3투,2159,1038,508,478,7,29,9,1031,7,1121
,중리동제4투,2230,1235,526,665,11,22,2,1226,9,995
,중리동제5투,2100,915,424,435,13,27,3,902,13,1185
,중리동제6투,1972,915,356,524,6,16,2,904,11,1057
,중리동제7투,1764,912,377,465,7,44,6,899,13,852
법1동,소계,8327,5430,2575,2528,48,187,21,5359,71,2897
,관내사전투표,2295,2295,1225,964,12,65,2,2268,27,0
,법1동제1투,1989,970,470,438,12,29,6,955,15,1019
,법1동제2투,2476,1376,587,685,10,70,7,1359,17,1100
,법1동제3투,1567,789,293,441,14,23,6,777,12,778
법2동,소계,13778,9530,4339,4558,61,458,32,9448,82,4248
,관내사전투표,3234,3234,1642,1423,18,124,11,3218,16,0
,법2동제1투,1901,1055,398,564,21,45,4,1032,23,846
,법2동제2투,2850,1783,728,955,6,82,3,1774,9,1067
,법2동제3투,3042,1806,800,842,7,136,7,1792,14,1236
,법2동제4투,661,293,97,182,0,11,0,290,3,368
,법2동제5투,2090,1359,674,592,9,60,7,1342,17,731
신탄진동,소계,9806,6142,2801,3023,54,180,27,6085,57,3664
,관내사전투표,2468,2468,1272,1102,17,52,4,2447,21,0
,신탄진동제1투,2125,894,364,483,7,26,7,887,7,1231
,신탄진동제2투,2293,1321,566,675,17,45,8,1311,10,972
,신탄진동제3투,2501,1220,516,620,12,53,7,1208,12,1281
,신탄진동제4투,419,239,83,143,1,4,1,232,7,180
석봉동,소계,10740,6651,3357,3020,39,151,25,6592,59,4089
,관내사전투표,2348,2348,1305,964,12,41,6,2328,20,0
,석봉동제1투,2102,902,418,440,4,29,5,896,6,1200
,석봉동제2투,2479,1146,510,585,7,26,8,1136,10,1333
,석봉동제3투,3811,2255,1124,1031,16,55,6,2232,23,1556
덕암동,소계,11465,6800,3341,3192,53,96,35,6717,83,4665
,관내사전투표,2519,2519,1402,1039,10,36,13,2500,19,0
,덕암동제1투,2495,1026,485,484,12,26,5,1012,14,1469
,덕암동제2투,3025,1493,699,742,14,16,7,1478,15,1532
,덕암동제3투,2721,1327,554,710,13,14,7,1298,29,1394
,덕암동제4투,705,435,201,217,4,4,3,429,6,270
목상동,소계,5682,3321,1803,1378,26,58,14,3279,42,2361
,관내사전투표,1473,1473,863,559,5,27,3,1457,16,0
,목상동제1투,2161,840,420,380,11,14,5,830,10,1321
,목상동제2투,2048,1008,520,439,10,17,6,992,16,1040
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,1,0,-1
