읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당장철민,미래통합당이장우,국가혁명배당금당송인경,계,무효투표수,기권수
합계,,193872,121792,61345,57194,1709,120248,1544,72080
거소·선상투표,,384,367,174,155,18,347,20,17
관외사전투표,,11187,11179,6935,3803,205,10943,236,8
국외부재자투표,,392,85,63,21,1,85,0,307
국외부재자투표(공관),,0,5,2,3,0,5,0,-5
중앙동,소계,5055,3018,1276,1657,51,2984,34,2037
,관내사전투표,1419,1419,741,640,17,1398,21,0
,중앙동제1투,1575,728,267,444,10,721,7,847
,중앙동제2투,2061,871,268,573,24,865,6,1190
신인동,소계,11323,7571,3742,3664,94,7500,71,3752
,관내사전투표,3328,3328,1854,1415,33,3302,26,0
,신인동제1투,2280,1124,486,606,19,1111,13,1156
,신인동제2투,2461,1259,548,687,13,1248,11,1202
,신인동제3투,2107,1219,502,676,24,1202,17,888
,신인동제4투,1147,641,352,280,5,637,4,506
효동,소계,18798,11507,6226,5050,141,11417,90,7291
,관내사전투표,3588,3588,2298,1245,30,3573,15,0
,효동제1투,2326,1247,450,768,20,1238,9,1079
,효동제2투,2793,1496,715,754,12,1481,15,1297
,효동제3투,3507,1563,782,730,32,1544,19,1944
,효동제4투,3635,1905,1061,799,23,1883,22,1730
,효동제5투,2949,1708,920,754,24,1698,10,1241
판암1동,소계,10054,6311,3190,2964,83,6237,74,3743
,관내사전투표,2346,2346,1310,999,20,2329,17,0
,판암1동제1투,2150,1120,472,609,19,1100,20,1030
,판암1동제2투,3006,1509,716,748,22,1486,23,1497
,판암1동제3투,2552,1336,692,608,22,1322,14,1216
판암2동,소계,8462,5337,2492,2670,90,5252,85,3125
,관내사전투표,2506,2505,1310,1136,31,2477,28,1
,판암2동제1투,1616,738,296,413,12,721,17,878
,판암2동제2투,1881,920,372,493,29,894,26,961
,판암2동제3투,2459,1174,514,628,18,1160,14,1285
용운동,소계,13344,8192,3949,4063,104,8116,76,5152
,관내사전투표,2963,2962,1591,1324,31,2946,16,1
,용운동제1투,1913,833,358,454,11,823,10,1080
,용운동제2투,2309,1053,422,599,20,1041,12,1256
,용운동제3투,3250,1715,795,885,15,1695,20,1535
,용운동제4투,2909,1629,783,801,27,1611,18,1280
대동,소계,11510,7123,3426,3540,86,7052,71,4387
,관내사전투표,2455,2455,1324,1094,20,2438,17,0
,대동제1투,2672,1239,577,637,15,1229,10,1433
,대동제2투,1806,828,326,466,16,808,20,978
,대동제3투,2517,1363,519,804,23,1346,17,1154
,대동제4투,2060,1238,680,539,12,1231,7,822
자양동,소계,9274,5331,2621,2530,75,5226,105,3943
,관내사전투표,2251,2251,1240,957,23,2220,31,0
,자양동제1투,2196,844,419,391,13,823,21,1352
,자양동제2투,2464,1023,460,517,21,998,25,1441
,자양동제3투,2363,1213,502,665,18,1185,28,1150
가양1동,소계,11763,7146,3313,3663,77,7053,93,4617
,관내사전투표,2857,2857,1471,1328,24,2823,34,0
,가양1동제1투,1989,912,404,489,14,907,5,1077
,가양1동제2투,1375,610,229,371,8,608,2,765
,가양1동제3투,3237,1604,735,823,20,1578,26,1633
,가양1동제4투,2305,1163,474,652,11,1137,26,1142
가양2동,소계,15595,8932,4427,4254,124,8805,127,6663
,관내사전투표,3152,3151,1736,1345,31,3112,39,1
,가양2동제1투,3025,1577,739,797,28,1564,13,1448
,가양2동제2투,1980,876,416,426,13,855,21,1104
,가양2동제3투,2446,1082,509,544,14,1067,15,1364
,가양2동제4투,2748,1328,627,660,16,1303,25,1420
,가양2동제5투,2244,918,400,482,22,904,14,1326
용전동,소계,17205,9431,4831,4331,144,9306,125,7774
,관내사전투표,3200,3200,1902,1228,38,3168,32,0
,용전동제1투,3252,1571,743,785,24,1552,19,1681
,용전동제2투,3399,1496,709,739,25,1473,23,1903
,용전동제3투,4100,1579,743,776,29,1548,31,2521
,용전동제4투,3254,1585,734,803,28,1565,20,1669
성남동,소계,10323,6561,3205,3205,79,6489,72,3762
,관내사전투표,2662,2662,1405,1213,22,2640,22,0
,성남동제1투,2988,1500,701,760,23,1484,16,1488
,성남동제2투,1921,1002,455,514,15,984,18,919
,성남동제3투,2752,1397,644,718,19,1381,16,1355
홍도동,소계,9410,5460,2678,2642,88,5408,52,3950
,관내사전투표,2102,2102,1172,888,23,2083,19,0
,홍도동제1투,1641,864,372,469,17,858,6,777
,홍도동제2투,2556,1267,599,636,23,1258,9,1289
,홍도동제3투,3111,1227,535,649,25,1209,18,1884
삼성동,소계,11879,7310,3479,3646,97,7222,88,4569
,관내사전투표,2524,2524,1366,1101,23,2490,34,0
,삼성동제1투,1480,826,317,493,12,822,4,654
,삼성동제2투,1766,865,368,479,9,856,9,901
,삼성동제3투,3150,1737,809,877,30,1716,21,1413
,삼성동제4투,2959,1358,619,696,23,1338,20,1601
대청동,소계,2203,1433,485,906,22,1413,20,770
,관내사전투표,557,557,235,311,5,551,6,0
,대청동제1투,827,459,132,311,9,452,7,368
,대청동제2투,819,417,118,284,8,410,7,402
산내동,소계,15711,9490,4830,4425,130,9385,105,6221
,관내사전투표,3071,3071,1807,1212,29,3048,23,0
,산내동제1투,3744,1691,873,770,30,1673,18,2053
,산내동제2투,809,399,160,221,3,384,15,410
,산내동제3투,2858,1654,854,779,12,1645,9,1204
,산내동제4투,1994,1093,473,582,24,1079,14,901
,산내동제5투,862,441,145,279,9,433,8,421
,산내동제6투,2373,1141,518,582,23,1123,18,1232
잘못 투입·구분된 투표지,,0,3,1,2,0,3,0,-3
