읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤영덕,민생당장병완,국가혁명배당금당한기선,기독자유통일당이안숙,계,무효투표수,기권수
합계,,139730,94110,71626,19112,740,1255,92733,1377,45620
거소·선상투표,,475,452,281,104,21,16,422,30,23
관외사전투표,,13186,13169,10369,2334,139,110,12952,217,17
국외부재자투표,,323,75,67,7,1,0,75,0,248
국외부재자투표(공관),,0,3,3,0,0,0,3,0,-3
봉선1동,소계,12244,7656,5913,1422,69,134,7538,118,4588
,관내사전투표,3800,3800,3002,680,32,41,3755,45,0
,봉선1동제1투,1763,772,586,147,8,15,756,16,991
,봉선1동제2투,1758,851,639,157,12,27,835,16,907
,봉선1동제3투,2430,1171,866,251,9,25,1151,20,1259
,봉선1동제4투,2493,1062,820,187,8,26,1041,21,1431
봉선2동,소계,20042,13412,9369,3479,84,292,13224,188,6630
,관내사전투표,5259,5259,3890,1209,27,66,5192,67,0
,봉선2동제1투,3223,1722,1164,473,11,44,1692,30,1501
,봉선2동제2투,2158,973,705,222,8,29,964,9,1185
,봉선2동제3투,2678,1597,1163,368,12,30,1573,24,1081
,봉선2동제4투,3579,2037,1383,553,15,60,2011,26,1542
,봉선2동제5투,3145,1824,1064,654,11,63,1792,32,1321
월산동,소계,6475,3760,2958,662,35,42,3697,63,2715
,관내사전투표,1545,1545,1225,275,13,3,1516,29,0
,월산동제1투,966,408,319,68,6,5,398,10,558
,월산동제2투,1274,558,409,121,1,17,548,10,716
,월산동제3투,1219,477,382,78,4,5,469,8,742
,월산동제4투,1471,772,623,120,11,12,766,6,699
월산4동,소계,7346,4187,3378,653,40,59,4130,57,3159
,관내사전투표,1768,1768,1450,265,15,18,1748,20,0
,월산4동제1투,2045,800,616,146,6,19,787,13,1245
,월산4동제2투,1670,709,560,113,8,14,695,14,961
,월산4동제3투,1863,910,752,129,11,8,900,10,953
월산5동,소계,5929,3563,2801,632,34,34,3501,62,2366
,관내사전투표,1831,1831,1448,328,13,10,1799,32,0
,월산5동제1투,2117,841,641,157,14,12,824,17,1276
,월산5동제2투,1981,891,712,147,7,12,878,13,1090
주월1동,소계,15164,9628,7475,1832,61,147,9515,113,5536
,관내사전투표,4466,4466,3587,783,21,39,4430,36,0
,주월1동제1투,2496,1172,890,232,6,24,1152,20,1324
,주월1동제2투,2574,1157,877,221,10,32,1140,17,1417
,주월1동제3투,2553,1167,886,228,10,23,1147,20,1386
,주월1동제4투,3075,1666,1235,368,14,29,1646,20,1409
주월2동,소계,7022,4382,3490,735,39,43,4307,75,2640
,관내사전투표,2134,2134,1737,342,15,13,2107,27,0
,주월2동제1투,1288,501,384,88,4,13,489,12,787
,주월2동제2투,1670,794,631,126,10,8,775,19,876
,주월2동제3투,1930,953,738,179,10,9,936,17,977
효덕동,소계,33799,22313,16904,4669,145,300,22018,295,11486
,관내사전투표,8245,8244,6480,1569,34,69,8152,92,1
,효덕동제1투,2908,1394,997,353,9,22,1381,13,1514
,효덕동제2투,2661,1300,983,279,7,18,1287,13,1361
,효덕동제3투,2863,1784,1211,509,17,24,1761,23,1079
,효덕동제4투,2604,1571,1091,390,14,41,1536,35,1033
,효덕동제5투,2863,1536,1168,312,6,28,1514,22,1327
,효덕동제6투,2112,1247,972,234,9,19,1234,13,865
,효덕동제7투,2824,1486,1186,229,23,19,1457,29,1338
,효덕동제8투,3148,1870,1344,450,15,29,1838,32,1278
,효덕동제9투,3571,1881,1472,344,11,31,1858,23,1690
송암동,소계,12973,8446,6592,1648,51,60,8351,95,4527
,관내사전투표,2696,2695,2174,477,12,11,2674,21,1
,송암동제1투,864,328,237,77,1,5,320,8,536
,송암동제2투,2002,1137,831,267,9,12,1119,18,865
,송암동제3투,2724,1550,1199,303,13,13,1528,22,1174
,송암동제4투,2289,1382,1087,262,8,9,1366,16,907
,송암동제5투,2398,1354,1064,262,8,10,1344,10,1044
대촌동,소계,4752,3063,2025,935,21,18,2999,64,1689
,관내사전투표,1435,1435,956,452,7,1,1416,19,0
,대촌동제1투,1480,672,466,175,9,8,658,14,808
,대촌동제2투,646,284,193,76,2,3,274,10,362
,대촌동제3투,1191,672,410,232,3,6,651,21,519
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
