읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박병석,미래통합당이영규,국가혁명배당금당김순자,충청의미래당이강철,계,무효투표수,기권수
합계,,213330,136521,74978,57720,1034,1148,134880,1641,76809
거소·선상투표,,415,397,227,133,7,11,378,19,18
관외사전투표,,14820,14803,9715,4559,116,180,14570,233,17
국외부재자투표,,427,107,82,23,0,1,106,1,320
국외부재자투표(공관),,0,9,2,7,0,0,9,0,-9
복수동,소계,16739,10656,5985,4427,68,61,10541,115,6083
,관내사전투표,3828,3824,2446,1314,20,14,3794,30,4
,복수동제1투,3310,1890,907,934,13,7,1861,29,1420
,복수동제2투,3540,1976,995,913,19,13,1940,36,1564
,복수동제3투,2765,1587,859,699,7,13,1578,9,1178
,복수동제4투,3296,1379,778,567,9,14,1368,11,1917
도마1동,소계,12855,7379,3246,3842,76,77,7241,138,5476
,관내사전투표,2689,2682,1307,1282,25,19,2633,49,7
,도마1동제1투,1870,841,332,475,12,12,831,10,1029
,도마1동제2투,1695,906,374,497,9,15,895,11,789
,도마1동제3투,1629,753,286,439,6,4,735,18,876
,도마1동제4투,2358,1017,432,530,10,16,988,29,1341
,도마1동제5투,2614,1180,515,619,14,11,1159,21,1434
도마2동,소계,15452,9244,4259,4683,89,78,9109,135,6208
,관내사전투표,2809,2806,1540,1201,24,17,2782,24,3
,도마2동제1투,2527,1085,473,561,14,15,1063,22,1442
,도마2동제2투,2308,1110,442,626,12,9,1089,21,1198
,도마2동제3투,1965,834,314,487,11,4,816,18,1131
,도마2동제4투,2908,1498,667,778,14,11,1470,28,1410
,도마2동제5투,2935,1911,823,1030,14,22,1889,22,1024
정림동,소계,13905,8989,4777,3960,54,52,8843,146,4916
,관내사전투표,3574,3567,2089,1388,22,20,3519,48,7
,정림동제1투,2164,1106,535,526,6,6,1073,33,1058
,정림동제2투,1999,1156,582,545,9,8,1144,12,843
,정림동제3투,1846,911,408,455,9,9,881,30,935
,정림동제4투,2037,993,485,482,7,6,980,13,1044
,정림동제5투,2285,1256,678,564,1,3,1246,10,1029
변동,소계,13380,7437,3495,3659,89,101,7344,93,5943
,관내사전투표,2381,2381,1300,1010,18,26,2354,27,0
,변동제1투,2339,995,433,525,11,12,981,14,1344
,변동제2투,4172,1961,905,965,24,36,1930,31,2211
,변동제3투,1957,880,367,482,10,12,871,9,1077
,변동제4투,2531,1220,490,677,26,15,1208,12,1311
괴정동,소계,15728,7663,4191,3176,99,97,7563,100,8065
,관내사전투표,2281,2280,1407,822,13,20,2262,18,1
,괴정동제1투,3644,1435,706,657,31,26,1420,15,2209
,괴정동제2투,3837,1417,740,600,29,21,1390,27,2420
,괴정동제3투,3267,1260,659,552,17,11,1239,21,2007
,괴정동제4투,2699,1271,679,545,9,19,1252,19,1428
가장동,소계,9804,6237,2917,3135,50,65,6167,70,3567
,관내사전투표,1605,1604,853,717,9,10,1589,15,1
,가장동제1투,1271,550,229,301,9,3,542,8,721
,가장동제2투,2001,964,445,472,16,24,957,7,1037
,가장동제3투,2758,1791,817,931,6,16,1770,21,967
,가장동제4투,2169,1328,573,714,10,12,1309,19,841
내동,소계,18371,11734,5956,5506,79,86,11627,107,6637
,관내사전투표,3528,3527,2102,1357,20,19,3498,29,1
,내동제1투,2253,1155,550,572,12,12,1146,9,1098
,내동제2투,2410,1091,466,587,8,17,1078,13,1319
,내동제3투,3781,1961,886,1016,20,17,1939,22,1820
,내동제4투,3218,2178,1028,1113,12,8,2161,17,1040
,내동제5투,3181,1822,924,861,7,13,1805,17,1359
가수원동,소계,28485,18070,10165,7551,100,115,17931,139,10415
,관내사전투표,4197,4196,2542,1576,21,19,4158,38,1
,가수원동제1투,2165,1089,513,543,12,11,1079,10,1076
,가수원동제2투,2450,1294,521,734,8,13,1276,18,1156
,가수원동제3투,2635,1341,622,663,21,17,1323,18,1294
,가수원동제4투,3318,1895,1146,713,8,11,1878,17,1423
,가수원동제5투,3212,1968,1122,819,8,12,1961,7,1244
,가수원동제6투,2062,1343,834,491,4,9,1338,5,719
,가수원동제7투,3798,2372,1371,973,5,11,2360,12,1426
,가수원동제8투,4648,2572,1494,1039,13,12,2558,14,2076
관저1동,소계,12872,8542,4875,3484,53,57,8469,73,4330
,관내사전투표,3592,3592,2240,1277,20,23,3560,32,0
,관저1동제1투,3444,1567,911,612,18,14,1555,12,1877
,관저1동제2투,2069,1281,583,673,4,7,1267,14,788
,관저1동제3투,3767,2102,1141,922,11,13,2087,15,1665
관저2동,소계,36500,22993,14170,8378,113,140,22801,192,13507
,관내사전투표,7101,7101,4734,2266,31,28,7059,42,0
,관저2동제1투,2062,1135,513,598,7,8,1126,9,927
,관저2동제2투,3660,2162,1326,783,9,19,2137,25,1498
,관저2동제3투,3169,1668,1011,624,4,12,1651,17,1501
,관저2동제4투,3607,2012,1174,783,13,14,1984,28,1595
,관저2동제5투,3511,2034,1127,868,14,9,2018,16,1477
,관저2동제6투,3184,1585,977,580,7,10,1574,11,1599
,관저2동제7투,3309,1552,963,560,10,10,1543,9,1757
,관저2동제8투,3074,1690,1058,591,8,14,1671,19,1384
,관저2동제9투,3823,2054,1287,725,10,16,2038,16,1769
기성동,소계,3577,2229,897,1185,41,27,2150,79,1348
,관내사전투표,1064,1064,509,460,24,16,1009,55,0
,기성동제1투,634,293,88,197,2,4,291,2,341
,기성동제2투,824,345,128,207,3,2,340,5,479
,기성동제3투,1055,527,172,321,12,5,510,17,528
잘못 투입·구분된 투표지,,0,32,19,12,0,0,31,1,-32
